feature,genes,target_n,comparator_n,median_difference,p_two_sided,q_bh_225,selected
RAB11A RAB11B|Rab11,RAB11A;RAB11B,449,292,0.2768,0.000625485364836,0.00159925235327,no
RAB25|Rab25,RAB25,449,292,0.1508,0.00585460749905,0.0121970989564,no
RPTOR|Raptor,RPTOR,449,292,0.37765,9.69624813902e-07,3.96664696596e-06,no
RBM15|RBM15,RBM15,449,292,-0.36945,6.5375332946e-07,2.88420586527e-06,no
RICTOR|Rictor,RICTOR,449,292,0.22065,0.000110790400851,0.000323738184305,no
RICTOR|Rictor_pT1135,RICTOR,449,292,0.1815,0.00249192843732,0.00556423391022,no
SCD|SCD,SCD,449,292,-0.03525,0.108945878861,0.163418818292,no
SRSF1|SF2,SRSF1,449,292,0.0989,0.0193031258828,0.0366350378078,no
WWTR1|TAZ,WWTR1,449,292,-0.16215,0.0463412389051,0.0808277422763,no
TIGAR|TIGAR,TIGAR,449,292,-0.0972,0.0239148967374,0.0447349281322,no
TGM2|Transglutaminase,TGM2,449,292,-0.2558,5.65853719467e-06,2.02090614095e-05,no
TFRC|TFRC,TFRC,449,292,-0.3288,1.17057015032e-05,4.05197359726e-05,no
TSC1|TSC1,TSC1,449,292,-0.2149,0.000512998210851,0.00132671951082,no
TSC2|Tuberin_pT1462,TSC2,449,292,0.28645,0.000665388581943,0.00168216214536,no
EPPK1|EPPK1,EPPK1,449,292,-0.0918,0.895355792989,0.844537762746,no
XBP1|XBP1,XBP1,449,292,0.0251,0.923056475628,0.844537762746,no
TUBA1B|Acetyl-a-Tubulin-Lys40,TUBA1B,449,292,0.0934,0.771333465079,0.844537762746,no
SQSTM1|p62-LCK-ligand,SQSTM1,449,292,-0.14255,0.0285365132747,0.0522009389171,no
YWHAB|14-3-3_beta,YWHAB,449,292,0.0673,0.309680889415,0.400449425968,no
YWHAZ|14-3-3_zeta,YWHAZ,449,292,-0.0686,0.553044926918,0.654921623982,no
ACVRL1|ACVRL1,ACVRL1,449,292,-0.12835,0.0527078728812,0.0899160939393,no
DIRAS3|DIRAS3,DIRAS3,449,292,0.16185,0.00558985728264,0.0117543727906,no
ANXA1|Annexin-1,ANXA1,449,292,-0.2749,2.15381559683e-06,8.21370354724e-06,no
PREX1|PREX1,PREX1,449,292,0.74025,9.41749209683e-22,2.11893572179e-20,yes
ENY2|ENY2,ENY2,449,292,nan,nan,0.844537762746,no
KAT2A|GCN5L2,KAT2A,449,292,nan,nan,0.844537762746,no
ADAR|ADAR1,ADAR,449,292,-0.2655,0.00210452988842,0.00478302247367,no
COPS5|JAB1,COPS5,449,292,0.0715,0.275868609057,0.368621682044,no
MET|c-Met,MET,449,292,0.04785,0.0560541610116,0.0941207927433,no
CASP8|Caspase-8,CASP8,449,292,-0.0126,0.814509753403,0.844537762746,no
ERCC1|ERCC1,ERCC1,449,292,0.01785,0.864466807453,0.844537762746,no
MSH2|MSH2,MSH2,449,292,-0.1949,0.000249102165176,0.000667237942436,no
MSH6|MSH6,MSH6,449,292,-0.37105,3.46333311581e-09,1.94812487764e-08,no
PARP1|PARP_cleaved,PARP1,449,292,-0.10085,0.00638080435679,0.0129340628854,no
RB1|Rb,RB1,449,292,0.0552,0.0122374343403,0.0243665728015,no
SETD2|SETD2,SETD2,449,292,-0.0738,0.332805755819,0.422901442185,no
DIABLO|Smac,DIABLO,449,292,0.2116,3.42353711226e-05,0.000108992052972,no
SNAI1|Snail,SNAI1,449,292,-0.2324,4.27403187017e-06,1.55105995289e-05,no
AXL|Axl,AXL,449,292,nan,nan,1,no
MYH9|Myosin-IIa,MYH9,449,292,nan,nan,1,no
SLC1A5|SLC1A5,SLC1A5,449,292,nan,nan,1,no
GATA6|GATA6,GATA6,449,292,nan,nan,1,no
BRD4|BRD4,BRD4,449,292,-0.11855,0.0980458004476,0.150452516786,no
CDK1|CDK1_pY15,CDK1,449,292,-0.42235,3.07713875493e-10,2.09804915109e-09,no
ARAF|A-Raf,ARAF,449,292,0.2635,0.000235456220809,0.000638284935928,no
BRAF|B-Raf_pS445,BRAF,449,292,0.313,5.82792258286e-08,2.85061430683e-07,no
BCL2A1|Bcl2A1,BCL2A1,449,292,0.12645,0.298526274455,0.390514021816,no
ABL1|c-Abl,ABL1,449,292,0.0785,0.309012323702,0.400449425968,no
CASP3|Caspase-3,CASP3,449,292,-0.2991,8.51715790636e-11,6.38786842977e-10,no
DPP4|CD26,DPP4,449,292,0.0788,0.0982956443003,0.150452516786,no
CHEK1|Chk1_pS296;CHEK1|CHK1_pS296,CHEK1,449,292,-0.261,5.2727334537e-05,0.000162515757134,no
COG3|COG3,COG3,449,292,0.2472,0.00123202017321,0.00291794251549,no
GUSP4|DUSP4,GUSP4,449,292,0.13025,0.206851733184,0.289078509108,no
ERCC5|ERCC5,ERCC5,449,292,0.0351,0.23726867074,0.325521042174,no
IGFR1|IGF1R_pY1135_Y1136,IGFR1,449,292,0.05405,0.289238409984,0.382815542626,no
IRF1|IRF-1,IRF1,449,292,-0.0901,0.153532166281,0.222869273633,no
JAK2|Jak2,JAK2,449,292,-0.1677,0.000684896602057,0.00171224150514,no
CDKN2A|P16INK4A;CDKN2A|p16_INK4a,CDKN2A,449,292,-0.1914,5.9288153461e-05,0.000180268034172,no
PTPN11|SHP-2_pY542,PTPN11,449,292,-0.07115,0.155719967665,0.224596107209,no
PARP1|PARP1,PARP1,449,292,nan,nan,1,no
CASP9|Caspase-9,CASP9,449,292,nan,nan,1,no
NKX2-1|TTF1,NKX2-1,449,292,nan,nan,1,no
CTNNA1|alpha-Catenin,CTNNA1,449,292,nan,nan,1,no
