variant,description,CDK46_observed_mean_percentile,CDK46_null_mean_percentile,CDK46_empirical_p_upper,direction_observed_gt_null_mean,n_drugs_q_lt_0_05,minimum_drug_q_bh_108,CDK46_q_bh_across_variants
column_minmax,Locked column-stochastic RWR with gene-level min-max scaling,0.588785046729,0.567830840602,0.453754624538,yes,0,0.544745525447,0.848615138486
column_gene_rank,Column-stochastic RWR with gene-level average-rank percentiles,0.367601246106,0.417493145847,0.702929707029,no,0,0.712728727127,0.848615138486
uniform_ratio_gene_rank,"Column-stochastic RWR divided by the uniform-restart steady state, then gene-level average-rank percentiles",0.311526479751,0.420984267343,0.848615138486,no,0,0.10798920108,0.848615138486
symmetric_gene_rank,Symmetric D^-1/2 W D^-1/2 propagation with gene-level average-rank percentiles,0.380062305296,0.43275965689,0.677432256774,no,0,0.367163283672,0.848615138486
