drug,observed_C_ACC_pct,null_mean_C_ACC_pct,null_sd_C_ACC_pct,z_degree_matched,empirical_p_upper,q_bh_108,null_draws,monte_carlo_se
Idarubicin,0.738317757009,0.293081308411,0.20959656463,2.1242545143,0.0587941205879,0.481631836816,10000,0.00235227206735
Cytarabine,0.953271028037,0.514547663551,0.192320404546,2.281210699,0.029297070293,0.477552244776,10000,0.00168629500309
Hydroxyurea,0.878504672897,0.452301869159,0.185965584414,2.291836982,0.0539946005399,0.481631836816,10000,0.00225995743864
Ixazomib,0.990654205607,0.62716635514,0.153978688519,2.36063739706,0.004599540046,0.165583441656,10000,0.000676603760314
Gemcitabine,0.96261682243,0.622312149533,0.132760994869,2.56328805937,0.033496650335,0.477552244776,10000,0.00179920503591
Belinostat,0.92523364486,0.490942056075,0.168887246987,2.5714883541,0.033496650335,0.477552244776,10000,0.00179920503591
Pralatrexate,1.0,0.769058878505,0.0845605865854,2.73107284163,9.99900009999e-05,0.010798920108,10000,9.99850018748e-05
Abemaciclib,0.934579439252,0.48706635514,0.163664443749,2.73433296727,0.035396460354,0.477552244776,10000,0.0018477049801
Irinotecan,0.803738317757,0.17056635514,0.220468983228,2.87193215728,0.0633936606339,0.481631836816,10000,0.00243657479936
Pemetrexed,0.981308411215,0.57398317757,0.124671206198,3.26719573884,0.000499950005,0.02699730027,10000,0.000223528541798
Epirubicin,0.906542056075,0.370387850467,0.159092073472,3.37008748398,0.021097890211,0.477552244776,10000,0.00143703528729
Allopurinol,0.785046728972,0.0544439252336,0.1867257838,3.91270444215,0.039796020398,0.477552244776,10000,0.00195469885944
