rank_sum,mean_rank,combination_count,probability,n_universe,class_size
6,2.0,1,4.89821509042105e-06,108,3
7,2.3333333333333335,1,4.89821509042105e-06,108,3
8,2.6666666666666665,2,9.7964301808421e-06,108,3
9,3.0,3,1.4694645271263151e-05,108,3
10,3.3333333333333335,4,1.95928603616842e-05,108,3
11,3.6666666666666665,5,2.4491075452105253e-05,108,3
12,4.0,7,3.4287505632947356e-05,108,3
13,4.333333333333333,8,3.91857207233684e-05,108,3
14,4.666666666666667,10,4.898215090421051e-05,108,3
15,5.0,12,5.8778581085052606e-05,108,3
16,5.333333333333333,14,6.857501126589471e-05,108,3
17,5.666666666666667,16,7.83714414467368e-05,108,3
18,6.0,19,9.306608671799996e-05,108,3
19,6.333333333333333,21,0.00010286251689884207,108,3
20,6.666666666666667,24,0.00011755716217010521,108,3
21,7.0,27,0.00013225180744136836,108,3
22,7.333333333333333,30,0.00014694645271263153,108,3
23,7.666666666666667,33,0.00016164109798389467,108,3
24,8.0,37,0.00018123395834557888,108,3
25,8.333333333333334,40,0.00019592860361684203,108,3
26,8.666666666666666,44,0.0002155214639785262,108,3
27,9.0,48,0.00023511432434021042,108,3
28,9.333333333333334,52,0.00025470718470189463,108,3
29,9.666666666666666,56,0.00027430004506357884,108,3
30,10.0,61,0.0002987911205156841,108,3
31,10.333333333333334,65,0.0003183839808773683,108,3
32,10.666666666666666,70,0.00034287505632947356,108,3
33,11.0,75,0.0003673661317815788,108,3
34,11.333333333333334,80,0.00039185720723368406,108,3
35,11.666666666666666,85,0.0004163482826857893,108,3
36,12.0,91,0.0004457375732283156,108,3
37,12.333333333333334,96,0.00047022864868042085,108,3
38,12.666666666666666,102,0.0004996179392229472,108,3
39,13.0,108,0.0005290072297654734,108,3
40,13.333333333333334,114,0.0005583965203079998,108,3
41,13.666666666666666,120,0.0005877858108505261,108,3
42,14.0,127,0.0006220733164834734,108,3
43,14.333333333333334,133,0.0006514626070259997,108,3
44,14.666666666666666,140,0.0006857501126589471,108,3
45,15.0,147,0.0007200376182918944,108,3
46,15.333333333333334,154,0.0007543251239248418,108,3
47,15.666666666666666,161,0.0007886126295577891,108,3
48,16.0,169,0.0008277983502811575,108,3
49,16.333333333333332,176,0.0008620858559141048,108,3
50,16.666666666666668,184,0.0009012715766374733,108,3
51,17.0,192,0.0009404572973608417,108,3
52,17.333333333333332,200,0.0009796430180842102,108,3
53,17.666666666666668,208,0.0010188287388075785,108,3
54,18.0,217,0.001062912674621368,108,3
55,18.333333333333332,225,0.0011020983953447365,108,3
56,18.666666666666668,234,0.0011461823311585259,108,3
57,19.0,243,0.0011902662669723153,108,3
58,19.333333333333332,252,0.0012343502027861047,108,3
59,19.666666666666668,261,0.001278434138599894,108,3
60,20.0,271,0.0013274162895041046,108,3
61,20.333333333333332,280,0.0013715002253178942,108,3
62,20.666666666666668,290,0.0014204823762221047,108,3
63,21.0,300,0.0014694645271263152,108,3
64,21.333333333333332,310,0.0015184466780305257,108,3
65,21.666666666666668,320,0.0015674288289347362,108,3
66,22.0,331,0.0016213091949293678,108,3
67,22.333333333333332,341,0.0016702913458335783,108,3
68,22.666666666666668,352,0.0017241717118282097,108,3
69,23.0,363,0.0017780520778228413,108,3
70,23.333333333333332,374,0.0018319324438174729,108,3
71,23.666666666666668,385,0.0018858128098121045,108,3
72,24.0,397,0.0019445913908971572,108,3
73,24.333333333333332,408,0.0019984717568917888,108,3
74,24.666666666666668,420,0.0020572503379768414,108,3
75,25.0,432,0.0021160289190618937,108,3
76,25.333333333333332,444,0.0021748075001469464,108,3
77,25.666666666666668,456,0.002233586081231999,108,3
78,26.0,469,0.0022972628774074726,108,3
79,26.333333333333332,481,0.0023560414584925253,108,3
80,26.666666666666668,494,0.002419718254667999,108,3
81,27.0,507,0.0024833950508434724,108,3
82,27.333333333333332,520,0.0025470718470189464,108,3
