drug,mechanism_class,observed_residual_percentile,lomco_prediction,eligible_neighbor_count,n_associations
Trifluridine,Other,0.056074766355140186,0.5117953084585938,21,6
Tucatinib,EGFR,0.719626168224299,0.6500091058319397,3,2
Valrubicin,Topoisomerase,0.40186915887850466,0.5358706552114562,17,11
Vandetanib,EGFR,0.9065420560747663,0.43957750513743477,7,6
Vemurafenib,Other,0.205607476635514,0.8616587768284237,7,22
Venetoclax,Other,0.24299065420560748,0.8560605066844265,6,5
Vinblastine,Tubulin,0.19626168224299065,0.6018886614079738,19,9
Vinorelbine,Tubulin,0.1308411214953271,0.09345794392523364,1,1
Vorinostat,HDAC,0.5700934579439252,0.45846033739652264,30,18
Zoledronate,Other,0.1588785046728972,0.21990347886422507,4,20
umbralisib,Other,0.14953271028037382,0.4068615791716057,5,5
