weight_C_ACC,weight_residual,drug,score,rank,is_primary_weight
0.0,1.0,Oxaliplatin,0.018691588785,106,False
0.0,1.0,Neratinib,0.00934579439252,107,False
0.0,1.0,Methotrexate,0.0,108,False
0.05,0.95,Celecoxib,0.96822429906495,1,False
0.05,0.95,Chlorambucil,0.9621495327102999,2,False
0.05,0.95,Irinotecan,0.9457943925229999,3,False
0.05,0.95,Melphalan,0.94252336448605,4,False
0.05,0.95,Crizotinib,0.9294392523366001,5,False
0.05,0.95,Afatinib,0.92429906542065,6,False
0.05,0.95,Binimetinib,0.9238317757005259,7,False
0.05,0.95,Olaparib,0.9126168224300999,8,False
0.05,0.95,Axitinib,0.91238317756975,9,False
0.05,0.95,Homoharringtonine,0.8981308411212,10,False
0.05,0.95,Actinomycin D,0.8794392523366998,11,False
0.05,0.95,Brigatinib,0.8724299065418499,12,False
0.05,0.95,Cobimetinib,0.8705607476632999,13,False
0.05,0.95,Vandetanib,0.8672897196264,14,False
0.05,0.95,Mitotane,0.85420560747695,15,False
0.05,0.95,Romidepsin,0.84439252336435,16,False
0.05,0.95,Ibrutinib,0.8383177570096999,17,False
0.05,0.95,Mitomycin,0.8336448598135,18,False
0.05,0.95,Daunorubicin,0.8257009345794,19,False
0.05,0.95,Trametinib,0.7999999999999,20,False
0.05,0.95,Docetaxel,0.7953271028033,21,False
0.05,0.95,Cytarabine,0.7934579439252499,22,False
0.05,0.95,Ribociclib,0.78598130841165,23,False
0.05,0.95,Osimertinib,0.7831775700934499,24,False
0.05,0.95,Belinostat,0.77429906542065,25,False
0.05,0.95,Ixazomib,0.7509345794389,26,False
0.05,0.95,Bosutinib,0.7455607476632,27,False
0.05,0.95,Carfilzomib,0.7434579439248,28,False
0.05,0.95,Carmustine,0.72897196261695,29,False
0.05,0.95,Tivozanib,0.7158878504674501,30,False
0.05,0.95,Tucatinib,0.7051401869156,31,False
0.05,0.95,Abemaciclib,0.70373831775725,32,False
0.05,0.95,Lapatinib,0.7011682242993,33,False
0.05,0.95,Fulvestrant,0.6897196261679999,34,False
0.05,0.95,Panobinostat,0.6691588785049499,35,False
0.05,0.95,Nilotinib,0.6565420560751,36,False
0.05,0.95,Darolutamide,0.6556074766353,37,False
0.05,0.95,Ceritinib,0.6499999999999,38,False
0.05,0.95,Fluorouracil,0.6485981308415,39,False
0.05,0.95,Selinexor,0.6448598130839499,40,False
0.05,0.95,Idarubicin,0.6317757009345,41,False
0.05,0.95,Palbociclib,0.6126168224298999,42,False
0.05,0.95,Paclitaxel,0.6098130841117,43,False
0.05,0.95,Estramustine,0.59532710280415,44,False
0.05,0.95,Mercaptopurine,0.59252336448555,45,False
0.05,0.95,Everolimus,0.56635514018695,46,False
0.05,0.95,Acalabrutinib,0.5640186915884,47,False
0.05,0.95,Vorinostat,0.5462616822430599,48,False
0.05,0.95,Dacomitinib,0.526635514018805,49,False
0.05,0.95,Selumetinib,0.52523364485995,50,False
0.05,0.95,Dacarbazine,0.5191588785043351,51,False
0.05,0.95,Dasatinib,0.5144859813081,52,False
0.05,0.95,Sirolimus,0.510280373832,53,False
0.05,0.95,Tamoxifen,0.50140186915915,54,False
0.05,0.95,Erlotinib,0.49579439252314994,55,False
0.05,0.95,Duvelisib,0.4878504672894499,56,False
0.05,0.95,Imatinib,0.4682242990657,57,False
0.05,0.95,Decitabine,0.46682242990690004,58,False
0.05,0.95,Lomustine,0.46635514018675,59,False
0.05,0.95,Doxorubicin,0.43925233644854994,60,False
0.05,0.95,Fludarabine,0.4392523364485,61,False
0.05,0.95,Carboplatin,0.42803738317795,62,False
0.05,0.95,Epirubicin,0.41822429906545,63,False
0.05,0.95,Topotecan,0.41728971962659994,64,False
0.05,0.95,Dexrazoxane,0.41214953271021,65,False
0.05,0.95,Hydroxyurea,0.4079439252332,66,False
0.05,0.95,Allopurinol,0.39439252336455,67,False
0.05,0.95,Valrubicin,0.38411214953317996,68,False
0.05,0.95,Etoposide,0.37710280373840005,69,False
0.05,0.95,Asciminib,0.3672897196257999,70,False
0.05,0.95,Azacitidine,0.3616822429903,71,False
0.05,0.95,Sunitinib,0.34532710280389994,72,False
0.05,0.95,Cyclophosphamide,0.34018691588804995,73,False
0.05,0.95,Ixabepilone,0.33598130841095,74,False
0.05,0.95,Lorlatinib,0.33084112149504996,75,False
0.05,0.95,Gilteritinib,0.30934579439275,76,False
0.05,0.95,Gemcitabine,0.28785046728959995,77,False
0.05,0.95,Idelalisib,0.278504672896985,78,False
0.05,0.95,Thiotepa,0.2742990654204,79,False
0.05,0.95,Abiraterone,0.26635514018719997,80,False
0.05,0.95,Mitoxantrone,0.2598130841125,81,False
0.05,0.95,Temsirolimus,0.25093457943915,82,False
0.05,0.95,Venetoclax,0.24672897196299998,83,False
0.05,0.95,Cabozantinib,0.2376168224303,84,False
0.05,0.95,Encorafenib,0.2364485981308,85,False
0.05,0.95,Vemurafenib,0.209345794393,86,False
0.05,0.95,Erdafitinib,0.20514018691595,87,False
0.05,0.95,Clofarabine,0.2004672897192,88,False
0.05,0.95,Vinblastine,0.19158878504674998,89,False
0.05,0.95,Pemetrexed,0.18224299065434998,90,False
0.05,0.95,Fruquintinib,0.17616822429864998,91,False
0.05,0.95,umbralisib,0.1546728971959,92,False
0.05,0.95,Vinorelbine,0.1537383177567,93,False
0.05,0.95,Zoledronate,0.152803738317855,94,False
0.05,0.95,Raloxifene,0.14112149532685,95,False
0.05,0.95,Dabrafenib,0.12757009345789,96,False
0.05,0.95,Lenvatinib,0.11682242990673,97,False
0.05,0.95,Cisplatin,0.10560747663574999,98,False
0.05,0.95,Trifluridine,0.099065420560695,99,False
0.05,0.95,Sonidegib,0.094859813084115,100,False
0.05,0.95,Tioguanine,0.09158878504672,101,False
0.05,0.95,Cladribine,0.082710280373865,102,False
0.05,0.95,Pralatrexate,0.07663551401872,103,False
0.05,0.95,Bleomycin,0.07663551401869,104,False
0.05,0.95,Oxaliplatin,0.058878504672849996,105,False
0.05,0.95,Teniposide,0.044392523364495,106,False
0.05,0.95,Methotrexate,0.042523364486,107,False
0.05,0.95,Neratinib,0.020560747663544002,108,False
0.1,0.9,Celecoxib,0.9457943925229,1,False
0.1,0.9,Irinotecan,0.9383177570090001,2,False
0.1,0.9,Chlorambucil,0.9242990654206,3,False
0.1,0.9,Crizotinib,0.9149532710282,4,False
0.1,0.9,Melphalan,0.9037383177571001,5,False
0.1,0.9,Olaparib,0.9000000000002001,6,False
0.1,0.9,Axitinib,0.8901869158875,7,False
0.1,0.9,Afatinib,0.8859813084113,8,False
0.1,0.9,Homoharringtonine,0.8803738317754001,9,False
0.1,0.9,Binimetinib,0.8757009345790521,10,False
0.1,0.9,Actinomycin D,0.8710280373834,11,False
0.1,0.9,Brigatinib,0.8663551401866999,12,False
0.1,0.9,Cobimetinib,0.8439252336446,13,False
0.1,0.9,Mitotane,0.8392523364489,14,False
0.1,0.9,Mitomycin,0.8355140186919999,15,False
0.1,0.9,Daunorubicin,0.8289719626168001,16,False
0.1,0.9,Romidepsin,0.8289719626167,17,False
0.1,0.9,Vandetanib,0.8280373831778,18,False
0.1,0.9,Ibrutinib,0.8261682242994001,19,False
0.1,0.9,Cytarabine,0.8018691588785001,20,False
0.1,0.9,Docetaxel,0.7962616822426,21,False
0.1,0.9,Belinostat,0.7822429906543,22,False
0.1,0.9,Ixazomib,0.7635514018688001,23,False
0.1,0.9,Osimertinib,0.7626168224299,24,False
0.1,0.9,Ribociclib,0.7588785046733,25,False
0.1,0.9,Trametinib,0.7588785046728,26,False
0.1,0.9,Bosutinib,0.7341121495324001,27,False
0.1,0.9,Abemaciclib,0.7158878504675,28,False
0.1,0.9,Carfilzomib,0.7112149532706,29,False
0.1,0.9,Carmustine,0.7102803738319,30,False
0.1,0.9,Tivozanib,0.7028037383179,31,False
0.1,0.9,Lapatinib,0.6920560747666,32,False
0.1,0.9,Tucatinib,0.6906542056072,33,False
0.1,0.9,Fulvestrant,0.678504672897,34,False
0.1,0.9,Panobinostat,0.6654205607478999,35,False
0.1,0.9,Fluorouracil,0.6616822429910001,36,False
0.1,0.9,Nilotinib,0.6588785046732,37,False
0.1,0.9,Ceritinib,0.6551401869158,38,False
0.1,0.9,Idarubicin,0.6373831775700001,39,False
0.1,0.9,Darolutamide,0.6289719626166,40,False
0.1,0.9,Selinexor,0.6261682242989,41,False
0.1,0.9,Paclitaxel,0.6214953271024001,42,False
0.1,0.9,Palbociclib,0.6177570093458,43,False
0.1,0.9,Mercaptopurine,0.6056074766351,44,False
0.1,0.9,Estramustine,0.5738317757013,45,False
0.1,0.9,Acalabrutinib,0.5672897196258,46,False
0.1,0.9,Everolimus,0.5439252336449,47,False
0.1,0.9,Vorinostat,0.5224299065421201,48,False
0.1,0.9,Selumetinib,0.5177570093459001,49,False
0.1,0.9,Tamoxifen,0.5074766355143,50,False
0.1,0.9,Sirolimus,0.506542056075,51,False
0.1,0.9,Erlotinib,0.5056074766353,52,False
0.1,0.9,Dasatinib,0.5056074766352,53,False
0.1,0.9,Dacomitinib,0.50186915887861,54,False
0.1,0.9,Dacarbazine,0.4962616822426701,55,False
0.1,0.9,Decitabine,0.4757009345798,56,False
0.1,0.9,Duvelisib,0.4710280373829,57,False
0.1,0.9,Doxorubicin,0.46728971962610005,58,False
0.1,0.9,Lomustine,0.46542056074750005,59,False
0.1,0.9,Imatinib,0.4598130841124,60,False
0.1,0.9,Epirubicin,0.4439252336449,61,False
0.1,0.9,Hydroxyurea,0.4327102803734,62,False
0.1,0.9,Fludarabine,0.429906542056,63,False
0.1,0.9,Carboplatin,0.41682242990690005,64,False
0.1,0.9,Allopurinol,0.4149532710281,65,False
0.1,0.9,Topotecan,0.41401869158919996,66,False
0.1,0.9,Etoposide,0.3990654205608001,67,False
0.1,0.9,Dexrazoxane,0.39439252336442,68,False
0.1,0.9,Azacitidine,0.37757009345759995,69,False
0.1,0.9,Asciminib,0.3700934579436,70,False
0.1,0.9,Valrubicin,0.36635514018736004,71,False
0.1,0.9,Ixabepilone,0.3635514018689,72,False
0.1,0.9,Cyclophosphamide,0.3626168224301,73,False
0.1,0.9,Sunitinib,0.35420560747679997,74,False
0.1,0.9,Lorlatinib,0.33457943925210004,75,False
0.1,0.9,Gemcitabine,0.3233644859812,76,False
0.1,0.9,Gilteritinib,0.3196261682245,77,False
0.1,0.9,Thiotepa,0.27757009345780004,78,False
0.1,0.9,Temsirolimus,0.2682242990653,79,False
0.1,0.9,Idelalisib,0.26728971962597,80,False
0.1,0.9,Mitoxantrone,0.257943925234,81,False
0.1,0.9,Encorafenib,0.2579439252336,82,False
0.1,0.9,Abiraterone,0.2523364485984,83,False
0.1,0.9,Cabozantinib,0.2509345794396,84,False
0.1,0.9,Venetoclax,0.25046728972,85,False
0.1,0.9,Erdafitinib,0.2327102803739,86,False
0.1,0.9,Pemetrexed,0.2242990654207,87,False
0.1,0.9,Clofarabine,0.2140186915884,88,False
0.1,0.9,Vemurafenib,0.21308411215,89,False
0.1,0.9,Vinblastine,0.1869158878505,90,False
0.1,0.9,Fruquintinib,0.1841121495323,91,False
0.1,0.9,Vinorelbine,0.1766355140184,92,False
0.1,0.9,Raloxifene,0.1700934579437,93,False
0.1,0.9,Dabrafenib,0.16168224299058,94,False
0.1,0.9,umbralisib,0.1598130841118,95,False
0.1,0.9,Zoledronate,0.14672897196271,96,False
0.1,0.9,Trifluridine,0.14205607476629,97,False
0.1,0.9,Tioguanine,0.13644859813084,98,False
0.1,0.9,Pralatrexate,0.12523364485984,99,False
0.1,0.9,Lenvatinib,0.11214953271045999,100,False
0.1,0.9,Cisplatin,0.10841121495349999,101,False
0.1,0.9,Sonidegib,0.10560747663553,102,False
0.1,0.9,Cladribine,0.10000000000003001,103,False
0.1,0.9,Oxaliplatin,0.0990654205607,104,False
0.1,0.9,Methotrexate,0.085046728972,105,False
0.1,0.9,Bleomycin,0.07850467289718,106,False
0.1,0.9,Teniposide,0.05140186915889,107,False
