setting_id,w_C_ACC,w_residual,w_B_neighbor,w_external,drug,score,rank,median_rank,q1_rank,q3_rank,minimum_rank,maximum_rank,top10_rate,top20_rate
1,0.0,0.1,0.3,0.6,Afatinib,0.4203,91,56.0,30.5,85.0,6,108,0.024630541871921183,0.15763546798029557
1,0.0,0.1,0.3,0.6,Acalabrutinib,0.5544,29,38.0,29.0,43.5,21,52,0.0,0.0
1,0.0,0.1,0.3,0.6,Ixabepilone,0.5306,38,32.0,13.0,52.5,1,76,0.21674876847290642,0.33497536945812806
1,0.0,0.1,0.3,0.6,Panobinostat,0.4894,61,48.0,41.0,60.5,32,77,0.0,0.0
1,0.0,0.1,0.3,0.6,Trametinib,0.6289,10,41.0,14.5,77.0,3,106,0.2019704433497537,0.3448275862068966
1,0.0,0.1,0.3,0.6,Vandetanib,0.526,40,50.0,29.0,79.5,12,97,0.0,0.10837438423645321
1,0.0,0.1,0.3,0.6,Epirubicin,0.4959,57,41.0,25.0,56.0,9,70,0.009852216748768473,0.15270935960591134
1,0.0,0.1,0.3,0.6,Erlotinib,0.39149999999999996,101,48.0,32.0,69.0,2,108,0.07881773399014778,0.14285714285714285
1,0.0,0.1,0.3,0.6,Selumetinib,0.5972,14,42.0,18.5,52.0,4,70,0.07389162561576355,0.26108374384236455
1,0.0,0.1,0.3,0.6,Selinexor,0.5386,34,47.0,40.0,60.0,30,76,0.0,0.0
1,0.0,0.1,0.3,0.6,Lomustine,0.5837,19,45.0,22.5,54.0,6,65,0.029556650246305417,0.22660098522167488
1,0.0,0.1,0.3,0.6,Fulvestrant,0.45499999999999996,77,59.0,46.0,76.5,33,96,0.0,0.0
1,0.0,0.1,0.3,0.6,Hydroxyurea,0.4346,87,56.0,38.0,73.0,17,89,0.0,0.034482758620689655
1,0.0,0.1,0.3,0.6,Decitabine,0.5065999999999999,51,54.0,50.0,56.0,43,64,0.0,0.0
1,0.0,0.1,0.3,0.6,Cabozantinib,0.7568,2,37.0,10.0,59.5,1,85,0.270935960591133,0.3497536945812808
1,0.0,0.1,0.3,0.6,Gemcitabine,0.5061,52,56.0,32.5,74.0,1,93,0.08374384236453201,0.1724137931034483
1,0.0,0.1,0.3,0.6,Encorafenib,0.5431999999999999,31,49.0,30.0,67.0,3,86,0.06896551724137931,0.1724137931034483
1,0.0,0.1,0.3,0.6,Darolutamide,0.5221,43,60.0,46.0,82.0,33,94,0.0,0.0
1,0.0,0.1,0.3,0.6,Dacomitinib,0.6076999999999999,13,53.0,29.0,79.0,6,99,0.03940886699507389,0.18226600985221675
1,0.0,0.1,0.3,0.6,Cyclophosphamide,0.43379999999999996,89,65.0,48.0,79.0,28,91,0.0,0.0
1,0.0,0.1,0.3,0.6,Duvelisib,0.5668,23,58.0,40.0,74.0,21,90,0.0,0.0
1,0.0,0.1,0.3,0.6,Topotecan,0.5191,47,62.0,56.5,65.0,41,71,0.0,0.0
1,0.0,0.1,0.3,0.6,Sunitinib,0.4599,74,64.0,48.5,75.0,14,103,0.0,0.019704433497536946
1,0.0,0.1,0.3,0.6,Allopurinol,0.3893,102,72.0,51.5,91.0,26,103,0.0,0.0
1,0.0,0.1,0.3,0.6,Estramustine,0.5039,54,68.0,54.0,84.0,42,94,0.0,0.0
1,0.0,0.1,0.3,0.6,Raloxifene,0.5236,41,57.0,33.0,75.0,4,97,0.06403940886699508,0.15763546798029557
1,0.0,0.1,0.3,0.6,Imatinib,0.5031,55,66.0,61.0,75.0,53,80,0.0,0.0
1,0.0,0.1,0.3,0.6,Sirolimus,0.43989999999999996,84,72.0,60.5,85.0,49,96,0.0,0.0
1,0.0,0.1,0.3,0.6,Dabrafenib,0.4851,64,58.0,32.0,81.0,4,98,0.06403940886699508,0.13793103448275862
1,0.0,0.1,0.3,0.6,Asciminib,0.5071,50,66.0,60.0,68.0,44,76,0.0,0.0
