Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
549,NCGC00167967-05,Telithromycin,-0.5469175787572582,-0.2430369727510569,-0.6595978880452437,-0.7381178754754741,435.516,451.829,418.566,,,,0,Ketolide antibiotic,
550,NCGC00165869-22,Dorsomorphin,-0.5461609079630866,-0.6381939149308883,-0.620643445078258,-0.3796453638801134,403.777,455.738,449.597,,,,0,TGF-bR1 (ALK5) Inhibitor,TGBR1
551,NCGC00346822-02,Idronoxil,-0.5446234812432578,-0.23542989969671138,-1.2683893629227387,-0.1300511811103232,436.127,390.738,471.203,,0.522357,,1,Sphingosine Kinase 1 (SphK1) Inhibitor,SPHK1
552,NCGC00345857-05,CGI-1746,-0.5442816266983377,-0.5128950880586546,-0.8794029912744087,-0.24054680076194976,413.841,429.772,461.638,,46.1,,1,BTK Inhibitor,BTK
553,NCGC00263092-02,Apratastat,-0.5436548561399684,-0.11409023686912936,-0.8033277245540275,-0.7135466069967484,445.873,437.406,420.693,,46.1,46.1,2,TNF-alpha-Converting Enzyme Inhibitor,TNF
554,NCGC00346449-02,Parogrelil,-0.5426130319350251,-1.2074544734641885,-0.13021009737366898,-0.29017452496721763,358.054,504.952,457.342,,,,0,Phosphodiesterase III/Va (PDE) Inhibitor,PDE5A
555,NCGC00247879-05,VER-82576,-0.5337138763499171,-0.3022003297956569,-0.7316670953968022,-0.5672742038572921,430.764,444.597,433.355,,,,0,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
556,NCGC00187912-13,Ibrutinib (PCI-32765),-0.5325846380078038,-0.16709074422158351,-1.1587409270143878,-0.2719222427874398,441.616,401.741,458.922,0.001701,0.97358,,2,BTK Inhibitor,BTK
557,NCGC00250398-02,PF-05212384,-0.5321142675815714,-0.7763662500489377,-0.6011014490029805,-0.21887510369279606,392.679,457.699,463.514,,2.961563,5.937389,2,mTOR Inhibitor,MTOR
558,NCGC00345794-11,MLN-4924,-0.5316639169479399,0.15393769883292205,-1.5772445818728003,-0.17168486780394165,467.401,359.745,467.599,18.444368,,11.606015,2,NEDD8-Activating Enzyme (NAE) Inhibitor,NAE1
559,NCGC00015225-08,Chelerythrine chloride,-0.5304113766050684,-0.12685169330236032,-0.5322012139879538,-0.932181222524891,444.848,464.613,401.767,,,,0,PKC Inhibitor,PRKCA
560,NCGC00025212-26,Cantharidin,-0.5303599047937149,-0.16544731763701123,-0.8666872406410308,-0.5589451561031026,441.748,431.048,434.076,,,,0,,
561,NCGC00390695-02,EMD-638683,-0.527365281770184,-0.8454275172051654,-0.26211109689043116,-0.4745572312149555,387.132,491.716,441.381,,,,0,SGK1 Inhibitor,SGK1
562,NCGC00241108-15,Axitinib,-0.5255614345126949,-1.0777233748941693,-0.24549890542817376,-0.2534620232157415,368.474,493.383,460.52,,46.1,4.756735,2,VEGFR-1/2/3 Inhibitor,FLT1
563,NCGC00387248-01,Azixa,-0.5221385376840982,0.4503769941258354,-1.0769754615387879,-0.9398171456393422,491.211,409.946,401.106,,0.015748,0.010897,2,Tubulin polymerization Inhibitor,TUBB
564,NCGC00346972-08,PF-543,-0.519739219427553,-0.34123171117924705,-0.549192087679105,-0.6687938594243068,427.629,462.908,424.567,,,,0,Sphingosine Kinase 1 (SphK1) Inhibitor,SPHK1
565,NCGC00486904-01,MRT-68601 hydrochloride,-0.5177807280283344,-0.9518642889590129,-0.3416044689926688,-0.2598734261333216,378.583,483.739,459.965,,,,0,IKK-epsilon Inhibitor,IKBKE
566,NCGC00386948-01,AMG-837,-0.5156709038264506,-0.6065828535806698,-0.117334901591283,-0.8230949563073993,406.316,506.244,411.21,46.1,5.367226,,2,Free Fatty Acid Receptor 1 (FFAR1; GPR40) Agonist,FFAR1
567,NCGC00263098-05,Combretastatin A-4,-0.5146538606713219,0.6172968442725,-0.4354379391838016,-1.7258204871026641,504.618,474.323,333.066,,,0.012483,1,Tubulin polymerization Inhibitor,TUBB
568,NCGC00263125-03,SG-00529,-0.5138527207030632,-1.2301636408146406,-0.12148047546548821,-0.18991404582906074,356.23,505.828,466.021,,,0.094873,1,mTORC1/2 Inhibitor,MTOR
569,NCGC00507864-01,GDC-0084,-0.5107361667109724,-0.7512666440300163,-0.17893055571738703,-0.602011300385514,394.695,500.063,430.348,,2.176399,4.136849,2,PI3K Inhibitor,PIK3CA
570,NCGC00402337-02,BGP-15,-0.5093887275528906,-0.4986271572562319,-0.7097334220864066,-0.31980560331603325,414.987,446.798,454.777,,,0.047113,1,Insulin Sensitizers,PARP1
571,NCGC00160428-03,Indibulin,-0.5083514757858054,0.20045165125687506,-0.9828828929805179,-0.7426231856337734,471.137,419.388,418.176,,,,0,Tubulin polymerization Inhibitor,TUBB
572,NCGC00163547-01,Ecdysone,-0.5077729479217841,-0.550581847691231,-0.2991721287129484,-0.6735648673611728,410.814,487.997,424.154,,,,0,Steroid prohormone,
573,NCGC00025100-17,LFM-A13,-0.5063742519509972,-0.11701603419772401,-1.0987397243783628,-0.3033669972769047,445.638,407.762,456.2,,0.07628,46.1,2,BTK Inhibitor,BTK
574,NCGC00351608-02,Erastin,-0.5049509392943881,-1.0172029458971574,-0.09397618726162978,-0.40367368472437704,373.335,508.588,447.517,,,,0,Ferroptosis Activator,VDAC2
575,NCGC00347951-03,LSD1-C76,-0.5043804843034111,-0.2816948480926991,-0.6528513651778484,-0.5785952396396858,432.411,452.506,432.375,0.001766,,0.146749,2,Lysine Specific Demethylase 1 (LSD1) Inhibitor,KDM1A
576,NCGC00346717-02,Alpelisib,-0.504054011221328,-0.19560170542363142,-0.604399970523081,-0.7121603577172716,439.326,457.368,420.813,,46.1,,1,PI3K alpha Inhibitor,PIK3CA
577,NCGC00522579-01,XMD17-109 (ERK5-IN-1),-0.504011195284377,-0.8236147643553885,-0.4145904859510219,-0.2738283355467206,388.884,476.415,458.757,0.004245,0.00203,,2,ERK5 Inhibitor,ERK5
578,NCGC00521941-01,BMS-986158,-0.5039758226506266,-0.4882685896928677,-0.3559047057943124,-0.6677541724646996,415.819,482.304,424.657,,,0.018781,1,Brd4 Inhibitor,BRD4
579,NCGC00167746-09,PNU-120596,-0.5036015854046471,-0.5869239855727945,-0.343298573700877,-0.5805821969402696,407.895,483.569,432.203,0.00293,,,1,Nicotinic alpha7 Positive Allosteric Modulators,CHRNA7
580,NCGC00485484-02,THZ-2,-0.5025634727888917,-0.2571057003311069,-0.8106721667302028,-0.4399125513053653,434.386,436.669,444.38,,,,0,CDK 7 Inhibitor,CDK7
581,NCGC00238624-07,NCGC00238624,-0.49768235478781264,-0.36776309035897015,-0.6447196625784466,-0.48056431142602124,425.498,453.322,440.861,,,37.188825,1,GALK Inhibitor,GALK1
582,NCGC00182059-11,Febuxostat,-0.49648350544003034,0.2915746752908456,0.2553382382491787,-2.036363429860115,478.456,543.641,306.184,,,,0,Xanthine Oxidase Inhibitor,XDH
583,NCGC00263181-10,GSK-690693,-0.4947121490671039,-1.0698050468048663,0.054576865004642,-0.4689082654010874,369.11,523.495,441.87,,21.350926,46.1,2,AKT Inhibitor,AKT1
584,NCGC00351599-03,Abemaciclib,-0.4943974722208421,0.09979177295182684,-1.551414467733525,-0.03156972188082813,463.052,362.337,479.728,,,,0,CDK4/6 Inhibitor,CDK4
585,NCGC00488771-02,BAY-1436032,-0.49269199152030396,-0.3818691685432148,-1.1237028555199078,0.027496049502210726,424.365,405.257,484.841,,,,0,IDH1 Inhibitor,IDH1
586,NCGC00167512-03,Everolimus,-0.49253504499605544,-0.4221704704694293,-0.7849217751654314,-0.2705128893533056,421.128,439.253,459.044,,,,0,mTOR inhibitor,MTOR
587,NCGC00095128-04,Orlistat,-0.4901450916036231,0.23365633838607253,-0.006839413328827895,-1.6972521998681138,473.804,517.332,335.539,,,,0,Fatty Acid Synthase (FAS) Inhibitor,FAS
588,NCGC00263191-02,PHA-690509,-0.4900802298951515,-0.08727250305724636,-1.4165637329601168,0.03359554633190869,448.027,375.869,485.369,,,,0,CDK2 Inhibitor,CDK2
589,NCGC00346712-05,Verteporfin,-0.48995751683722044,-0.2164433425643432,-1.0163364783067317,-0.23709272964058642,437.652,416.031,461.937,,,9.998776,1,photosensitizer,
590,NCGC00381558-06,AZD-2461,-0.4888419114592506,-0.17710070614579582,-0.6075888735032384,-0.6818361547287176,440.812,457.048,423.438,2.086158,,,1,PARP Inhibitor,PARP1
591,NCGC00161418-13,JTC-801,-0.4866653415857166,-1.40181456749265,-0.05163353487822704,-0.006547922386272688,342.443,512.837,481.894,,,,0,"ORL1 (OP4, NOP) Antagonist",OPRL1
592,NCGC00510002-01,GLPG0187,-0.4865785809423299,0.13427883082504669,-1.2907515450710927,-0.3032630285809438,465.822,388.494,456.209,,,,0,Integrin Receptor Antagonist,
593,NCGC00094571-10,Crotamiton,-0.48387736576196255,-0.4787566358245859,-0.4981796053183992,-0.47469585614290255,416.583,468.027,441.369,,,,0,antipruritic,
594,NCGC00488967-01,Senexin-B,-0.48086697664993194,-0.7216476149035213,-0.18820827032528242,-0.5327450447209922,397.074,499.132,436.344,,,16.172632,1,CDK 8/19 Inhibitor,CDK8
595,NCGC00016806-17,Mebendazole,-0.4790725467204529,-0.19123168473283714,-0.4279739131458703,-0.8180120422826512,439.677,475.072,411.65,,,0.552638,1,Tubulin depolymerization Inhibitor,TUBB
596,NCGC00346825-02,10074-G5,-0.47665450658360187,-0.3673273333100302,-0.5081847884186428,-0.5544513980221326,425.533,467.023,434.465,,,,0,MYC Expression Inhibitor,MYC
597,NCGC00016060-14,Thapsigargin,-0.47259298287529344,0.12827783375107807,-1.7294250112790015,0.18336822890204313,465.34,344.474,498.334,,,,0,SERCA inhibitor,
598,NCGC00387038-01,GDC-046,-0.4704460341046181,-0.814700420154224,-0.5517830713504829,-0.044854610809147454,389.6,462.648,478.578,,,,0,Tyk 2 Inhibitor,TYK2
599,NCGC00505021-01,Indotecan hydrochloride (LMP-400),-0.4687832023702664,-0.6843094609100967,-0.500750658346151,-0.22128948785455144,400.073,467.769,463.305,,0.001177,,1,DNA Topoisomerase I Inhibitor,TOP1
600,NCGC00351477-05,UNC-1999,-0.46591122074697966,-0.941368769180268,-0.33294460433717843,-0.12342028872349257,379.426,484.608,471.777,,,26.931134,1,EZH1 Inhibitor,EZH1
601,NCGC00347910-01,CK-59,-0.4655086328091269,-0.5152730765257253,-0.8680624550512234,-0.01319036685043202,413.65,430.91,481.319,,,,0,CaMK-II Inhibitor,CAMKK2
602,NCGC00015185-06,Carbidopa,-0.46491016842681204,-0.40251160246155393,-0.5994272749383978,-0.3927916278804844,422.707,457.867,448.459,,,,0,Aromatic-L-amino-acid decarboxylase Inhibitor,DDC
603,NCGC00346946-02,CDK9 Inhibitor,-0.4631859426946872,0.08769017719270367,-1.5669404391181667,0.08969243384140144,462.08,360.779,490.225,,,,0,CDK 9 Inhibitor,CDK9
604,NCGC00186528-19,TEPP-46,-0.46281793636724733,-1.147905160176242,-0.07096625919543152,-0.1695823897300684,362.837,510.897,467.781,,,0.008624,1,PKM2 Activator,PKM2
605,NCGC00015705-13,Memantine hydrochloride,-0.46114254556683126,-0.22739951979482462,-0.8674246744551922,-0.288603442450477,436.772,430.974,457.478,,,,0,NMDA Antagonist,GRIN2A
606,NCGC00386141-07,Rigosertib (ON-01910),-0.46025687666293885,0.11769516256254527,-0.3885212040882349,-1.109944588463127,464.49,479.031,386.379,0.060205,0.146944,0.102757,3,Tubulin depolymerization Inhibitor,TUBB
607,NCGC00510483-02,Amcasertib,-0.4598354600901008,-1.073191501585197,0.030969017629663635,-0.3372838963147691,368.838,521.126,453.264,,,,0,PDGFR alpha Inhibitor,PDGFRA
608,NCGC00510479-01,Ensartinib,-0.45981320753462096,-0.3634926712793618,-0.4816770323960844,-0.5342699189284167,425.841,469.683,436.212,,,,0,ALK Inhibitor,ALK
609,NCGC00509942-01,EOS-200271,-0.457526376393221,0.12926139966154185,-0.9359063659540735,-0.5659341628871315,465.419,424.102,433.471,0.012366,,0.001084,2,IDO Inhibitor,IDO1
610,NCGC00025202-12,Mevastatin,-0.45691479496546633,-0.35792743125433313,-1.0252953026166116,0.012478348974545715,426.288,415.132,483.541,,,46.1,1,HMG-CoA Reductase Inhibitor,HMGCR
611,NCGC00164566-07,Pitavastatin calcium,-0.45641724191832506,-0.7627830803234202,-0.39703158891652995,-0.20943705651502503,393.77,478.177,464.331,,3.076662,13.813613,2,HMG-CoA Reductase Inhibitor,HMGCR
612,NCGC00345831-03,SB-242235,-0.455988526667895,-0.318896049870743,-0.35839603624756033,-0.6906734938853818,429.423,482.054,422.673,,,,0,p38 MAPK Inhibitor,MAPK14
613,NCGC00344505-01,Calindol,-0.4508031313043597,-0.3342595983962134,-0.3913015288740596,-0.6268482666428062,428.189,478.752,428.198,,,,0,Calcium-Sensing Receptor (CaSR) Agonist,CASR
614,NCGC00015086-06,Acetylcysteine,-0.4446902342920291,-0.517949869826354,-0.5189573012984874,-0.2971635317512458,413.435,465.942,456.737,,,,0,NF-kappaB Activation Inhibitor,NFKB1
615,NCGC00250407-05,CHIR-265,-0.44310041735041594,-1.0736646092383315,-0.1029549422151357,-0.15268170059778066,368.8,507.687,469.244,0.27109,,,1,Raf kinase B/C Inhibitor,BRAF
616,NCGC00263085-12,Wnt-C59,-0.44121500148702214,-0.25239952420255934,-0.5749125832784376,-0.4963328969800695,434.764,460.327,439.496,,,46.1,1,Wnt Signaling Inhibitor,PORCN
617,NCGC00344515-02,Piperaquine,-0.4408953972969184,-0.2751833927614013,-0.6784622422372378,-0.3690405568921161,432.934,449.936,450.515,0.001786,,33.751982,2,antimalarial agents,
618,NCGC00408930-02,NCGC00408930,-0.43876355236997555,-0.8095958375809318,0.13927213509326136,-0.6459669546222563,390.01,531.994,426.543,,46.1,,1,NRF2 Inhibitor,
619,NCGC00021305-08,Sirolimus,-0.4372837356429666,-0.5383931005223205,-0.1831259562006566,-0.5903321502059227,411.793,499.642,431.359,,,,0,mTOR Inhibitor,MTOR
620,NCGC00390570-02,HG-6-64-1,-0.4361278752719786,0.0761114898923084,-1.2533118310196822,-0.13118328468856205,461.15,392.251,471.105,,,,0,Raf kinase B Inhibitor,BRAF
621,NCGC00263169-06,Plinabulin,-0.43560565485617025,0.440914841063147,-1.1921945123406017,-0.5555372932910561,490.451,398.384,434.371,,,0.044327,1,Tubulin polymerization Inhibitor,TUBB
622,NCGC00378801-04,BIX02188,-0.4348942848788953,-0.43256638863698815,-0.5074772505699207,-0.3646392154297771,420.293,467.094,450.896,,,,0,Mitogen-activated protein kinase 7 Inhibitor,
623,NCGC00386210-03,Golvatinib,-0.43197294378205564,-0.7877457341269604,-0.16529799547721402,-0.3428751017419925,391.765,501.431,452.78,,,,0,VEGFR-2 Inhibitor,KDR
624,NCGC00386757-02,OTX-008,-0.4301455941530603,0.11434605838640939,-1.4374311168365226,0.03264827599093232,464.221,373.775,485.287,0.000353,0.215531,0.046448,3,Allosteric Inhibitor of galectin-1,
625,NCGC00379060-01,NVP-LCQ195,-0.42944473400416683,-0.3345833036325686,-0.2984845215078524,-0.6552663768720796,428.163,488.066,425.738,,,,0,CDK1/2 Inhibitor,CDK1
626,NCGC00159559-10,Eplerenone,-0.42881099720289834,-1.2429873482548635,-0.5707769747260457,0.5273313313722141,355.2,460.742,528.109,,0.004932,,1,Mineralocorticoid Receptor (MR) Antagonist,NR3C2
627,NCGC00167982-11,Pirarubicin,-0.4284691632907791,-0.5610400168657819,-0.1713369804958871,-0.5530304925106684,409.974,500.825,434.588,,,,0,DNA Topoisomerase II Inhibitor,TOP2A
628,NCGC00346602-01,Lappaconitine,-0.4281604747877535,-0.4806739668399208,-0.184999436701499,-0.6188080208218407,416.429,499.454,428.894,,0.283634,,1,Antiinflammatory alkaloid,
629,NCGC00510111-01,VLX-600,-0.4267396536598795,-0.6480669246397199,0.1475533175198579,-0.7797053538597765,402.984,532.825,414.966,,46.1,,1,Autophagy Inducer,
630,NCGC00522629-01,ACC-789,-0.42669530149652146,-0.31447622837435535,-0.4558070569695571,-0.509802619145652,429.778,472.279,438.33,,,,0,VEGFR-2 Inhibitor,KDR
631,NCGC00160515-01,Acarbose,-0.4257447272945522,-0.5087367207916308,-0.3619935174220504,-0.40650394366997544,414.175,481.693,447.272,,,,0,alpha-Glucosidase Inhibitor,GAA
632,NCGC00163540-01,Hesperetin,-0.42517452640446696,-0.042464228224856945,-0.7028673153572548,-0.5301920356312891,451.626,447.487,436.565,0.001087,0.209234,,2,Lipid Lowering Agents,
633,NCGC00345784-11,PF-3758309,-0.42257295795604144,-0.2701535113964985,-0.7577463425814018,-0.23981901989022394,433.338,441.98,461.701,,,,0,p21-Activated Kinase 4 (PAK4) Inhibitor,PAK4
634,NCGC00379161-04,ML-228,-0.4188614306763068,-0.8772004311735618,-0.13552161389999387,-0.24386224695536474,384.58,504.419,461.351,,46.1,,1,HIF-1alpha Activator,HIF1A
635,NCGC00507847-01,Ozanimod,-0.40996110248469725,-1.0560973750653664,-0.1600064095945152,-0.013779522794210158,370.211,501.962,481.268,,,1.546144,1,Lysophospholipid edg8 (S1P5) Receptor Agonist,S1PR1
636,NCGC00093347-12,Mestranol,-0.40853974296383627,-0.5102929959664152,-0.42690762371188046,-0.2884186092132132,414.05,475.179,457.494,,,,0,Estrogen Receptor (ER) Agonist,ESR1
637,NCGC00522580-01,CC-115,-0.40391600416037304,-0.6384055683546589,-0.2881006561787144,-0.2852417879477459,403.76,489.108,457.769,,,,0,DNA-PK Inhibitor,
638,NCGC00025018-11,Yohimbine,-0.4033336018290078,-0.14602500345570316,-0.5943050995265203,-0.4696707025047999,443.308,458.381,441.804,,1.164736,46.1,2,alpha2-Adrenoceptor Antagonist,ADRA2A
639,NCGC00249390-02,Tivozanib (AV-951),-0.4032366729529271,-0.406645069325781,-0.018080296333883313,-0.784984653199117,422.375,516.204,414.509,,,,0,,FLT1
640,NCGC00161703-03,SPC-839,-0.4027099025883418,-0.3989881954658421,-0.2929736985452672,-0.516167813753916,422.99,488.619,437.779,,,,0,IKK beta Inhibitor,IKBKB
641,NCGC00238453-16,TAE-684,-0.4014431779384201,-0.23391097512612172,-0.38824217507747094,-0.5821763836116676,436.249,479.059,432.065,,,,0,ALK Inhibitor,ALK
642,NCGC00386720-01,CP-346086,-0.40019281227878734,-1.0029599154975315,-0.12568584127057053,-0.07193268006826006,374.479,505.406,476.234,,,,0,ApoB Secretion Inhibitor,
643,NCGC00015609-15,Lonidamine,-0.39956380246315515,-0.1666674373740423,-0.5398844771057708,-0.4921394929096523,441.65,463.842,439.859,46.1,,,1,Phosphotransferase (HK) (Trypanosoma brucei) Inhibitor,HK1
644,NCGC00247785-11,,-0.39771866092135566,-1.4227558062445471,0.13252561222586556,0.09707421125461463,340.761,531.317,490.864,,,,0,,
645,NCGC00346489-03,BTZ-10526043,-0.39708298237436157,-0.48785773304672514,-0.4626133717678305,-0.240777842308529,415.852,471.596,461.618,,,,0,tuberculosis pathway Inhibitor,
646,NCGC00247668-03,LDN-57444,-0.39634213386350303,-0.08905288185719926,-1.3515798694175962,0.2516063496842863,447.884,382.39,504.241,3.632777,,,1,"Reversible, competitive Inhibitor of UCH-L1 deubiquitinase",
647,NCGC00420887-01,CPI-203,-0.39340561574778354,-0.20196375833814995,-0.37901428707864043,-0.5992388018265603,438.815,479.985,430.588,0.0014,0.822844,,2,IL-6 Production Inhibitor,
648,NCGC00242249-05,SB-590885,-0.39269898320922525,-0.7135923345988379,0.026225524446679443,-0.4907301394755174,397.721,520.65,439.981,,,,0,Raf kinase B Inhibitor,BRAF
649,NCGC00480828-04,ORY-1001,-0.39162433946289427,-0.5786321514415437,-0.3135520880890963,-0.28268877885804283,408.561,486.554,457.99,20.86438,,,1,Lysine-Specific Histone Demethylase 1A (KDM1A; LSD1) Inhibitor,KDM1A
650,NCGC00346671-06,Anacetrapib,-0.39143721054959346,-0.41781289998003296,-0.13147569324391906,-0.6250230384248283,421.478,504.825,428.356,,,,0,Cholesteryl Ester Transfer Protein (CETP) Inhibitor,CETP
651,NCGC00387824-01,CUDC-305,-0.390268779513115,-0.7958010144316437,-0.19370912796605425,-0.1812961961416471,391.118,498.58,466.767,,,4.427587,1,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
652,NCGC00344626-12,GSK-J4,-0.387747870070582,-0.8787193557441508,0.1575485352982882,-0.4420727897658834,384.458,533.828,444.193,,,,0,Lysine-Specific Demethylase 6A (UTX) Inhibitor,KDM6A
653,NCGC00346600-02,Dioscin,-0.38612010358331506,-0.10886115228185392,0.061323387872037796,-1.1108225463401291,446.293,524.172,386.303,,,,0,peroxiredoxins (PRDX) 1/6,PRDX1
654,NCGC00346879-04,PNU-74654,-0.3844238351547528,-0.18211813730930063,-0.26536975712327954,-0.7057836110316783,440.409,491.389,421.365,,,,0,Wnt Signaling Inhibitor,TCF4
655,NCGC00351603-15,Ceritinib,-0.38423908438670834,-0.19484224313833695,-0.22731219311946288,-0.7305628169023252,439.387,495.208,419.22,,,,0,ALK Inhibitor,ALK
656,NCGC00015144-05,O6-Benzylguanine,-0.383835152036387,-0.28211815494024034,-0.39366331014373895,-0.4757239910251818,432.377,478.515,441.28,,,46.1,1,MGMT Inhibitor,MGMT
657,NCGC00386317-04,Ribociclib (LEE011),-0.3823931138394798,-0.2651360802329944,-0.7862670936101852,-0.09577616767525989,433.741,439.118,474.17,,,,0,CDK4/6 Inhibitor,CDK4
658,NCGC00167507-13,Lapatinib,-0.3811003697584933,-0.4371978635571464,-0.40110740553804414,-0.30499584018028947,419.921,477.768,456.059,,,,0,EGFR Inhibitor,EGFR
659,NCGC00183677-03,Hypothemycin,-0.3809580983490286,-0.3296281234760558,-0.2637852709550139,-0.5494609006160162,428.561,491.548,434.897,,,,0,Mek 1/2 Inhibitor,MAP2K1
660,NCGC00015257-18,Clofibrate,-0.37714261910977953,-0.045987635220568084,-0.6443609109931789,-0.44107931111559157,451.343,453.358,444.279,0.001375,,,1,PPARalpha Agonist,PPARA
661,NCGC00181131-08,Epothilone B,-0.3767388913570837,0.14994118418407565,0.2989165905373932,-1.57907444879272,467.08,548.014,345.769,,0.05293,0.027317,2,Tubulin depolymerization Inhibitor,TUBB
662,NCGC00015226-17,Mitotane,-0.374501729834961,-0.36753898673380087,-0.16986211286756406,-0.586104089903518,425.516,500.973,431.725,,,,0,Antineoplastic Agent,
663,NCGC00345447-10,3-Methyladenine,-0.3730745989047236,-0.21456336215320362,-0.5059425910107199,-0.39871784355024725,437.803,467.248,447.946,,,,0,PI3K Inhibitor,PIK3CA
664,NCGC00263173-05,Rucaparib,-0.3726004837141428,-0.48206838939652713,-0.23341097006901423,-0.402322091676887,416.317,494.596,447.634,,46.1,30.476954,2,PARP Inhibitor,PARP1
665,NCGC00498399-01,Aderbasib,-0.37072987155819265,-0.5314085375378889,-0.4339331755900397,-0.14684790154664934,412.354,474.474,469.749,,0.010778,,1,ADAM10 Inhibitor,ADAM10
666,NCGC00095192-05,Tegaserod maleate,-0.37045971811187245,-0.4889284503669762,-0.7972588435699155,0.1748081396012743,415.766,438.015,497.593,,,,0,5-HT4 Partial Agonist,HTR4
667,NCGC00345848-02,AMG-1,-0.36986712665945487,-0.7078901423584285,-0.13611953320877343,-0.2655917044111626,398.179,504.359,459.47,,0.025602,,1,HGFR Inhibitor,MET
668,NCGC00499577-01,JAK3i,-0.3681746379301179,-0.2832511232674834,-0.2852007475311337,-0.5360720429917365,432.286,489.399,436.056,,,,0,Jak3,JAK3
669,NCGC00482799-01,GSK-2256098,-0.36802178465529184,-0.0011918105895773591,-0.5839909914500734,-0.5188825519262248,454.941,459.416,437.544,0.001224,31.185852,,2,Focal Adhesion Kinase (FAK) Inhibitor,PTK2
670,NCGC00384172-01,WDR5-C47,-0.36700976971478594,0.028165764307553715,-0.5647280243855598,-0.5644670490663518,457.299,461.349,433.598,46.1,46.1,,2,Inhibitor of WDR5-MLL interaction. Not the mest WDR5-MLL Inhibitor available but this one offers a different chemotype.,
671,NCGC00015482-15,Gallamine triethiodide,-0.36493653459280423,-0.5391650130090136,-0.4537342700324545,-0.1019103207369446,411.731,472.487,473.639,,,,0,Muscarinic M2 Antagonist,ACHE
672,NCGC00347286-15,GSK-126,-0.3637974486150663,-0.07617937361138363,-1.1425074177810237,0.12729444554720845,448.918,403.37,493.48,,,,0,EZH2 Inhibitor,EZH2
673,NCGC00093356-10,Cytarabine,-0.36346910516792774,-1.6671906102968688,0.3277761625078177,0.2490071322852678,321.128,550.91,504.016,0.038358,,0.012852,2,DNA Polymerase Inhibitor,
674,NCGC00179642-05,Isoconazole nitrate,-0.36279434785114695,-1.0494738679214846,0.06718299709807676,-0.10609217273003309,370.743,524.76,473.277,,23.374088,,1,Antifungal Agent,
675,NCGC00238451-09,Olaparib,-0.36037064440908795,0.016425224388981162,-0.5341444517414872,-0.5633927058747578,456.356,464.418,433.691,,,,0,PARP Inhibitor,PARP1
676,NCGC00183285-06,Nilotinib,-0.35992394103022185,-0.20757879916877198,-0.11986609333178316,-0.7523269305901105,438.364,505.99,417.336,,,,0,Bcr-Abl Inhibitor,ABL1
677,NCGC00263087-10,Volasertib,-0.35940697525885174,0.21112147385519656,-0.674346564328472,-0.6149958353032798,471.994,450.349,429.224,,,,0,Polo-like Kinase-1 (Plk-1) Inhibitor,PLK1
678,NCGC00181129-08,Dasatinib,-0.3591715430598905,-0.08899063085020793,-0.5691625925923413,-0.4193614057371224,447.889,460.904,446.159,,,,0,Bcr-Abl Inhibitor,ABL1
679,NCGC00263128-02,PD-0220245,-0.35694168988946273,-0.04769331281213168,-0.8128745028508741,-0.21025725400538242,451.206,436.448,464.26,,,,0,CXCR1/CXCR2 Receptor Antagonist,CXCR1
680,NCGC00189130-07,UNC-0631,-0.356679629671817,-0.35664506051031075,-0.32934712316268844,-0.3840467053424518,426.391,484.969,449.216,,,,0,EHMT2 Inhibitor,EHMT2
681,NCGC00263233-01,IPFK2,-0.3565930156733754,0.13472703807538458,-0.46814412537404115,-0.7363619597214697,465.858,471.041,418.718,,,,0,Inducible phosphofructokinase-2 Inhibitor,PFKFB2
682,NCGC00263166-10,Obatoclax,-0.35485622927758437,-0.5558731832854977,-0.23376972165428195,-0.27492578289297337,410.389,494.56,458.662,,,,0,Bcl-xL Inhibitor,BCL2L1
683,NCGC00179308-13,Fluticasone propionate,-0.3516152980109836,-1.0289932866213234,-0.34158453834904273,0.3157319309374152,372.388,483.741,509.792,,,,0,Corticosteroid,
684,NCGC00507855-03,SGI-7079,-0.35146861882240216,0.03035699975365056,-0.9618162026678524,-0.12294665355300471,457.475,421.502,471.818,,,,0,AXL Kinase Inhibitor,AXL
685,NCGC00346571-07,SB-743921,-0.34979742604848907,-0.09159272294244733,0.46521788095260386,-1.4230174361556238,447.68,564.702,359.278,,,,0,Kinesin-Like Spindle Protein Inhibitor,KIF11
686,NCGC00499183-01,XMU-MP-1,-0.34971780970086713,0.05752333920468478,-0.5083043722803987,-0.5983723960268875,459.657,467.011,430.663,,,46.1,1,MST1/2,MST
687,NCGC00250388-04,KRP-203,-0.34964607355318944,-0.39337315463522077,-0.27151836068189583,-0.3840467053424518,423.441,490.772,449.216,,,,0,S1P1/3/4 Agonist,S1PR1
688,NCGC00390552-02,CGM-097,-0.34950425384822886,-0.34871428221960993,-0.07722448129399037,-0.6225739980310863,427.028,510.269,428.568,,,,0,MDM2 (hdm2) Inhibitor,MDM2
689,NCGC00510494-01,RRx-001,-0.3494408647768394,-0.014525976287128857,-0.5362969612530936,-0.49749965679029573,453.87,464.202,439.395,,,,0,Radiosensitizers,
