variant,description,CDK46_observed_mean_percentile,CDK46_null_mean_percentile,CDK46_empirical_p_upper,direction_observed_gt_null_mean,n_drugs_q_lt_0_05,minimum_drug_q_bh_108,CDK46_q_bh_across_variants
column_minmax,Locked column-stochastic RWR with gene-level min-max scaling,0.221183800623,0.565603114725,0.999500049995,no,1,0.010798920108,0.999500049995
column_gene_rank,Column-stochastic RWR with gene-level average-rank percentiles,0.560747663551,0.415695793697,0.034896510349,yes,0,0.16198380162,0.101589841016
uniform_ratio_gene_rank,"Column-stochastic RWR divided by the uniform-restart steady state, then gene-level average-rank percentiles",0.579439252336,0.421455918498,0.0761923807619,yes,0,0.291570842916,0.101589841016
symmetric_gene_rank,Symmetric D^-1/2 W D^-1/2 propagation with gene-level average-rank percentiles,0.607476635514,0.43580778754,0.0545945405459,yes,0,0.151184881512,0.101589841016
