arm_id,gene,raw_weight,normalized_weight,manipulated_gene
A2,AKT1,0.3,0.0135992747053,no
A2,APC,0.66,0.0299184043518,no
A2,ATM,0.39,0.017679057117,no
A2,ATR,0.39,0.017679057117,no
A2,ATRX,0.695,0.0315049864007,no
A2,BRCA1,0.4,0.0181323662738,no
A2,BRCA2,0.4,0.0181323662738,no
A2,CCNE1,0.66,0.0299184043518,no
A2,CDK4,0.69,0.0312783318223,no
A2,CDKN2A,0.73,0.0330915684497,no
A2,CHEK2,0.39,0.017679057117,no
A2,CTNNB1,0.77,0.0349048050771,no
A2,CYP11A1,0.32,0.014505893019,no
A2,CYP17A1,0.32,0.014505893019,no
A2,CYP21A2,0.32,0.014505893019,no
A2,DAXX,0.625,0.0283318223028,no
A2,EGFR,0.29,0.0131459655485,no
A2,FRS2,0.43,0.0194922937443,no
A2,HSD3B2,0.32,0.014505893019,no
A2,IGF1R,0.39,0.017679057117,no
A2,IGF2,0.74,0.0335448776065,no
A2,IL7R,0.44,0.0199456029012,no
A2,KDR,0.26,0.011786038078,no
A2,KRAS,0.45,0.020398912058,no
A2,LRP1B,0.43,0.0194922937443,no
A2,MED12,0.525,0.0237987307344,no
A2,MEN1,0.695,0.0315049864007,no
A2,MLH1,0.545,0.0247053490481,no
A2,MSH2,0.545,0.0247053490481,no
A2,MSH6,0.545,0.0247053490481,no
A2,MTOR,0.3,0.0135992747053,no
A2,NF1,0.57,0.0258386219402,no
A2,NR5A1,0.515,0.0233454215775,no
A2,PIK3CA,0.35,0.0158658204896,no
A2,PMS2,0.545,0.0247053490481,no
A2,PRKAR1A,0.705,0.0319582955576,no
A2,PTCH1,0.43,0.0194922937443,no
A2,RPL22,0.575,0.0260652765186,no
A2,STAR,0.32,0.014505893019,no
A2,TERF2,0.63,0.0285584768812,no
A2,TERT,0.7,0.0317316409791,no
A2,TP53,0.77,0.0349048050771,no
A2,VEGFA,0.26,0.011786038078,no
A2,ZNRF3,0.725,0.0328649138713,no
