variant,drug,rank_descending,top_quartile,observed_C_ACC_percentile,null_mean_C_ACC_percentile,null_sd_C_ACC_percentile,z_degree_matched,empirical_p_upper,q_bh_108,null_draws
column_gene_rank,Asciminib,1,yes,1,0.771185513736,0.150558933843,1.51976691401,0.014798520148,0.799120087991,10000
column_gene_rank,Pralatrexate,2,yes,0.990654205607,0.85672943942,0.0963058740701,1.3906188743,0.0543945605439,0.867513248675,10000
column_gene_rank,Brigatinib,3,yes,0.981308411215,0.904192525217,0.119233559557,0.646763262664,0.331366863314,0.929728648757,10000
column_gene_rank,Cladribine,4,yes,0.971962616822,0.798743925518,0.1557532351,1.11213543137,0.167383261674,0.867651696369,10000
column_gene_rank,Olaparib,5,yes,0.96261682243,0.827504672325,0.0775234813496,1.74285452295,0.00659934006599,0.712728727127,10000
column_gene_rank,Gemcitabine,6,yes,0.953271028037,0.836714486012,0.111061580612,1.04947670817,0.171682831717,0.867651696369,10000
column_gene_rank,Doxorubicin,7,yes,0.943925233645,0.91724813171,0.0364463971548,0.731954432183,0.300169983002,0.929728648757,10000
column_gene_rank,Erdafitinib,8,yes,0.934579439252,0.761584111753,0.144766049354,1.19499929901,0.112288771123,0.867651696369,10000
column_gene_rank,Azacitidine,9,yes,0.92523364486,0.926105608147,0.0415781520245,-0.0209716700986,0.63703629637,0.929728648757,10000
column_gene_rank,Ixabepilone,10,yes,0.915887850467,0.882460749123,0.11448728948,0.291972161247,0.497850214979,0.929728648757,10000
column_gene_rank,Ceritinib,11,yes,0.906542056075,0.974072901219,0.0317749756909,-2.12528392787,0.957904209579,1,10000
column_gene_rank,Mitomycin,12,yes,0.897196261682,0.892057478048,0.117900431892,0.0435857914334,0.600839916008,0.929728648757,10000
column_gene_rank,Everolimus,13,yes,0.88785046729,0.572419157918,0.189740518751,1.66243515855,0.047095290471,0.867513248675,10000
column_gene_rank,Hydroxyurea,14,yes,0.878504672897,0.70048084043,0.170499733415,1.04412968221,0.179382061794,0.867651696369,10000
column_gene_rank,Bleomycin,15,yes,0.869158878505,0.602676167314,0.180411586855,1.47708202027,0.0697930206979,0.867513248675,10000
column_gene_rank,Cyclophosphamide,16,yes,0.859813084112,0.531612148686,0.198063382959,1.6570500338,0.0676932306769,0.867513248675,10000
column_gene_rank,Decitabine,17,yes,0.85046728972,0.745253270051,0.102230668027,1.0291825506,0.169183081692,0.867651696369,10000
