drug,wC=0.0,wC=0.05,wC=0.1,wC=0.15,wC=0.2,wC=0.25,wC=0.3,wC=0.35,wC=0.4,wC=0.45,wC=0.5,wC=0.55,wC=0.6,wC=0.65,wC=0.7,wC=0.75,wC=0.8,wC=0.85,wC=0.9,wC=0.95,wC=1.0
Everolimus,45,46,47,47,49,51,57,61,62,66,76,81,84,85,88,87,92,92,93,95,94
Pralatrexate,105,104,103,100,99,98,95,92,88,86,80,71,64,58,52,43,37,32,31,26,22
Sonidegib,99,99,101,101,103,102,102,102,100,100,99,99,96,96,92,88,86,81,80,76,74
Cisplatin,97,98,99,103,104,103,103,103,103,102,102,102,101,102,101,99,98,94,94,92,90
Fludarabine,60,60,60,63,65,68,69,68,67,71,77,80,80,81,78,79,79,79,78,78,77
Vinblastine,87,89,90,92,96,100,100,100,101,101,101,101,102,103,103,104,102,99,98,96,96
Mitoxantrone,80,81,80,82,83,85,90,93,94,93,92,92,93,92,91,90,89,88,87,84,84
Vinorelbine,94,94,92,94,93,93,93,94,93,90,90,86,81,77,75,71,64,60,57,53,45
Clofarabine,88,88,87,87,87,86,89,89,90,89,89,85,83,80,77,74,71,66,62,61,59
Neratinib,107,108,108,108,108,108,108,105,104,104,103,103,103,101,99,98,93,93,90,86,83
Valrubicin,65,68,69,74,76,77,81,87,92,94,94,97,99,99,100,102,104,104,103,103,103
Teniposide,104,106,107,107,107,107,107,106,106,105,105,104,104,104,104,101,100,95,95,93,91
Idelalisib,77,77,79,81,85,89,94,95,97,99,100,100,100,100,102,103,103,101,100,100,98
umbralisib,92,92,94,95,97,99,98,98,98,98,98,98,97,97,94,91,90,86,83,81,79
Cladribine,101,102,102,104,102,101,101,99,99,97,95,93,92,89,83,80,78,73,70,66,65
Fruquintinib,90,90,91,91,95,96,97,97,96,96,97,95,94,94,90,89,88,83,82,80,78
Abiraterone,78,80,84,86,88,95,99,101,102,103,104,105,106,106,107,108,108,108,108,108,108
Bleomycin,100,103,105,106,106,106,106,108,107,107,107,106,105,105,105,105,105,105,102,101,97
Zoledronate,91,93,96,98,101,104,104,104,105,106,106,107,107,107,106,106,106,106,106,106,104
Lenvatinib,95,97,100,105,105,105,105,107,108,108,108,108,108,108,108,107,107,107,107,107,105
