drugA,drugB,published_Bindex,recovered_BACC_lambda0,abs_diff
Teniposide,Etoposide,0.535714285714285,0.535714,2.857142850087868e-07
Carmustine,Avapritinib,0.534482758620689,0.534483,2.4137931109446953e-07
Uracil mustard,Triethylenemelamine,0.533333333333333,0.533333,3.333333330468591e-07
Oxaliplatin,Pralatrexate,0.532258064516129,0.532258,6.451612899471826e-08
Tioguanine,Axitinib,0.53125,0.53125,0.0
Gilteritinib,Bleomycin,0.53125,0.53125,0.0
Tioguanine,Cabozantinib,0.53125,0.53125,0.0
Nitrogen mustard,Decitabine,0.53125,0.53125,0.0
Crizotinib,Axitinib,0.529411764705882,0.529412,2.352941179672996e-07
Ifosfamide,Axitinib,0.529411764705882,0.529412,2.352941179672996e-07
Crizotinib,Cabozantinib,0.529411764705882,0.529412,2.352941179672996e-07
Cabozantinib,Ifosfamide,0.529411764705882,0.529412,2.352941179672996e-07
Doxorubicin,Crizotinib,0.529411764705882,0.529412,2.352941179672996e-07
Panobinostat,Tamoxifen,0.527777777777777,0.527778,2.2222222295642524e-07
Panobinostat,Vorinostat,0.527777777777777,0.527778,2.2222222295642524e-07
Selumetinib,Dabrafenib,0.527314814814814,0.527315,1.851851859635545e-07
Selpercatinib,Lorlatinib,0.527027027027027,0.527027,2.7027026949788535e-08
Pralsetinib,Erdafitinib,0.526271186440677,0.526271,1.8644067700801514e-07
Irinotecan,Daunorubicin,0.522727272727272,0.522727,2.727272719882379e-07
Mitotane,Dasatinib,0.52,0.52,0.0
Bosutinib,Palbociclib,0.519230769230769,0.519231,2.3076923094667023e-07
Lapatinib,Palbociclib,0.519230769230769,0.519231,2.3076923094667023e-07
Lomustine,Axitinib,0.518518518518518,0.518519,4.814814819065205e-07
Methotrexate,Azacitidine,0.518518518518518,0.518519,4.814814819065205e-07
Cabozantinib,Lomustine,0.518518518518518,0.518519,4.814814819065205e-07
Methotrexate,Decitabine,0.518518518518518,0.518519,4.814814819065205e-07
Encorafenib,Selumetinib,0.518518518518518,0.518519,4.814814819065205e-07
Panobinostat,Methotrexate,0.518518518518518,0.518519,4.814814819065205e-07
Imatinib,Crizotinib,0.517647058823529,0.517647,5.882352904773569e-08
Carmustine,Axitinib,0.517241379310344,0.517241,3.7931034402305386e-07
Carmustine,Cabozantinib,0.517241379310344,0.517241,3.7931034402305386e-07
Pralsetinib,Lorlatinib,0.516949152542372,0.516949,1.5254237195616582e-07
Fruquintinib,Pralsetinib,0.51667577911427,0.516676,2.2088573004008794e-07
Mitoxantrone,Valrubicin,0.515151515151515,0.515152,4.848484850272783e-07
Gilteritinib,Selpercatinib,0.513513513513513,0.513514,4.864864869835728e-07
Abiraterone,Gilteritinib,0.512820512820512,0.512821,4.871794879734992e-07
Dabrafenib,Vinorelbine,0.5125,0.5125,0.0
Epirubicin,Valrubicin,0.511363636363636,0.511364,3.636363640202589e-07
Pralsetinib,Gilteritinib,0.508474576271186,0.508475,4.237288140362949e-07
Selpercatinib,Erdafitinib,0.508108108108108,0.508108,1.0810810802119875e-07
Raloxifene,Tamoxifen,0.507936507936507,0.507937,4.92063492951722e-07
Lenvatinib,Pralsetinib,0.507532956685499,0.507533,4.331450098593592e-08
Encorafenib,Cobimetinib,0.505747126436781,0.505747,1.2643678104495848e-07
Dabrafenib,Cobimetinib,0.505603448275862,0.505603,4.482758619861471e-07
Encorafenib,Dabrafenib,0.504166666666666,0.504167,3.333333340460598e-07
Celecoxib,Talazoparib,0.5,0.5,0.0
Melphalan,Chlorambucil,0.5,0.5,0.0
Thiotepa,Chlorambucil,0.5,0.5,0.0
Thiotepa,Melphalan,0.5,0.5,0.0
Mitoxantrone,Triethylenemelamine,0.5,0.5,0.0
Pemetrexed,Pralatrexate,0.5,0.5,0.0
Thiotepa,Trifluridine,0.5,0.5,0.0
Trifluridine,Triethylenemelamine,0.5,0.5,0.0
Binimetinib,Encorafenib,0.495652173913043,0.495652,1.7391304302227795e-07
Lomustine,Arsenic trioxide,0.494949494949494,0.494949,4.949494940009735e-07
Trametinib,Dabrafenib,0.493181818181818,0.493182,1.8181818201012945e-07
Dasatinib,Erdafitinib,0.49,0.49,0.0
Actinomycin D,Lomustine,0.481481481481481,0.481481,4.814814810183421e-07
Ifosfamide,Lomustine,0.479302832244008,0.479303,1.6775599198659563e-07
Trilaciclib,Palbociclib,0.473443223443223,0.473443,2.2344322297973562e-07
Valrubicin,Etoposide,0.467532467532467,0.467532,4.6753246701891626e-07
Cytarabine,Uracil mustard,0.466666666666666,0.466667,3.3333333399054865e-07
Cisplatin,Carboplatin,0.464285714285714,0.464286,2.857142859524764e-07
Abiraterone,Fruquintinib,0.463192721257237,0.463193,2.7874276303796464e-07
Raloxifene,Crizotinib,0.455882352941176,0.455882,3.5294117600725983e-07
Fludarabine,umbralisib,0.45,0.45,0.0
Trametinib,Encorafenib,0.448484848484848,0.448485,1.5151515203593036e-07
Selpercatinib,Bleomycin,0.447635135135135,0.447635,1.3513513497098728e-07
Binimetinib,Dabrafenib,0.445108695652173,0.445109,3.043478269959543e-07
Carfilzomib,Vinblastine,0.444444444444444,0.444444,4.444444439699602e-07
Thiotepa,Cytarabine,0.444444444444444,0.444444,4.444444439699602e-07
Carmustine,Arsenic trioxide,0.439655172413793,0.439655,1.7241379296484283e-07
Idarubicin,Dexrazoxane,0.439393939393939,0.439394,6.060606100311006e-08
Valrubicin,Uracil mustard,0.436363636363636,0.436364,3.6363636396474774e-07
Idarubicin,Daunorubicin,0.43560606060606,0.435606,6.060606000390933e-08
Raloxifene,Nilotinib,0.428571428571428,0.428571,4.285714280127806e-07
Actinomycin D,Crizotinib,0.426470588235294,0.426471,4.117647059986851e-07
Pralsetinib,Brigatinib,0.425847457627118,0.425847,4.5762711803343237e-07
Actinomycin D,Imatinib,0.425,0.425,0.0
Thiotepa,Idarubicin,0.424242424242424,0.424242,4.242424239686571e-07
Triethylenemelamine,Idarubicin,0.424242424242424,0.424242,4.242424239686571e-07
Irinotecan,Pipobroman,0.424242424242424,0.424242,4.242424239686571e-07
Valrubicin,Triethylenemelamine,0.424242424242424,0.424242,4.242424239686571e-07
Paclitaxel,Carfilzomib,0.422222222222222,0.422222,2.2222222201273567e-07
Paclitaxel,Vinblastine,0.422222222222222,0.422222,2.2222222201273567e-07
Abiraterone,Selpercatinib,0.421344421344421,0.421344,4.213444210199313e-07
Carmustine,Ifosfamide,0.419878296146044,0.419878,2.961460440209507e-07
Dacomitinib,Neratinib,0.416666666666666,0.416667,3.3333333399054865e-07
Avapritinib,Sunitinib,0.416666666666666,0.416667,3.3333333399054865e-07
Mitomycin,Daunorubicin,0.416666666666666,0.416667,3.3333333399054865e-07
Pipobroman,Daunorubicin,0.416666666666666,0.416667,3.3333333399054865e-07
Teniposide,Daunorubicin,0.416666666666666,0.416667,3.3333333399054865e-07
Epirubicin,Mitoxantrone,0.416666666666666,0.416667,3.3333333399054865e-07
Fedratinib,Sunitinib,0.416666666666666,0.416667,3.3333333399054865e-07
Gemcitabine,Trifluridine,0.416666666666666,0.416667,3.3333333399054865e-07
Mitomycin,Pipobroman,0.416666666666666,0.416667,3.3333333399054865e-07
Thiotepa,Mitomycin,0.416666666666666,0.416667,3.3333333399054865e-07
Pipobroman,Pemetrexed,0.416666666666666,0.416667,3.3333333399054865e-07
Pipobroman,Pralatrexate,0.416666666666666,0.416667,3.3333333399054865e-07
Topotecan,Pipobroman,0.416666666666666,0.416667,3.3333333399054865e-07
Thiotepa,Topotecan,0.416666666666666,0.416667,3.3333333399054865e-07
Topotecan,Triethylenemelamine,0.416666666666666,0.416667,3.3333333399054865e-07
Fruquintinib,Selpercatinib,0.414995640802092,0.414996,3.591979079731189e-07
Nitrogen mustard,Dexrazoxane,0.413194444444444,0.413194,4.444444439699602e-07
Lenvatinib,Selpercatinib,0.412912912912912,0.412913,8.708708798543796e-08
Carmustine,Actinomycin D,0.41235632183908,0.412356,3.2183907999749906e-07
Methotrexate,Trifluridine,0.407407407407407,0.407407,4.0740740697708944e-07
Zanubrutinib,Afatinib,0.404040404040404,0.40404,4.0404040396735397e-07
Zanubrutinib,Dacomitinib,0.404040404040404,0.40404,4.0404040396735397e-07
Crizotinib,Tamoxifen,0.40032679738562,0.400327,2.026143799960245e-07
Encorafenib,Venetoclax,0.4,0.4,0.0
Pralsetinib,Bleomycin,0.397245762711864,0.397246,2.372881359735679e-07
Nitrogen mustard,Triethylenemelamine,0.395833333333333,0.395833,3.3333333299134793e-07
Lenvatinib,Fruquintinib,0.39516129032258,0.395161,2.9032258003214295e-07
Uracil mustard,Nitrogen mustard,0.39375,0.39375,0.0
Hydroxyurea,Gemcitabine,0.392857142857142,0.392857,1.4285714200479305e-07
Crizotinib,Nilotinib,0.390756302521008,0.390756,3.0252100802208304e-07
Actinomycin D,Carfilzomib,0.388888888888888,0.388889,1.1111111197781298e-07
Docetaxel,Carfilzomib,0.388888888888888,0.388889,1.1111111197781298e-07
Docetaxel,Vinblastine,0.388888888888888,0.388889,1.1111111197781298e-07
