drug,C_ACC_pct,ACCrelative_resid_pct,S_Bneighbor_pct,NCI60_potency,MIPE_potency,S_external
Methotrexate,0.837,0.000,0.386,6.5397,-0.7584,0.50
Thiotepa,0.410,0.271,0.485,4.1687,-0.7165,0.50
Vemurafenib,0.310,0.206,0.733,5.6905,-0.4686,0.50
Everolimus,0.208,0.589,0.188,7.1744,0.4925,0.50
Selpercatinib,0.465,,0.158,4.8800,,0.50
Pralatrexate,0.750,0.028,0.344,7.5042,-0.6161,0.50
Sonidegib,0.373,0.084,0.806,5.0903,-1.0346,0.50
Cisplatin,0.253,0.103,0.789,5.6992,-0.6178,0.70
Fludarabine,0.346,0.449,0.183,4.3460,-0.3666,0.50
Vinblastine,0.184,0.196,0.829,9.0747,-0.1934,0.50
Mitoxantrone,0.302,0.262,0.537,7.3533,-0.1123,0.50
Sotorasib,0.351,,0.276,4.5961,,0.50
Ifosfamide,0.074,,0.691,3.3922,,0.50
Vinorelbine,0.531,0.131,0.339,7.7472,-0.3621,0.50
Clofarabine,0.490,0.187,0.270,6.2024,-0.3988,0.50
Neratinib,0.308,0.009,0.850,6.2629,-0.8567,0.50
Valrubicin,0.125,0.402,0.417,6.3033,0.0427,0.50
Nitrogen mustard,0.099,,0.566,5.5903,,0.50
Teniposide,0.250,0.037,0.723,6.2420,-0.7109,0.50
Idelalisib,0.157,0.290,0.406,4.7934,-0.5326,0.50
umbralisib,0.329,0.150,0.307,4.5678,-0.9088,0.50
Cladribine,0.454,0.065,0.234,5.3792,-0.9149,0.50
Fruquintinib,0.343,0.168,0.130,4.2405,-1.1097,0.50
Pemigatinib,0.205,,0.152,5.6641,,0.50
Pralsetinib,0.079,,0.223,5.7669,,0.50
Abiraterone,0.024,0.280,0.118,4.4925,-0.6171,0.50
Bleomycin,0.164,0.075,0.216,5.7882,-0.7185,0.50
Zoledronate,0.082,0.159,0.090,4.0934,-1.6917,0.50
Lenvatinib,0.079,0.121,0.116,4.6885,-0.9829,0.55
