variant,drug,rank_descending,top_quartile,observed_C_ACC_percentile,null_mean_C_ACC_percentile,null_sd_C_ACC_percentile,z_degree_matched,empirical_p_upper,q_bh_108,null_draws
column_gene_rank,Asciminib,1,yes,1,0.769627569813,0.152141272727,1.51420075604,0.015898410159,0.858514148585,10000
column_gene_rank,Pralatrexate,2,yes,0.990654205607,0.854731308764,0.0963460483263,1.41077811913,0.0544945505449,0.883111688831,10000
column_gene_rank,Brigatinib,3,yes,0.981308411215,0.905079908618,0.120423582506,0.633003112932,0.343865613439,0.919921567165,10000
column_gene_rank,Cladribine,4,yes,0.971962616822,0.801749533293,0.155834003306,1.09227177586,0.167583241676,0.891558844116,10000
column_gene_rank,Olaparib,5,yes,0.96261682243,0.82604392435,0.0782958848238,1.74431770441,0.00509949005099,0.550744925507,10000
column_gene_rank,Gemcitabine,6,yes,0.953271028037,0.838249065453,0.110961251752,1.03659575544,0.168083191681,0.891558844116,10000
column_gene_rank,Doxorubicin,7,yes,0.943925233645,0.917739253205,0.0360512078181,0.726355149373,0.306269373063,0.919921567165,10000
column_gene_rank,Erdafitinib,8,yes,0.934579439252,0.761749532139,0.145288457474,1.18956392075,0.10898910109,0.891558844116,10000
column_gene_rank,Azacitidine,9,yes,0.92523364486,0.92564112221,0.0424572394973,-0.00959735854326,0.637536246375,0.922692540872,10000
column_gene_rank,Ixabepilone,10,yes,0.915887850467,0.882500001526,0.113908501366,0.29311112464,0.49695030497,0.919921567165,10000
column_gene_rank,Ceritinib,11,yes,0.906542056075,0.973507013893,0.032430678554,-2.06486452964,0.957104289571,1,10000
column_gene_rank,Mitomycin,12,yes,0.897196261682,0.89243645021,0.115439903671,0.0412319425143,0.60303969603,0.922692540872,10000
column_gene_rank,Everolimus,13,yes,0.88785046729,0.572578036587,0.189002257171,1.66808817748,0.047595240476,0.883111688831,10000
column_gene_rank,Hydroxyurea,14,yes,0.878504672897,0.703484111196,0.16937399866,1.03333783867,0.181081891811,0.891558844116,10000
column_gene_rank,Bleomycin,15,yes,0.869158878505,0.603199999347,0.179325489651,1.48310694523,0.0676932306769,0.883111688831,10000
column_gene_rank,Cyclophosphamide,16,yes,0.859813084112,0.53188831711,0.196658392616,1.66748422297,0.0673932606739,0.883111688831,10000
column_gene_rank,Decitabine,17,yes,0.85046728972,0.74149439159,0.103677541876,1.05107524887,0.163083691631,0.891558844116,10000
column_gene_rank,Sirolimus,18,yes,0.841121495327,0.768222897035,0.144500910291,0.504485391445,0.355164483552,0.919921567165,10000
column_gene_rank,Venetoclax,19,yes,0.831775700935,0.842513552728,0.15554272934,-0.0690347394527,0.633936606339,0.922692540872,10000
column_gene_rank,Sunitinib,20,yes,0.822429906542,0.791458878312,0.119517226928,0.259134427954,0.422057794221,0.919921567165,10000
