arm_id,gene,raw_weight,normalized_weight,manipulated_gene
B2_lo,AR,0.0112770911659,0.0112123572451,no
B2_lo,ASNS,0.0123823668383,0.0123112883002,no
B2_lo,BCL2,0.0174414438876,0.0173413247141,no
B2_lo,BCL2L11,0.0080641151553,0.0080178246905,no
B2_lo,CAV1,0.00763258810586,0.0075887747371,no
B2_lo,CCNB1,0.0108008462875,0.0107388461566,no
B2_lo,CDH1,0.136837698827,0.136052208968,no
B2_lo,ESR1,0.0221919679172,0.0220645792962,no
B2_lo,FOXM1,0.00778090223857,0.00773623750174,no
B2_lo,GATA3,0.1470904633,0.146246119465,no
B2_lo,IGFBP2,0.00811255947,0.00806599092016,no
B2_lo,INPP4B,0.0130665496213,0.0129915436667,no
B2_lo,IRS1,0.0082653453856,0.0082178997983,no
B2_lo,KMT2C,0.113993341761,0.113338985434,no
B2_lo,MAP3K1,0.116848886394,0.116178138376,no
B2_lo,MAPK9,0.00950775573347,0.00945317833426,no
B2_lo,PARK7,0.011816686302,0.0117488549416,no
B2_lo,PGR,0.0135181996938,0.0134406011309,no
B2_lo,PIK3CA,0.149059429858,0.148203783558,no
B2_lo,PREX1,0.0110341242952,0.0109707850779,no
B2_lo,RB1,0.00577344436696,0.00574030304667,yes
B2_lo,SYK,0.00755209601373,0.00750874469398,no
B2_lo,TP53,0.140264352387,0.139459192498,no
B2_lo,TP53BP1,0.00773320322101,0.007688812291,no
B2_lo,XRCC1,0.00772798614097,0.00768362515858,no
