variant,description,CDK46_observed_mean_percentile,CDK46_null_mean_percentile,CDK46_empirical_p_upper,direction_observed_gt_null_mean,n_drugs_q_lt_0_05,minimum_drug_q_bh_108,CDK46_q_bh_across_variants
column_minmax,Locked column-stochastic RWR with gene-level min-max scaling,0.725856697819,0.564704049253,0.109289071093,yes,0,0.496750324968,0.437156284372
column_gene_rank,Column-stochastic RWR with gene-level average-rank percentiles,0.395638629283,0.418788472881,0.588841115888,no,0,0.550744925507,0.588841115888
uniform_ratio_gene_rank,"Column-stochastic RWR divided by the uniform-restart steady state, then gene-level average-rank percentiles",0.411214953271,0.421839407663,0.536546345365,no,0,0.10798920108,0.588841115888
symmetric_gene_rank,Symmetric D^-1/2 W D^-1/2 propagation with gene-level average-rank percentiles,0.414330218069,0.434257787594,0.562843715628,no,0,0.579542045795,0.588841115888
