drug,n_d,n_seed,n_nonseed,seed_hits,L_count,L_weighted,C_seed,C_nonseed,obs_C_ACC_pct,z_matched,ADRS_comp,MIPE
pralatrexate,2,2,0,"MEN1,TERT",0.4,0.012242211496270292,0.42097819999999997,,1.0,2.73107284163,0.514018691589,0.6161
ixazomib,5,3,2,"ATR,CDK4,DAXX",0.375,0.009351689337428694,0.4234356666666667,0.036252,0.990654205607,2.36063739706,0.864485981308,-1.2885
pemetrexed,2,1,1,TERT,0.2,0.006143045195261079,0.28443324999999997,0.04047025,0.981308411215,3.26719573884,0.560747663551,0.7313
doxorubicin,1,1,0,BRCA1,0.25,0.004387889425186484,0.19235075000000001,,0.971962616822,1.02444553004,0.691588785047,-0.2015
gemcitabine,4,1,3,TERT,0.14285714285714285,0.004387889425186485,0.28443324999999997,0.035562166666666666,0.96261682243,2.56328805937,0.607476635514,0.1999
cytarabine,9,2,7,"MSH6,TERT",0.16666666666666666,0.004552435278630977,0.38164600000000004,0.024104000000000004,0.953271028037,2.281210699,0.869158878505,-0.3635
tioguanine,16,3,13,"MEN1,MSH2,TERT",0.15789473684210525,0.0044802660446640954,0.47935833333333333,0.022842125,0.943925233645,1.9373325524,0.495327102804,0.728
abemaciclib,5,1,4,RB1,0.125,0.004003949100482667,0.28937725000000003,0.027806285714285717,0.934579439252,2.73433296727,0.81308411215,-0.4944
belinostat,5,1,4,MEN1,0.125,0.0038119789381307586,0.28116675,0.02992214285714286,0.92523364486,2.5714883541,0.845794392523,-0.9824
trifluridine,6,1,5,TERT,0.1111111111111111,0.0034128028862561548,0.28443324999999997,0.029536625000000004,0.915887850467,1.44736095025,0.485981308411,1.1717
epirubicin,4,1,3,MSH6,0.14285714285714285,0.003416285338180906,0.2320015,0.0289755,0.906542056075,3.37008748398,0.64953271028,-0.0615
fluorouracil,12,2,10,"BRCA2,TERT",0.13333333333333333,0.003217785578470088,0.3447766,0.023635846153846157,0.897196261682,1.65230443875,0.766355140187,0.0845
daunorubicin,12,2,10,"BRCA1,TERT",0.13333333333333333,0.003217785578470088,0.34992540000000005,0.01837623076923077,0.88785046729,1.43655805671,0.855140186916,-1.6185
hydroxyurea,7,1,6,TERT,0.1,0.0030715225976305394,0.28443324999999997,0.02242877777777778,0.878504672897,2.291836982,0.630841121495,0.5466
mitomycin,12,2,10,"BRCA1,MSH6",0.13333333333333333,0.0027643703378674852,0.30798000000000003,0.022262615384615384,0.869158878505,0.683118975769,0.85046728972,-1.2491
ixabepilone,11,2,9,"BRCA2,CHEK2",0.14285714285714285,0.0024760233184980872,0.26235100000000006,0.02939633333333333,0.859813084112,0.247003793068,0.584112149533,-0.1025
methotrexate,27,3,24,"MEN1,MSH2,TERT",0.1,0.00283750182828726,0.47935833333333333,0.01833959259259259,0.85046728972,0.801378276501,0.42523364486,0.7584
mercaptopurine,27,3,24,"MEN1,MSH2,TERT",0.1,0.00283750182828726,0.47935833333333333,0.01643437037037037,0.841121495327,1.29227956291,0.710280373832,-0.0215
paclitaxel,10,1,9,TERT,0.07692307692307693,0.0023627096904850304,0.28443324999999997,0.02442541666666667,0.831775700935,1.58109813062,0.714953271028,-0.6775
oxaliplatin,31,3,28,"MEN1,MSH2,TERT",0.08823529411764706,0.0025036780837828765,0.47935833333333333,0.017509903225806454,0.822429906542,0.904188507825,0.420560747664,1.1455
docetaxel,12,1,11,TERT,0.06666666666666667,0.0020476817317536928,0.28443324999999997,0.02334764285714286,0.81308411215,1.91869824575,0.803738317757,-2.0647
irinotecan,11,1,10,TERT,0.07142857142857142,0.0021939447125932424,0.28443324999999997,0.01637215384615385,0.803738317757,2.87193215728,0.878504672897,-0.7573
etoposide,7,1,6,BRCA1,0.1,0.0017551557700745935,0.19235075000000001,0.022434222222222223,0.794392523364,0.499542505195,0.57476635514,0.3661
allopurinol,13,1,12,MEN1,0.0625,0.0019059894690653793,0.28116675,0.019093066666666665,0.785046728972,3.91270444215,0.579439252336,0.6056
dabrafenib,40,4,36,"ATM,ATR,BRCA2,CDK4",0.09302325581395349,0.0019082216802555176,0.4082054285714286,0.012301615384615385,0.775700934579,1.24396636559,0.434579439252,0.8881
