component,target,n,spearman,P
C_seed,obs_C_ACC_pct,46,0.7240361924929539,1.2958491480469532e-08
C_seed,z_matched,46,0.5557882203154333,6.0762030644803025e-05
C_seed,MIPE,46,0.102831971213065,0.4964711285157479
C_nonseed,obs_C_ACC_pct,106,0.2551805444294977,0.008291806722619807
C_nonseed,z_matched,106,-0.2539512200037283,0.008619250429813336
C_nonseed,MIPE,106,-0.10413433828551584,0.28809600151271497
C_ACC|L_count,z_matched,108,0.04190849365932487,0.6667248637602794
