drug_a,drug_b,intersection_n,union_n,jaccard,n_a,n_b,shared_genes
axitinib,cabozantinib,1,1,1.0,1,1,ZNF521
bosutinib,lapatinib,1,1,1.0,1,1,MLLT10
binimetinib,trametinib,20,25,0.8,23,22,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;EML4;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;RNF43;SH2B3;SHTN1;SLC45A3;SRSF2;STAT6;TNFRSF14
cobimetinib,trametinib,22,29,0.7586206896551724,29,22,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CASP8;EML4;ERBB3;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;RNF43;SH2B3;SHTN1;SLC45A3;SRSF2;STAT6;TNFRSF14
cobimetinib,selumetinib,24,32,0.75,29,27,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;BLM;CASP8;CHD4;CREB3L2;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;PALB2;PTCH1;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
binimetinib,cobimetinib,22,30,0.7333333333333333,23,29,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CREB3L2;EML4;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;RNF43;SH2B3;SHTN1;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
binimetinib,selumetinib,20,30,0.6666666666666666,23,27,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CREB3L2;EP300;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
teniposide,valrubicin,7,12,0.5833333333333334,8,11,CTCF;IKZF1;P2RY8;SUB1;TAF15;WAS;ZEB1
selumetinib,trametinib,18,31,0.5806451612903226,27,22,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CASP8;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;SH2B3;SLC45A3;SRSF2;STAT6;TNFRSF14
carmustine,lomustine,20,36,0.5555555555555556,29,27,AMER1;ARID1A;BCLAF1;BCOR;CBFB;CHD4;CNTRL;DDX5;DDX6;EWSR1;FUBP1;LCP1;MYB;NONO;RBM10;SPEN;THRAP3;TRIM24;ZNF521;ZRSR2
acalabrutinib,tucatinib,1,2,0.5,1,2,ERBB4
afatinib,neratinib,5,10,0.5,9,6,LASP1;MGMT;MPL;PAX5;PDGFB
gilteritinib,lorlatinib,1,2,0.5,1,2,BCL3
sirolimus,temsirolimus,1,2,0.5,2,1,FAS
docetaxel,paclitaxel,7,15,0.4666666666666667,12,10,AMER1;CNTRL;EWSR1;FEN1;KDM5C;PHF6;TERT
mercaptopurine,tioguanine,13,30,0.43333333333333335,27,16,BAZ1A;CHD4;LARP4B;MAX;MEN1;MSH2;POLE;SPEN;SPOP;TERT;TOP1;TRIM27;U2AF1
gemcitabine,thiotepa,2,5,0.4,4,3,FLT3;KDM5A
afatinib,dacomitinib,5,13,0.38461538461538464,9,9,ERBB4;LASP1;PAX5;PDGFB;SLC34A2
dacomitinib,ibrutinib,6,16,0.375,9,13,ERBB4;LASP1;NUTM1;PDGFB;PREX2;WIF1
encorafenib,vemurafenib,10,27,0.37037037037037035,15,22,ACVR1;CREB3L2;GAS7;IDH1;NFATC2;NFE2L2;SH2B3;SND1;TNFRSF14;WWTR1
cytarabine,trifluridine,4,11,0.36363636363636365,9,6,FLT3;POLR2A;TAF15;TERT
duvelisib,idelalisib,4,11,0.36363636363636365,6,9,AFF3;CALR;CDKN2C;NBEA
etoposide,teniposide,4,11,0.36363636363636365,7,8,SUB1;TAF15;WAS;ZEB1
daunorubicin,irinotecan,6,17,0.35294117647058826,12,11,ATF1;FUBP1;RFWD3;SUB1;TAF15;TERT
dabrafenib,selumetinib,17,50,0.34,40,27,ACSL3;ASXL2;ATIC;BIRC6;BLM;CASP8;CNBD1;ETV4;MAP3K1;NFE2L2;PALB2;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
bosutinib,sunitinib,1,3,0.3333333333333333,1,3,MLLT10
chlorambucil,melphalan,3,9,0.3333333333333333,6,6,FNBP1;KDM5A;TAF15
chlorambucil,topotecan,2,6,0.3333333333333333,6,2,FNBP1;TAF15
lapatinib,sunitinib,1,3,0.3333333333333333,1,3,MLLT10
melphalan,topotecan,2,6,0.3333333333333333,6,2,FNBP1;TAF15
pemetrexed,pralatrexate,1,3,0.3333333333333333,2,2,TERT
pemetrexed,trifluridine,2,6,0.3333333333333333,2,6,RFWD3;TERT
raloxifene,tamoxifen,8,24,0.3333333333333333,14,18,BCOR;BLM;CHD4;CHEK2;CNTRL;CRTC1;EWSR1;MYB
cobimetinib,dabrafenib,17,52,0.3269230769230769,29,40,ACSL3;ASXL2;ATIC;BIRC6;BLM;CASP8;ERBB3;ETV4;MAP3K1;NFE2L2;PALB2;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
encorafenib,selumetinib,10,32,0.3125,15,27,ASXL2;CASP8;CREB3L2;IDH1;MAP3K1;NFE2L2;SH2B3;SND1;STAT6;TNFRSF14
binimetinib,encorafenib,9,29,0.3103448275862069,23,15,ASXL2;CREB3L2;IDH1;MAP3K1;NFE2L2;SH2B3;SND1;STAT6;TNFRSF14
mitoxantrone,valrubicin,4,13,0.3076923076923077,6,11,FLI1;SMARCE1;TAF15;ZEB1
carboplatin,cisplatin,3,10,0.3,7,6,LCP1;QKI;TET1
cytarabine,gemcitabine,3,10,0.3,9,4,FANCA;FLT3;TERT
abiraterone,fruquintinib,16,54,0.2962962962962963,39,31,ACKR3;CDH11;COL1A1;COL2A1;COL3A1;CREB3L1;FLNA;IL6ST;ITGAV;JAZF1;JUN;MN1;NDRG1;RUNX1T1;TMEM127;TPM4
cobimetinib,encorafenib,10,34,0.29411764705882354,29,15,ASXL2;CASP8;CREB3L2;IDH1;MAP3K1;NFE2L2;SH2B3;SND1;STAT6;TNFRSF14
crizotinib,raloxifene,7,24,0.2916666666666667,17,14,BCOR;BLM;CHD4;CNTRL;LCP1;MYB;TRIM24
dabrafenib,trametinib,14,48,0.2916666666666667,40,22,ACSL3;ASXL2;ATIC;BIRC6;CASP8;ERBB3;ETV4;MAP3K1;NFE2L2;SH2B3;SLC45A3;SRSF2;STAT6;TNFRSF14
carfilzomib,vinblastine,4,14,0.2857142857142857,9,9,AMER1;CNTRL;KDM5C;PHF6
chlorambucil,thiotepa,2,7,0.2857142857142857,6,3,KDM5A;TAF15
etoposide,valrubicin,4,14,0.2857142857142857,7,11,SUB1;TAF15;WAS;ZEB1
fludarabine,umbralisib,2,7,0.2857142857142857,4,5,JAK3;LARP4B
melphalan,thiotepa,2,7,0.2857142857142857,6,3,KDM5A;TAF15
thiotepa,trifluridine,2,7,0.2857142857142857,3,6,FLT3;TAF15
daunorubicin,idarubicin,5,18,0.2777777777777778,12,11,ARID2;ATF1;BRCA1;RFWD3;TAF15
encorafenib,trametinib,8,29,0.27586206896551724,15,22,ASXL2;CASP8;IDH1;MAP3K1;NFE2L2;SH2B3;STAT6;TNFRSF14
nilotinib,raloxifene,6,22,0.2727272727272727,14,14,BLM;CHD4;CHEK2;LCP1;MYB;TRIM24
carfilzomib,paclitaxel,4,15,0.26666666666666666,9,10,AMER1;CNTRL;KDM5C;PHF6
imatinib,nilotinib,4,15,0.26666666666666666,5,14,BLM;CHD4;LCP1;MYB
imatinib,raloxifene,4,15,0.26666666666666666,5,14,BLM;CHD4;LCP1;MYB
paclitaxel,vinblastine,4,15,0.26666666666666666,10,9,AMER1;CNTRL;KDM5C;PHF6
daunorubicin,mitomycin,5,19,0.2631578947368421,12,12,BRCA1;CTCF;RFWD3;TAF15;XPO1
actinomycin d,crizotinib,6,23,0.2608695652173913,12,17,BRCA1;CHD4;CNTRL;LCP1;MYB;RAD17
dexrazoxane,idarubicin,6,23,0.2608695652173913,18,11,ARID2;ATF1;BRD3;PPM1D;TAF15;ZCCHC8
binimetinib,dabrafenib,13,50,0.26,23,40,ACSL3;ASXL2;ATIC;BIRC6;ETV4;MAP3K1;NFE2L2;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
actinomycin d,lomustine,8,31,0.25806451612903225,12,27,BCLAF1;CHD4;CNTRL;DDX5;EWSR1;LCP1;MYB;PHF6
brigatinib,lorlatinib,2,8,0.25,8,2,BCL3;EPAS1
crizotinib,tamoxifen,7,28,0.25,17,18,BCOR;BLM;CHD4;CNTRL;MYB;RALGDS;SRSF2
dabrafenib,encorafenib,11,44,0.25,40,15,ASXL2;ATR;CASP8;GAS7;MAP3K1;NFATC2;NFE2L2;SH2B3;SND1;STAT6;TNFRSF14
dacomitinib,neratinib,3,12,0.25,9,6,LASP1;PAX5;PDGFB
dasatinib,erdafitinib,7,28,0.25,25,10,ABL1;EGFR;ELF4;FGFR1;FLNA;JUN;MYH9
daunorubicin,teniposide,4,16,0.25,12,8,CTCF;IKZF1;SUB1;TAF15
epirubicin,mitoxantrone,2,8,0.25,4,6,FLI1;ZEB1
epirubicin,valrubicin,3,12,0.25,4,11,FLI1;TCF12;ZEB1
gemcitabine,trifluridine,2,8,0.25,4,6,FLT3;TERT
thiotepa,topotecan,1,4,0.25,3,2,TAF15
crizotinib,nilotinib,6,25,0.24,17,14,BLM;CHD4;FOXO4;LCP1;MYB;TRIM24
dacarbazine,tioguanine,6,25,0.24,15,16,BRAF;CHD4;MAX;SPEN;TRIM27;U2AF1
actinomycin d,raloxifene,5,21,0.23809523809523808,12,14,CHD4;CNTRL;EWSR1;LCP1;MYB
actinomycin d,carfilzomib,4,17,0.23529411764705882,12,9,CNTRL;PHF6;RAD17;SF3B1
carfilzomib,docetaxel,4,17,0.23529411764705882,9,12,AMER1;CNTRL;KDM5C;PHF6
docetaxel,vinblastine,4,17,0.23529411764705882,12,9,AMER1;CNTRL;KDM5C;PHF6
cytarabine,hydroxyurea,3,13,0.23076923076923078,9,7,BAZ1A;FLT3;TERT
fruquintinib,lenvatinib,9,40,0.225,31,18,ACKR3;COL1A1;COL3A1;FLNA;FSTL3;JUN;MYH9;PDCD1LG2;SFRP4
afatinib,osimertinib,2,9,0.2222222222222222,9,2,ELF3;PDGFB
crizotinib,imatinib,4,18,0.2222222222222222,17,5,BLM;CHD4;LCP1;MYB
crizotinib,lomustine,8,36,0.2222222222222222,17,27,BCOR;CHD4;CNTRL;LCP1;MYB;RALGDS;TRIM24;ZNF521
dacomitinib,tucatinib,2,9,0.2222222222222222,9,2,ERBB4;PREX2
gemcitabine,hydroxyurea,2,9,0.2222222222222222,4,7,FLT3;TERT
binimetinib,vemurafenib,8,37,0.21621621621621623,23,22,ACSL3;ATP1A1;CREB3L2;IDH1;NFE2L2;SH2B3;SND1;TNFRSF14
lomustine,tamoxifen,8,37,0.21621621621621623,27,18,BCLAF1;BCOR;CHD4;CNTRL;EWSR1;MYB;RALGDS;RBM10
actinomycin d,imatinib,3,14,0.21428571428571427,12,5,CHD4;LCP1;MYB
erlotinib,vandetanib,3,14,0.21428571428571427,11,6,ITGAV;LPP;PTPN13
idarubicin,melphalan,3,14,0.21428571428571427,11,6,KDM5A;SETD1B;TAF15
irinotecan,trifluridine,3,14,0.21428571428571427,11,6,RFWD3;TAF15;TERT
carmustine,crizotinib,8,38,0.21052631578947367,29,17,BCOR;CHD4;CNTRL;LCP1;MYB;POT1;TRIM24;ZNF521
daunorubicin,valrubicin,4,19,0.21052631578947367,12,11,CTCF;IKZF1;SUB1;TAF15
idarubicin,mitomycin,4,19,0.21052631578947367,11,12,BRCA1;KDM5A;RFWD3;TAF15
ixabepilone,tamoxifen,5,24,0.20833333333333334,11,18,CHEK2;EWSR1;MYB;NTHL1;SRSF2
methotrexate,oxaliplatin,10,48,0.20833333333333334,27,31,BLM;EWSR1;MEN1;MSH2;MYC;SET;SETD1B;TAF15;TERT;ZMYM3
actinomycin d,carmustine,7,34,0.20588235294117646,12,29,BCLAF1;CHD4;CNTRL;DDX5;EWSR1;LCP1;MYB
lomustine,raloxifene,7,34,0.20588235294117646,27,14,BCOR;CHD4;CNTRL;EWSR1;LCP1;MYB;TRIM24
abemaciclib,temsirolimus,1,5,0.2,5,1,FAS
actinomycin d,tamoxifen,5,25,0.2,12,18,BCLAF1;CHD4;CNTRL;EWSR1;MYB
chlorambucil,cisplatin,2,10,0.2,6,6,FNBP1;KDM5A
chlorambucil,mitoxantrone,2,10,0.2,6,6,TAF15;ZEB1
cisplatin,melphalan,2,10,0.2,6,6,FNBP1;KDM5A
cladribine,thiotepa,1,5,0.2,3,3,FLT3
clofarabine,gemcitabine,1,5,0.2,2,4,FANCA
cytarabine,thiotepa,2,10,0.2,9,3,FLT3;TAF15
daunorubicin,melphalan,3,15,0.2,12,6,CTCF;DDX5;TAF15
daunorubicin,trifluridine,3,15,0.2,12,6,RFWD3;TAF15;TERT
duvelisib,vandetanib,2,10,0.2,6,6,NBEA;PREX2
gemcitabine,pemetrexed,1,5,0.2,4,2,TERT
gemcitabine,pralatrexate,1,5,0.2,4,2,TERT
melphalan,mitomycin,3,15,0.2,6,12,CTCF;KDM5A;TAF15
mitomycin,trifluridine,3,15,0.2,12,6,POLR2A;RFWD3;TAF15
selumetinib,vemurafenib,8,41,0.1951219512195122,27,22,ACSL3;ATP1A1;CREB3L2;IDH1;NFE2L2;SH2B3;SND1;TNFRSF14
carmustine,raloxifene,7,36,0.19444444444444445,29,14,BCOR;CHD4;CNTRL;EWSR1;LCP1;MYB;TRIM24
dexrazoxane,palbociclib,7,37,0.1891891891891892,18,26,BCL11B;KMT2D;MLLT6;PTPN6;SETDB1;TRIM24;ZCCHC8
ceritinib,palbociclib,6,32,0.1875,12,26,BLM;MLLT6;PTPN6;SETDB1;SYK;TOP1
daunorubicin,etoposide,3,16,0.1875,12,7,BRCA1;SUB1;TAF15
cobimetinib,vemurafenib,8,43,0.18604651162790697,29,22,ACSL3;ATP1A1;CREB3L2;IDH1;NFE2L2;SH2B3;SND1;TNFRSF14
nilotinib,tamoxifen,5,27,0.18518518518518517,14,18,BLM;CHD4;CHEK2;MYB;TFRC
chlorambucil,etoposide,2,11,0.18181818181818182,6,7,TAF15;ZEB1
daunorubicin,methotrexate,6,33,0.18181818181818182,12,27,ATF1;CTCF;RFWD3;TAF15;TERT;XPO1
docetaxel,lomustine,6,33,0.18181818181818182,12,27,AMER1;ARID1A;CNTRL;EWSR1;PHF6;SMC1A
etoposide,mitoxantrone,2,11,0.18181818181818182,7,6,TAF15;ZEB1
everolimus,lorlatinib,2,11,0.18181818181818182,11,2,BCL3;EPAS1
hydroxyurea,trifluridine,2,11,0.18181818181818182,7,6,FLT3;TERT
irinotecan,pemetrexed,2,11,0.18181818181818182,11,2,RFWD3;TERT
methotrexate,mitomycin,6,33,0.18181818181818182,27,12,CBFB;CTCF;POLR2A;RFWD3;TAF15;XPO1
cytarabine,irinotecan,3,17,0.17647058823529413,9,11,BAZ1A;TAF15;TERT
encorafenib,venetoclax,3,17,0.17647058823529413,15,5,CASP8;SND1;TNFRSF14
carmustine,tamoxifen,7,40,0.175,29,18,BCLAF1;BCOR;CHD4;CNTRL;EWSR1;MYB;RBM10
cyclophosphamide,valrubicin,4,23,0.17391304347826086,16,11,FLI1;IKZF1;P2RY8;WAS
dabrafenib,vemurafenib,9,53,0.16981132075471697,40,22,ACSL3;GAS7;IRF4;NFATC2;NFE2L2;PAX3;SH2B3;SND1;TNFRSF14
abemaciclib,sirolimus,1,6,0.16666666666666666,5,2,FAS
actinomycin d,vinblastine,3,18,0.16666666666666666,12,9,CHD4;CNTRL;PHF6
belinostat,pralatrexate,1,6,0.16666666666666666,5,2,MEN1
chlorambucil,teniposide,2,12,0.16666666666666666,6,8,TAF15;ZEB1
cladribine,gemcitabine,1,6,0.16666666666666666,3,4,FLT3
cytarabine,mitomycin,3,18,0.16666666666666666,9,12,MSH6;POLR2A;TAF15
dacarbazine,mercaptopurine,6,36,0.16666666666666666,15,27,CHD4;FOXO4;MAX;SPEN;TRIM27;U2AF1
daunorubicin,pemetrexed,2,12,0.16666666666666666,12,2,RFWD3;TERT
decitabine,melphalan,1,6,0.16666666666666666,1,6,CTCF
erdafitinib,lenvatinib,4,24,0.16666666666666666,10,18,FLNA;FSTL3;JUN;MYH9
idarubicin,thiotepa,2,12,0.16666666666666666,11,3,KDM5A;TAF15
ixabepilone,paclitaxel,3,18,0.16666666666666666,11,10,EWSR1;FEN1;SPEN
melphalan,teniposide,2,12,0.16666666666666666,6,8,CTCF;TAF15
mitoxantrone,teniposide,2,12,0.16666666666666666,6,8,TAF15;ZEB1
abiraterone,lenvatinib,8,49,0.16326530612244897,39,18,ACKR3;COL1A1;COL3A1;FAT4;FLNA;JUN;NRG1;PIM1
tamoxifen,vorinostat,5,31,0.16129032258064516,18,18,BLM;CHD4;MYB;NTHL1;RALGDS
allopurinol,tioguanine,4,25,0.16,13,16,LARP4B;MAX;MEN1;TRIM27
ceritinib,crizotinib,4,25,0.16,12,17,BLM;MLLT6;MYB;SRSF2
dacarbazine,nilotinib,4,25,0.16,15,14,CHD4;FIP1L1;FOXO4;TRIM27
fruquintinib,zoledronate,7,44,0.1590909090909091,31,20,AKT3;COL1A1;CREB3L1;EXT1;IL6ST;MYH9;PDCD1LG2
actinomycin d,paclitaxel,3,19,0.15789473684210525,12,10,CNTRL;EWSR1;PHF6
afatinib,ibrutinib,3,19,0.15789473684210525,9,13,ERBB4;LASP1;PDGFB
idarubicin,irinotecan,3,19,0.15789473684210525,11,11,ATF1;RFWD3;TAF15
trametinib,vemurafenib,6,38,0.15789473684210525,22,22,ACSL3;ATP1A1;IDH1;NFE2L2;SH2B3;TNFRSF14
abiraterone,zoledronate,8,51,0.1568627450980392,39,20,CALR;COL1A1;CREB3L1;FAT4;FOXO3;IL6ST;MAF;NOTCH2
lomustine,paclitaxel,5,32,0.15625,27,10,AMER1;CNTRL;EWSR1;PHF6;SPEN
ceritinib,dexrazoxane,4,26,0.15384615384615385,12,18,MLLT6;PTEN;PTPN6;SETDB1
ceritinib,tamoxifen,4,26,0.15384615384615385,12,18,BLM;MYB;SRSF2;SYK
chlorambucil,cytarabine,2,13,0.15384615384615385,6,9,BAZ1A;TAF15
cytarabine,mitoxantrone,2,13,0.15384615384615385,9,6,SMARCE1;TAF15
daunorubicin,dexrazoxane,4,26,0.15384615384615385,12,18,ARID2;ATF1;FUBP1;TAF15
hydroxyurea,teniposide,2,13,0.15384615384615385,7,8,IKZF1;WAS
ibrutinib,tucatinib,2,13,0.15384615384615385,13,2,ERBB4;PREX2
idelalisib,vandetanib,2,13,0.15384615384615385,9,6,NBEA;PTPN13
mitomycin,thiotepa,2,13,0.15384615384615385,12,3,KDM5A;TAF15
irinotecan,methotrexate,5,33,0.15151515151515152,11,27,ATF1;CBFB;RFWD3;TAF15;TERT
lenvatinib,zoledronate,5,33,0.15151515151515152,18,20,COL1A1;FAT4;MYH11;MYH9;PDCD1LG2
carboplatin,cyclophosphamide,3,20,0.15,7,16,ARID1A;FLI1;PTPRC
ceritinib,ixabepilone,3,20,0.15,12,11,BRCA2;MYB;SRSF2
cyclophosphamide,hydroxyurea,3,20,0.15,16,7,IKZF1;TERT;WAS
erdafitinib,ibrutinib,3,20,0.15,10,13,EGFR;FSTL3;PTPRD
fluorouracil,ixabepilone,3,20,0.15,12,11,BRCA2;MYC;NTHL1
imatinib,tamoxifen,3,20,0.15,5,18,BLM;CHD4;MYB
imatinib,vorinostat,3,20,0.15,5,18,BLM;CHD4;MYB
irinotecan,mitomycin,3,20,0.15,11,12,CBFB;RFWD3;TAF15
nilotinib,vinblastine,3,20,0.15,14,9,CHD4;FOXO4;SDHB
mercaptopurine,methotrexate,7,47,0.14893617021276595,27,27,CHD4;MEN1;MSH2;N4BP2;SETD1B;TERT;TOP1
actinomycin d,docetaxel,3,21,0.14285714285714285,12,12,CNTRL;EWSR1;PHF6
allopurinol,mercaptopurine,5,35,0.14285714285714285,13,27,KMT2D;LARP4B;MAX;MEN1;TRIM27
asciminib,imatinib,1,7,0.14285714285714285,3,5,MYB
cisplatin,topotecan,1,7,0.14285714285714285,6,2,FNBP1
cyclophosphamide,darolutamide,3,21,0.14285714285714285,16,8,BTK;PTPRC;VAV1
cyclophosphamide,teniposide,3,21,0.14285714285714285,16,8,IKZF1;P2RY8;WAS
dasatinib,fruquintinib,7,49,0.14285714285714285,25,31,ABL1;CREB3L1;EXT1;FLNA;ITGAV;JUN;MYH9
doxorubicin,etoposide,1,7,0.14285714285714285,1,7,BRCA1
duvelisib,tucatinib,1,7,0.14285714285714285,6,2,PREX2
erlotinib,ibrutinib,3,21,0.14285714285714285,11,13,EGFR;LASP1;PDGFB
imatinib,selinexor,1,7,0.14285714285714285,5,3,LCP1
mitoxantrone,topotecan,1,7,0.14285714285714285,6,2,TAF15
neratinib,osimertinib,1,7,0.14285714285714285,6,2,PDGFB
nilotinib,vorinostat,4,28,0.14285714285714285,14,18,BLM;CHD4;MYB;TRIM27
paclitaxel,raloxifene,3,21,0.14285714285714285,10,14,BLM;CNTRL;EWSR1
pralatrexate,trifluridine,1,7,0.14285714285714285,2,6,TERT
topotecan,trifluridine,1,7,0.14285714285714285,2,6,TAF15
tucatinib,vandetanib,1,7,0.14285714285714285,2,6,PREX2
dexrazoxane,oxaliplatin,6,43,0.13953488372093023,18,31,ARID2;FUBP1;MLLT6;RAD17;TAF15;ZCCHC8
erdafitinib,fruquintinib,5,36,0.1388888888888889,10,31,ABL1;FLNA;FSTL3;JUN;MYH9
brigatinib,dasatinib,4,29,0.13793103448275862,8,25,BIRC3;EGFR;EPAS1;SMAD3
methotrexate,trifluridine,4,29,0.13793103448275862,27,6,POLR2A;RFWD3;TAF15;TERT
crizotinib,darolutamide,3,22,0.13636363636363635,17,8,BCOR;CCND3;TRIM24
crizotinib,ribociclib,3,22,0.13636363636363635,17,8,MLLT6;POT1;TRIM24
ixabepilone,raloxifene,3,22,0.13636363636363635,11,14,CHEK2;EWSR1;MYB
irinotecan,oxaliplatin,5,37,0.13513513513513514,11,31,FUBP1;SUB1;TAF15;TCF3;TERT
allopurinol,fludarabine,2,15,0.13333333333333333,13,4,HMGA1;LARP4B
ceritinib,imatinib,2,15,0.13333333333333333,12,5,BLM;MYB
chlorambucil,idarubicin,2,15,0.13333333333333333,6,11,KDM5A;TAF15
chlorambucil,irinotecan,2,15,0.13333333333333333,6,11,BAZ1A;TAF15
chlorambucil,valrubicin,2,15,0.13333333333333333,6,11,TAF15;ZEB1
erlotinib,neratinib,2,15,0.13333333333333333,11,6,LASP1;PDGFB
idarubicin,mitoxantrone,2,15,0.13333333333333333,11,6,SMARCE1;TAF15
idarubicin,trifluridine,2,15,0.13333333333333333,11,6,RFWD3;TAF15
irinotecan,mitoxantrone,2,15,0.13333333333333333,11,6,DDX6;TAF15
melphalan,valrubicin,2,15,0.13333333333333333,6,11,CTCF;TAF15
palbociclib,ribociclib,4,30,0.13333333333333333,26,8,ERCC5;MLLT6;MYC;TRIM24
dasatinib,lenvatinib,5,38,0.13157894736842105,25,18,FLNA;JUN;MYH11;MYH9;NRG1
daunorubicin,oxaliplatin,5,38,0.13157894736842105,12,31,ARID2;FUBP1;SUB1;TAF15;TERT
methotrexate,tioguanine,5,38,0.13157894736842105,27,16,CHD4;MEN1;MSH2;TERT;TOP1
actinomycin d,nilotinib,3,23,0.13043478260869565,12,14,CHD4;LCP1;MYB
bleomycin,erdafitinib,3,23,0.13043478260869565,16,10,ABL1;FGFR1;NCOR2
crizotinib,vinblastine,3,23,0.13043478260869565,17,9,CHD4;CNTRL;FOXO4
crizotinib,vorinostat,4,31,0.12903225806451613,17,18,BLM;CHD4;MYB;RALGDS
carmustine,dacarbazine,5,39,0.1282051282051282,29,15,CBFB;CHD4;POT1;SPEN;U2AF1
bleomycin,everolimus,3,24,0.125,16,11,BCL3;FAT4;FGFR1
bleomycin,zoledronate,4,32,0.125,16,20,AKT3;FAT4;FGFR1;PDCD1LG2
brigatinib,gilteritinib,1,8,0.125,8,1,BCL3
carfilzomib,lomustine,4,32,0.125,9,27,AMER1;CNTRL;FUBP1;PHF6
celecoxib,etoposide,1,8,0.125,2,7,WAS
celecoxib,hydroxyurea,1,8,0.125,2,7,WAS
chlorambucil,mitomycin,2,16,0.125,6,12,KDM5A;TAF15
cisplatin,selinexor,1,8,0.125,6,3,LCP1
cisplatin,thiotepa,1,8,0.125,6,3,KDM5A
cladribine,trifluridine,1,8,0.125,3,6,FLT3
cytarabine,methotrexate,4,32,0.125,9,27,FANCA;POLR2A;TAF15;TERT
dasatinib,erlotinib,4,32,0.125,25,11,EGFR;FGFR1;ITGAV;LASP1
dasatinib,everolimus,4,32,0.125,25,11,EPAS1;FGFR1;FLNA;ITGAV
dasatinib,zoledronate,5,40,0.125,25,20,CREB3L1;EXT1;FGFR1;MYH11;MYH9
decitabine,teniposide,1,8,0.125,1,8,CTCF
etoposide,idarubicin,2,16,0.125,7,11,BRCA1;TAF15
etoposide,irinotecan,2,16,0.125,7,11,SUB1;TAF15
etoposide,topotecan,1,8,0.125,7,2,TAF15
hydroxyurea,irinotecan,2,16,0.125,7,11,BAZ1A;TERT
hydroxyurea,pemetrexed,1,8,0.125,7,2,TERT
hydroxyurea,pralatrexate,1,8,0.125,7,2,TERT
hydroxyurea,valrubicin,2,16,0.125,7,11,IKZF1;WAS
irinotecan,tioguanine,3,24,0.125,11,16,BAZ1A;SPOP;TERT
lomustine,vinblastine,4,32,0.125,27,9,AMER1;CHD4;CNTRL;PHF6
methotrexate,vorinostat,5,40,0.125,27,18,BLM;CHD4;MYC;N4BP2;NTHL1
mitoxantrone,thiotepa,1,8,0.125,6,3,TAF15
olaparib,teniposide,1,8,0.125,1,8,AR
pralatrexate,tioguanine,2,16,0.125,2,16,MEN1;TERT
ribociclib,romidepsin,1,8,0.125,8,1,SF3B1
mercaptopurine,paclitaxel,4,33,0.12121212121212122,27,10,FANCE;FEN1;SPEN;TERT
paclitaxel,tamoxifen,3,25,0.12,10,18,BLM;CNTRL;EWSR1
bleomycin,fruquintinib,5,42,0.11904761904761904,16,31,ABL1;AKT3;MN1;PDCD1LG2;RUNX1T1
brigatinib,erlotinib,2,17,0.11764705882352941,8,11,EGFR;NFKB2
brigatinib,everolimus,2,17,0.11764705882352941,8,11,BCL3;EPAS1
dasatinib,ibrutinib,4,34,0.11764705882352941,25,13,EGFR;LASP1;NRG1;NUTM1
daunorubicin,hydroxyurea,2,17,0.11764705882352941,12,7,IKZF1;TERT
etoposide,mitomycin,2,17,0.11764705882352941,7,12,BRCA1;TAF15
fluorouracil,hydroxyurea,2,17,0.11764705882352941,12,7,SETD1B;TERT
fluorouracil,palbociclib,4,34,0.11764705882352941,12,26,MYC;PTPN6;RMI2;ZCCHC8
ibrutinib,neratinib,2,17,0.11764705882352941,13,6,LASP1;PDGFB
idarubicin,methotrexate,4,34,0.11764705882352941,11,27,ATF1;RFWD3;SETD1B;TAF15
irinotecan,teniposide,2,17,0.11764705882352941,11,8,SUB1;TAF15
oxaliplatin,palbociclib,6,51,0.11764705882352941,31,26,BLM;BTG2;MLLT6;MYC;NUTM2B;ZCCHC8
crizotinib,oxaliplatin,5,43,0.11627906976744186,17,31,BCOR;BLM;MLLT6;MYB;RAD17
dexrazoxane,irinotecan,3,26,0.11538461538461539,18,11,ATF1;FUBP1;TAF15
ixabepilone,vorinostat,3,26,0.11538461538461539,11,18,MYB;MYC;NTHL1
lomustine,oxaliplatin,6,52,0.11538461538461539,27,31,BCOR;EWSR1;FUBP1;MYB;RBM10;ZMYM3
