baseline,target,spearman,P,top20_jaccard,n
L_count,obs_C_ACC_pct,0.8220085221393144,1.1266955466164308e-27,0.8181818181818182,108
L_count,ADRS_comp,0.5329610178174767,2.8894787541656835e-09,0.25,108
L_weighted,obs_C_ACC_pct,0.8276830059370972,2.369764318990384e-28,1.0,108
L_weighted,ADRS_comp,0.5376588826465206,1.9722372219686876e-09,0.2903225806451613,108
