drug,seed_gene_count,nonseed_gene_count,C_ACC_nonseed,C_ACC_nonseed_pct,ADRS_nonseed,rank_locked_context,rank_nonseed_context,rank_locked_composite,rank_nonseed_composite,composite_rank_change
Dacarbazine,0,15,0.018756896515,0.289719626168,0.415887850467,99,77,88,72,-16
Idarubicin,1,10,0.0174237028669,0.18691588785,0.406542056075,29,88,24,73,49
Hydroxyurea,1,6,0.0224286819189,0.429906542056,0.406542056075,14,62,31,74,43
Cladribine,0,3,0.0346593562117,0.738317757009,0.401869158879,64,29,96,75,-21
Etoposide,1,6,0.0224341263633,0.439252336449,0.397196261682,23,61,44,76,32
Mitoxantrone,0,6,0.0235003485855,0.514018691589,0.38785046729,84,53,94,77,-17
Erdafitinib,1,9,0.0255009281058,0.598130841121,0.38785046729,30,44,63,78,15
Dacomitinib,0,9,0.0177023447725,0.205607476636,0.378504672897,102,86,89,79,-10
Mercaptopurine,3,24,0.0164343384174,0.168224299065,0.373831775701,18,90,20,80,60
Trifluridine,1,5,0.0295365171587,0.682242990654,0.369158878505,10,35,57,81,24
Tamoxifen,1,17,0.0178327068635,0.233644859813,0.364485981309,42,83,48,82,34
umbralisib,0,5,0.0242790171587,0.570093457944,0.359813084112,81,47,98,83,-15
Sonidegib,0,4,0.0277705910386,0.626168224299,0.355140186916,76,41,99,84,-15
Dexrazoxane,0,18,0.0185642922509,0.261682242991,0.345794392523,100,80,92,85,-7
Allopurinol,1,12,0.0190930091513,0.308411214953,0.341121495327,24,75,43,86,43
Dasatinib,1,24,0.0162243754544,0.130841121495,0.327102803738,71,94,65,87,22
Selumetinib,1,26,0.0144215219748,0.0747663551402,0.303738317757,67,100,61,88,27
Valrubicin,0,11,0.0163143669479,0.140186915888,0.271028037383,103,93,97,89,-8
Neratinib,0,6,0.0237845708078,0.532710280374,0.271028037383,83,51,104,90,-14
Vinblastine,0,9,0.0194715114392,0.327102803738,0.261682242991,97,73,101,91,-10
Tioguanine,3,13,0.0228420710794,0.467289719626,0.257009345794,7,58,55,92,37
Lomustine,1,26,0.0134238323197,0.0373831775701,0.252336448598,60,104,60,93,33
Idelalisib,0,9,0.0177065114392,0.214953271028,0.252336448598,101,85,100,94,-6
Cisplatin,0,6,0.0213114596967,0.392523364486,0.247663551402,91,66,103,95,-8
Cyclophosphamide,1,15,0.0169841187372,0.177570093458,0.247663551402,26,89,50,96,46
Teniposide,0,8,0.0227981033882,0.448598130841,0.242990654206,89,60,105,97,-8
Bleomycin,0,16,0.0195430072247,0.336448598131,0.205607476636,96,72,107,98,-9
Raloxifene,1,13,0.0187448210794,0.280373831776,0.196261682243,34,78,74,99,25
Encorafenib,1,14,0.0151714786629,0.102803738318,0.158878504673,39,97,66,100,34
Abiraterone,0,39,0.0109419080302,0,0.140186915888,108,108,102,101,-1
Zoledronate,0,20,0.015039136403,0.0934579439252,0.126168224299,104,98,106,102,-4
Methotrexate,3,24,0.0183395606396,0.242990654206,0.121495327103,17,82,68,103,35
Vemurafenib,1,21,0.0128344640529,0.0280373831776,0.116822429907,78,105,95,104,9
Oxaliplatin,3,28,0.0175098753958,0.196261682243,0.107476635514,20,87,70,105,35
Lenvatinib,0,18,0.0147138160605,0.0841121495327,0.102803738318,105,99,108,106,-2
Fruquintinib,1,30,0.0112444284021,0.00934579439252,0.0887850467288,73,107,93,107,14
Dabrafenib,4,36,0.0123015932633,0.018691588785,0.0560747663551,25,106,64,108,44
