rank,drug,n_targets,ADRS_v3,C_ACC_pct,S_ACCselective_pct,S_Bneighbor_pct,S_external,ext_tier,ext_direction,activity_known,Primary_MOA,ADRS_v2_computational
62,Hydroxyurea,7,0.498,0.756,0.383,0.309,0.50,,,1,Ribonucleoside-Diphosphate Reductase Inhibitor,62
63,Darolutamide,8,0.497,0.263,0.682,0.520,0.50,,,1,Androgen Receptor Antagonist,63
64,Vorinostat,18,0.496,0.394,0.570,0.515,0.50,,,1,HDAC Inhibitor,64
65,Selinexor,3,0.493,0.234,0.664,0.579,0.50,,,1,Exportin-1 Antagonist,65
66,Gemcitabine,4,0.490,0.812,0.252,0.303,0.65,clinical_secondline_modest,positive,1,Ribonucleotide reductase Inhibitor,71
67,Estramustine,7,0.482,0.320,0.617,0.474,0.50,,,1,DNA Alkylating Agent,67
68,Dacomitinib,9,0.477,0.131,0.551,0.849,0.50,,,1,EGFR Inhibitor,66
69,Asciminib,3,0.476,0.537,0.364,0.564,0.50,,,1,Bcr-Abl Inhibitor,69
70,Lomustine,27,0.476,0.269,0.467,0.782,0.50,,,1,DNA Alkylating Agent,68
71,Cabozantinib,1,0.475,0.439,0.224,0.648,0.90,clinical_phase2_positive,positive,1,VEGFR-2 Inhibitor,90
72,Dexrazoxane,18,0.473,0.306,0.430,0.780,0.50,,,1,DNA Topoisomerase II Inhibitor,70
73,Sirolimus,2,0.466,0.506,0.514,0.295,0.50,preclinical_mixed,neutral,1,mTOR Inhibitor,73
74,Imatinib,5,0.464,0.404,0.477,0.506,0.50,,,1,Bcr-Abl Inhibitor,72
75,Allopurinol,13,0.461,0.736,0.374,0.173,0.50,,,1,Xanthine Oxidase Inhibitor,75
76,Duvelisib,6,0.459,0.210,0.505,0.721,0.50,,,1,PI3Kd/g Inhibitor,74
77,Dacarbazine,15,0.456,0.303,0.542,0.500,0.50,,,1,DNA Alkylating Agent,76
78,Cyclophosphamide,16,0.453,0.663,0.318,0.340,0.50,,,1,Bcl-2 Expression Inhibitor,78
79,Neratinib,6,0.445,0.655,0.009,0.850,0.50,,,1,EGFR Inhibitor,77
80,Venetoclax,5,0.444,0.515,0.243,0.646,0.50,,,1,Bcl-2 Inhibitor,79
81,Tioguanine,16,0.441,0.901,0.047,0.398,0.50,,,1,Purine Antagonist,81
82,Dabrafenib,40,0.440,0.713,0.093,0.594,0.50,,,1,Raf kinase B Inhibitor,80
83,Topotecan,2,0.440,0.331,0.421,0.590,0.50,,,1,DNA Topoisomerase I Inhibitor,83
84,Azacitidine,1,0.438,0.583,0.346,0.333,0.50,,,1,DNA Methyltransferase (DNMT) Inhibitor,84
85,Encorafenib,15,0.436,0.461,0.215,0.739,0.50,,,1,Raf Kinase Inhibitor B (V600E Mutant),82
86,Erdafitinib,10,0.431,0.768,0.178,0.316,0.50,,,1,FGFR 1/2/3/4 Inhibitor,86
87,Raloxifene,14,0.430,0.582,0.112,0.708,0.50,,,1,Selective Estrogen Receptor Modulators (SERM),85
88,Pemetrexed,2,0.428,0.738,0.140,0.414,0.50,,,1,Thymidylate synthase Inhibitor,87
89,Carboplatin,7,0.425,0.301,0.439,0.455,0.60,clinical_used,positive,1,DNA Alkylating Agent,94
90,Everolimus,11,0.424,0.352,0.589,0.188,0.50,preclinical_mixed,neutral,1,mTOR inhibitor,89
