rank_comp,drug,ADRS_comp,C_ACC_pct,residual_pct,rank_evidence_informed,S_external,Primary_MOA
80,Encorafenib,0.420,0.626,0.215,81,0.50,Raf Kinase Inhibitor B (V600E Mutant)
81,Methotrexate,0.418,0.837,0.0,82,0.50,Dihydrofolate Reductase (DHFR) Inhibitor
82,Oxaliplatin,0.418,0.817,0.019,83,0.50,DNA Alkylating Agent
83,Asciminib,0.411,0.459,0.364,84,0.50,Bcr-Abl Inhibitor
84,Triethylenemelamine,0.405,0.405,,80,0.50,
85,Gilteritinib,0.403,0.507,0.299,85,0.50,
86,Everolimus,0.398,0.208,0.589,86,0.50,mTOR inhibitor
87,Fludarabine,0.397,0.346,0.449,87,0.50,Purine Antagonist
88,Raloxifene,0.393,0.674,0.112,88,0.50,Selective Estrogen Receptor Modulators (SERM)
89,Lorlatinib,0.392,0.457,0.327,89,0.50,ROS1/ALK Inhibitor
90,Pralatrexate,0.389,0.75,0.028,91,0.50,Dihydrofolate Reductase (DHFR) Inhibitors
91,Duvelisib,0.382,0.259,0.505,93,0.50,PI3Kd/g Inhibitor
92,Temsirolimus,0.381,0.528,0.234,94,0.50,mTOR Inhibitor
93,Cabozantinib,0.364,0.504,0.224,66,0.90,VEGFR-2 Inhibitor
94,Carboplatin,0.363,0.288,0.439,92,0.60,DNA Alkylating Agent
95,Vorinostat,0.357,0.145,0.57,96,0.50,HDAC Inhibitor
96,Dacomitinib,0.351,0.151,0.551,97,0.50,EGFR Inhibitor
97,Sotorasib,0.351,0.351,,95,0.50,
98,Dacarbazine,0.344,0.145,0.542,98,0.50,DNA Alkylating Agent
99,Thiotepa,0.341,0.41,0.271,99,0.50,Cytochrome P450 Oxidase Inhibitor
100,Clofarabine,0.339,0.49,0.187,100,0.50,DNA Polymerase Inhibitor
101,Vinorelbine,0.331,0.531,0.131,102,0.50,
102,Venetoclax,0.309,0.375,0.243,103,0.50,Bcl-2 Inhibitor
103,Uracil mustard,0.300,0.3,,101,0.50,
104,Mitoxantrone,0.282,0.302,0.262,104,0.50,DNA Topoisomerase II Inhibitor
105,Dexrazoxane,0.280,0.13,0.43,105,0.50,DNA Topoisomerase II Inhibitor
106,Valrubicin,0.264,0.125,0.402,106,0.50,DNA Topoisomerase II Inhibitor
107,Cladribine,0.260,0.454,0.065,107,0.50,Adenosine Deaminase Inhibitor
108,Vemurafenib,0.258,0.31,0.206,108,0.50,Raf kinase B Inhibitor
109,Fruquintinib,0.256,0.343,0.168,109,0.50,VEGFR-1/2/3 Inhibitor
110,umbralisib,0.239,0.329,0.15,111,0.50,Casein Kinase 1 Inhibitor
111,Sonidegib,0.229,0.373,0.084,112,0.50,Smo Receptor Antagonist
112,Idelalisib,0.223,0.157,0.29,114,0.50,PI3Kdelta Inhibitor
113,Pemigatinib,0.205,0.205,,110,0.50,
114,Vinblastine,0.190,0.184,0.196,115,0.50,Tubulin polymerization inhibitor
115,Cisplatin,0.178,0.253,0.103,113,0.70,DNA Alkylating Agent
116,Neratinib,0.159,0.308,0.009,117,0.50,EGFR Inhibitor
117,Abiraterone,0.152,0.024,0.28,118,0.50,Androgen Biosynthesis Inhibitor
118,Teniposide,0.143,0.25,0.037,121,0.50,DNA Topoisomerase II Inhibitor
119,Zoledronate,0.120,0.082,0.159,122,0.50,Farnesyl Pyrophosphate Synthase Inhibitor
120,Bleomycin,0.119,0.164,0.075,123,0.50,glycopeptide antibiotic
121,Lenvatinib,0.100,0.079,0.121,124,0.55,VEGFR-1/2/3 Inhibitor
122,Nitrogen mustard,0.099,0.099,,116,0.50,
123,Pralsetinib,0.079,0.079,,119,0.50,
124,Ifosfamide,0.074,0.074,,120,0.50,
