drugA,drugB,B_ACC
Daunorubicin,Pipobroman,0.445460
Actinomycin D,Crizotinib,0.444160
Bleomycin,Selpercatinib,0.443922
Nilotinib,Raloxifene,0.443706
Uracil mustard,Valrubicin,0.438391
Gemcitabine,Hydroxyurea,0.438384
Cytarabine,Thiotepa,0.437810
Brigatinib,Pralsetinib,0.434158
Binimetinib,Dabrafenib,0.432491
Arsenic trioxide,Carmustine,0.432054
Dexrazoxane,Idarubicin,0.423807
Daunorubicin,Mitomycin,0.423787
Fruquintinib,Selpercatinib,0.419035
Triethylenemelamine,Valrubicin,0.419019
Abiraterone,Selpercatinib,0.418379
Carmustine,Ifosfamide,0.415727
Idarubicin,Triethylenemelamine,0.415339
Methotrexate,Trifluridine,0.414973
Idarubicin,Thiotepa,0.414474
Thiotepa,Topotecan,0.413030
Paclitaxel,Vinblastine,0.412825
Topotecan,Triethylenemelamine,0.412568
Carfilzomib,Paclitaxel,0.411866
Lenvatinib,Selpercatinib,0.411538
Gemcitabine,Pralatrexate,0.410732
Dexrazoxane,Nitrogen mustard,0.410224
Actinomycin D,Imatinib,0.410057
Irinotecan,Trifluridine,0.409797
Dacomitinib,Neratinib,0.407408
Cytarabine,Hydroxyurea,0.405892
Fedratinib,Sunitinib,0.405195
Mitomycin,Thiotepa,0.404457
Daunorubicin,Teniposide,0.402749
Dacomitinib,Zanubrutinib,0.401532
Actinomycin D,Carmustine,0.398660
Bleomycin,Pralsetinib,0.398151
Fruquintinib,Lenvatinib,0.395362
Pipobroman,Topotecan,0.394663
Crizotinib,Tamoxifen,0.393528
Epirubicin,Mitoxantrone,0.393041
Nitrogen mustard,Uracil mustard,0.392552
Afatinib,Zanubrutinib,0.392487
Daunorubicin,Trifluridine,0.392178
Encorafenib,Venetoclax,0.392110
Nitrogen mustard,Triethylenemelamine,0.390476
Hydroxyurea,Pemetrexed,0.389915
Imatinib,Vorinostat,0.389701
Oxaliplatin,Pipobroman,0.388870
Imatinib,Tamoxifen,0.388761
Ifosfamide,Uracil mustard,0.387103
Crizotinib,Nilotinib,0.385624
Palbociclib,Sunitinib,0.383918
Erlotinib,Vandetanib,0.383503
Docetaxel,Vinblastine,0.383441
Erlotinib,Pralsetinib,0.382541
Carfilzomib,Docetaxel,0.382482
Actinomycin D,Carfilzomib,0.380827
Erlotinib,Zanubrutinib,0.379649
Idarubicin,Melphalan,0.379225
Arsenic trioxide,Carboplatin,0.377303
Methotrexate,Oxaliplatin,0.375918
Dacarbazine,Tioguanine,0.375213
Everolimus,Pralsetinib,0.374202
Belinostat,Pralatrexate,0.374183
Clofarabine,Gemcitabine,0.371860
Actinomycin D,Raloxifene,0.371810
Neratinib,Zanubrutinib,0.371782
Crizotinib,Lomustine,0.370683
Mitomycin,Pipobroman,0.369270
Daunorubicin,Melphalan,0.368658
Lomustine,Raloxifene,0.368396
Melphalan,Mitomycin,0.367096
Cytarabine,Pemetrexed,0.366427
Idarubicin,Mitomycin,0.366205
Gemcitabine,Pipobroman,0.365105
Daunorubicin,Etoposide,0.364286
Ixabepilone,Tamoxifen,0.363862
Pralatrexate,Trifluridine,0.362358
Melphalan,Uracil mustard,0.362290
