drugA,drugB,B_ACC
Axitinib,Cabozantinib,1.000000
Bosutinib,Lapatinib,1.000000
Binimetinib,Trametinib,0.866473
Cobimetinib,Trametinib,0.846980
Cobimetinib,Selumetinib,0.832147
Pipobroman,Trifluridine,0.816561
Binimetinib,Cobimetinib,0.791972
Acalabrutinib,Tucatinib,0.789202
Pemetrexed,Pipobroman,0.771486
Sirolimus,Temsirolimus,0.768348
Pemetrexed,Trifluridine,0.766133
Bosutinib,Fedratinib,0.755546
Fedratinib,Lapatinib,0.755546
Binimetinib,Selumetinib,0.732277
Doxorubicin,Etoposide,0.731508
Gilteritinib,Lorlatinib,0.723182
Pralsetinib,Selpercatinib,0.717271
Mercaptopurine,Tioguanine,0.715945
Teniposide,Valrubicin,0.712367
Afatinib,Neratinib,0.712327
Cytarabine,Pipobroman,0.698325
Gemcitabine,Pemetrexed,0.695311
Irinotecan,Pemetrexed,0.694412
Docetaxel,Paclitaxel,0.688392
Thiotepa,Triethylenemelamine,0.687340
Chlorambucil,Uracil mustard,0.685374
Topotecan,Uracil mustard,0.684936
Pemetrexed,Pralatrexate,0.678393
Dasatinib,Pralsetinib,0.677805
Doxorubicin,Idarubicin,0.673113
Avapritinib,Sunitinib,0.670664
Cytarabine,Gemcitabine,0.664782
Actinomycin D,Doxorubicin,0.659037
Pralatrexate,Tioguanine,0.657342
Selumetinib,Trametinib,0.651303
Ibrutinib,Zanubrutinib,0.648631
Carmustine,Lomustine,0.648343
Gemcitabine,Trifluridine,0.646632
Melphalan,Topotecan,0.643075
Chlorambucil,Topotecan,0.642195
Daunorubicin,Pemetrexed,0.639768
Gemcitabine,Hydroxyurea,0.635390
Hydroxyurea,Pemetrexed,0.633533
Daunorubicin,Doxorubicin,0.629951
Gemcitabine,Pipobroman,0.628545
Doxorubicin,Mitomycin,0.627505
Dasatinib,Selpercatinib,0.626175
Cytarabine,Trifluridine,0.621982
Dacomitinib,Tucatinib,0.621939
Ribociclib,Trilaciclib,0.620043
Crizotinib,Doxorubicin,0.614601
Irinotecan,Pipobroman,0.612629
Mercaptopurine,Pralatrexate,0.611787
Pipobroman,Pralatrexate,0.611627
Methotrexate,Pralatrexate,0.608534
Olaparib,Teniposide,0.607916
Decitabine,Melphalan,0.602837
Cytarabine,Triethylenemelamine,0.599554
Bosutinib,Sunitinib,0.595999
Lapatinib,Sunitinib,0.595999
Oxaliplatin,Pralatrexate,0.595216
Brigatinib,Lorlatinib,0.587066
Afatinib,Osimertinib,0.585954
Methotrexate,Pipobroman,0.579859
Everolimus,Lorlatinib,0.577620
Raloxifene,Tamoxifen,0.573412
Decitabine,Teniposide,0.570805
Abemaciclib,Temsirolimus,0.570729
Acalabrutinib,Dacomitinib,0.570530
Methotrexate,Pemetrexed,0.567138
Hydroxyurea,Pipobroman,0.566767
Hydroxyurea,Trifluridine,0.566620
Ibrutinib,Tucatinib,0.562699
Paclitaxel,Pemetrexed,0.561183
Palbociclib,Trilaciclib,0.561049
Cytarabine,Pemetrexed,0.558890
Idelalisib,Temsirolimus,0.558653
Daunorubicin,Pipobroman,0.558174
Decitabine,Valrubicin,0.557838
Mitoxantrone,Uracil mustard,0.556378
Daunorubicin,Irinotecan,0.555690
Avapritinib,Carmustine,0.555153
Dasatinib,Erdafitinib,0.554560
Pemigatinib,Temsirolimus,0.554157
Acalabrutinib,Afatinib,0.551246
Erdafitinib,Selpercatinib,0.549492
Everolimus,Temsirolimus,0.548964
Docetaxel,Pemetrexed,0.547188
Carfilzomib,Romidepsin,0.546613
Actinomycin D,Crizotinib,0.546351
Ribociclib,Romidepsin,0.545202
Acalabrutinib,Zanubrutinib,0.542662
Imatinib,Nilotinib,0.539188
Brigatinib,Gilteritinib,0.538863
Decitabine,Nitrogen mustard,0.538742
Imatinib,Raloxifene,0.536477
Acalabrutinib,Ibrutinib,0.536265
Gemcitabine,Pralatrexate,0.535452
Nilotinib,Raloxifene,0.534890
Erdafitinib,Pralsetinib,0.534773
Everolimus,Gilteritinib,0.534647
Irinotecan,Trifluridine,0.533439
Cyclophosphamide,Pemetrexed,0.532285
Daunorubicin,Decitabine,0.531598
Decitabine,Mitomycin,0.531003
Ixabepilone,Panobinostat,0.529199
Clofarabine,Methotrexate,0.529186
Panobinostat,Vorinostat,0.529039
Daunorubicin,Idarubicin,0.528471
Fluorouracil,Panobinostat,0.528268
Actinomycin D,Romidepsin,0.528210
Actinomycin D,Homoharringtonine,0.527898
Fluorouracil,Pemetrexed,0.527533
Panobinostat,Tamoxifen,0.526757
Fedratinib,Palbociclib,0.526287
Axitinib,Ifosfamide,0.525561
Cabozantinib,Ifosfamide,0.525561
Methotrexate,Oxaliplatin,0.525290
Cytarabine,Hydroxyurea,0.524177
Lorlatinib,Selpercatinib,0.523435
Bleomycin,Gilteritinib,0.523428
Azacitidine,Methotrexate,0.519827
Axitinib,Crizotinib,0.519198
Cabozantinib,Crizotinib,0.519198
Dacomitinib,Ibrutinib,0.518088
Duvelisib,Idelalisib,0.516838
Lorlatinib,Pralsetinib,0.515926
Dasatinib,Mitotane,0.515727
Decitabine,Methotrexate,0.515178
Axitinib,Tioguanine,0.515160
Cabozantinib,Tioguanine,0.515160
Avapritinib,Ribociclib,0.514877
Methotrexate,Panobinostat,0.514675
Axitinib,Lomustine,0.514412
Cabozantinib,Lomustine,0.514412
Bosutinib,Palbociclib,0.513435
Lapatinib,Palbociclib,0.513435
Afatinib,Dacomitinib,0.512780
Axitinib,Carmustine,0.512748
Cabozantinib,Carmustine,0.512748
Abiraterone,Gilteritinib,0.511074
Gilteritinib,Selpercatinib,0.510461
Crizotinib,Imatinib,0.509750
Dabrafenib,Vinorelbine,0.508461
Gilteritinib,Pralsetinib,0.507109
Gemcitabine,Thiotepa,0.504487
Arsenic trioxide,Lomustine,0.502143
Pemetrexed,Tioguanine,0.500713
Triethylenemelamine,Uracil mustard,0.498422
Dabrafenib,Encorafenib,0.494641
Paclitaxel,Pipobroman,0.494417
Fruquintinib,Pralsetinib,0.494326
Encorafenib,Vemurafenib,0.493811
Belinostat,Pralatrexate,0.492992
Mitoxantrone,Valrubicin,0.492154
Lenvatinib,Pralsetinib,0.489694
Brigatinib,Pralsetinib,0.485041
Daunorubicin,Etoposide,0.484242
Pralatrexate,Trifluridine,0.482354
Docetaxel,Pipobroman,0.480421
Oxaliplatin,Pipobroman,0.477587
Mercaptopurine,Pemetrexed,0.477091
