rank,drug,n_assoc,ADRS_final,ADRS_v2,C_ACC_pct,ACCrelative_resid_pct,S_Bneighbor_pct,S_external,ext_dir,Primary_MOA,rank_induced_v3
62,Cabozantinib,1,0.494,0.423,0.504,0.224,0.648,0.90,positive,VEGFR-2 Inhibitor,71
63,Talazoparib,2,0.492,0.490,0.486,,0.496,0.50,,,57
64,Gemcitabine,4,0.488,0.460,0.806,0.252,0.303,0.65,positive,Ribonucleotide reductase Inhibitor,66
65,Encorafenib,15,0.486,0.483,0.626,0.215,0.739,0.50,,Raf Kinase Inhibitor B (V600E Mutant),85
66,Darolutamide,8,0.485,0.483,0.230,0.682,0.513,0.50,,Androgen Receptor Antagonist,63
67,Dacomitinib,9,0.482,0.478,0.151,0.551,0.842,0.50,,EGFR Inhibitor,68
68,Cyclophosphamide,16,0.477,0.473,0.742,0.318,0.340,0.50,,Bcl-2 Expression Inhibitor,78
69,Duvelisib,6,0.474,0.469,0.259,0.505,0.721,0.50,,PI3Kd/g Inhibitor,76
70,Topotecan,2,0.470,0.465,0.433,0.421,0.590,0.50,,DNA Topoisomerase I Inhibitor,83
71,Sunitinib,3,0.470,0.491,0.517,0.336,0.721,0.35,negative,VEGFR-1/2/3 Inhibitor,58
72,Allopurinol,13,0.466,0.459,0.750,0.374,0.173,0.50,,Xanthine Oxidase Inhibitor,75
73,Estramustine,7,0.465,0.458,0.263,0.617,0.474,0.50,,DNA Alkylating Agent,67
74,Raloxifene,14,0.458,0.451,0.674,0.112,0.708,0.50,,Selective Estrogen Receptor Modulators (SERM),87
75,Imatinib,5,0.456,0.448,0.369,0.477,0.518,0.50,,Bcr-Abl Inhibitor,74
76,Sirolimus,2,0.456,0.448,0.474,0.514,0.295,0.50,neutral,mTOR Inhibitor,73
77,Dabrafenib,40,0.455,0.447,0.767,0.093,0.586,0.50,,Raf kinase B Inhibitor,82
78,Asciminib,3,0.454,0.446,0.459,0.364,0.569,0.50,,Bcr-Abl Inhibitor,69
