rank,drug,n_targets,ADRS,ADRS_equalw,C_ACC,P_C,S_activity,P_A,S_Bneighbor,P_B,activity_known,Primary_MOA
53,Gemcitabine,4,0.5437,0.5119,0.2420,0.967,0.4945,0.421,0.4370,0.148,1,Ribonucleotide reductase Inhibitor
54,Selumetinib,27,0.5382,0.5693,0.0920,0.341,0.5838,0.514,0.6392,0.852,1,
55,Carmustine,29,0.5328,0.5405,0.0972,0.447,0.6124,0.551,0.5718,0.623,1,DNA Alkylating Agent
56,Melphalan,6,0.5315,0.5071,0.0726,0.138,0.9564,0.916,0.5393,0.467,1,DNA Alkylating Agent
57,Sirolimus,2,0.5265,0.4898,0.1055,0.512,0.7501,0.720,0.4741,0.238,1,mTOR Inhibitor
58,Vorinostat,18,0.5236,0.5219,0.0935,0.382,0.7218,0.626,0.5594,0.557,1,
59,Neratinib,6,0.5230,0.5862,0.1323,0.707,0.1461,0.084,0.7744,0.967,1,EGFR Inhibitor
60,Tivozanib,1,0.5154,0.5015,0.0873,0.293,0.7420,0.710,,,1,
61,Fedratinib,2,0.5003,0.5565,0.0798,0.220,,,0.6619,0.893,0,
62,Dasatinib,25,0.4989,0.4644,0.1126,0.553,0.7267,0.636,0.4631,0.205,1,Bcr-Abl Inhibitor
63,Talazoparib,2,0.4870,0.4689,0.1138,0.577,,,0.5051,0.361,0,
64,Axitinib,1,0.4769,0.4451,0.0904,0.309,0.7731,0.748,0.4809,0.279,1,VEGFR-1/2/3 Inhibitor
65,Dabrafenib,40,0.4717,0.5175,0.1361,0.724,0.1332,0.075,0.6123,0.754,1,Raf kinase B Inhibitor
66,Dacomitinib,9,0.4708,0.4978,0.0622,0.049,0.7190,0.617,0.6306,0.828,1,EGFR Inhibitor
67,Pemetrexed,2,0.4703,0.4746,0.2733,0.976,0.1998,0.112,0.4993,0.336,1,Thymidylate synthase Inhibitor
68,Pralatrexate,2,0.4695,0.4534,0.4494,1.000,0.2564,0.196,0.4443,0.164,1,Dihydrofolate Reductase (DHFR) Inhibitors
69,Vinblastine,9,0.4653,0.5117,0.0748,0.171,0.4990,0.430,0.6932,0.934,1,
70,Venetoclax,5,0.4653,0.4894,0.1057,0.520,0.3880,0.308,0.5742,0.639,1,
71,Asciminib,3,0.4587,0.4732,0.1137,0.561,0.3900,0.318,0.5581,0.541,1,Bcr-Abl Inhibitor
72,Tioguanine,16,0.4553,0.4559,0.2371,0.951,0.2019,0.121,0.4845,0.295,1,Purine Antagonist
73,Topotecan,2,0.4539,0.4640,0.0745,0.163,0.6677,0.598,0.5737,0.631,1,
74,Everolimus,11,0.4484,0.4088,0.0910,0.325,0.7634,0.729,0.4490,0.172,1,mTOR inhibitor
75,Methotrexate,27,0.4473,0.4609,0.1792,0.862,0.1873,0.103,0.5291,0.418,1,Dihydrofolate Reductase (DHFR) Inhibitor
76,Azacitidine,1,0.4470,0.4047,0.1432,0.748,0.5220,0.458,0.1873,0.008,1,
77,Selinexor,3,0.4463,0.4286,0.0656,0.057,0.8131,0.794,0.5325,0.434,1,Exportin-1 Antagonist
