drugA,drugB,B_ACC
Nilotinib,Raloxifene,0.428571
Actinomycin D,Crizotinib,0.426471
Brigatinib,Pralsetinib,0.425847
Actinomycin D,Imatinib,0.425000
Idarubicin,Thiotepa,0.424242
Idarubicin,Triethylenemelamine,0.424242
Irinotecan,Pipobroman,0.424242
Triethylenemelamine,Valrubicin,0.424242
Carfilzomib,Paclitaxel,0.422222
Paclitaxel,Vinblastine,0.422222
Abiraterone,Selpercatinib,0.421344
Carmustine,Ifosfamide,0.419878
Dacomitinib,Neratinib,0.416667
Avapritinib,Sunitinib,0.416667
Daunorubicin,Mitomycin,0.416667
Daunorubicin,Pipobroman,0.416667
Daunorubicin,Teniposide,0.416667
Epirubicin,Mitoxantrone,0.416667
Fedratinib,Sunitinib,0.416667
Gemcitabine,Trifluridine,0.416667
Mitomycin,Pipobroman,0.416667
Mitomycin,Thiotepa,0.416667
Pemetrexed,Pipobroman,0.416667
Pipobroman,Pralatrexate,0.416667
Pipobroman,Topotecan,0.416667
Thiotepa,Topotecan,0.416667
Topotecan,Triethylenemelamine,0.416667
Fruquintinib,Selpercatinib,0.414996
Dexrazoxane,Nitrogen mustard,0.413194
Lenvatinib,Selpercatinib,0.412913
Actinomycin D,Carmustine,0.412356
Methotrexate,Trifluridine,0.407407
Afatinib,Zanubrutinib,0.404040
Dacomitinib,Zanubrutinib,0.404040
Crizotinib,Tamoxifen,0.400327
Encorafenib,Venetoclax,0.400000
Bleomycin,Pralsetinib,0.397246
Nitrogen mustard,Triethylenemelamine,0.395833
Fruquintinib,Lenvatinib,0.395161
Nitrogen mustard,Uracil mustard,0.393750
Gemcitabine,Hydroxyurea,0.392857
Crizotinib,Nilotinib,0.390756
Actinomycin D,Carfilzomib,0.388889
Carfilzomib,Docetaxel,0.388889
Docetaxel,Vinblastine,0.388889
Ifosfamide,Uracil mustard,0.388235
Dacarbazine,Tioguanine,0.387500
Actinomycin D,Raloxifene,0.386905
Erlotinib,Vandetanib,0.386364
Idarubicin,Melphalan,0.386364
Irinotecan,Trifluridine,0.386364
Neratinib,Zanubrutinib,0.386364
Crizotinib,Lomustine,0.383442
Imatinib,Tamoxifen,0.383333
Imatinib,Vorinostat,0.383333
Cytarabine,Hydroxyurea,0.380952
Lomustine,Raloxifene,0.379630
Erlotinib,Pralsetinib,0.377504
Everolimus,Pralsetinib,0.377504
Arsenic trioxide,Carboplatin,0.376623
Clofarabine,Gemcitabine,0.375000
Daunorubicin,Melphalan,0.375000
Daunorubicin,Trifluridine,0.375000
Gemcitabine,Pemetrexed,0.375000
Gemcitabine,Pralatrexate,0.375000
Melphalan,Mitomycin,0.375000
Mitomycin,Trifluridine,0.375000
Carmustine,Crizotinib,0.373225
Palbociclib,Sunitinib,0.371795
Carmustine,Raloxifene,0.370690
Lomustine,Tamoxifen,0.370370
Melphalan,Uracil mustard,0.366667
Ixabepilone,Tamoxifen,0.366162
Oxaliplatin,Pipobroman,0.365591
Ceritinib,Palbociclib,0.365385
Daunorubicin,Nitrogen mustard,0.364583
Erlotinib,Zanubrutinib,0.363636
Abiraterone,Pralsetinib,0.362017
Daunorubicin,Methotrexate,0.361111
Docetaxel,Lomustine,0.361111
Methotrexate,Mitomycin,0.361111
Binimetinib,Vemurafenib,0.355731
Imatinib,Lomustine,0.355556
Selumetinib,Venetoclax,0.355556
Everolimus,Selpercatinib,0.353808
Carmustine,Imatinib,0.351724
Cobimetinib,Venetoclax,0.351724
Abemaciclib,Sirolimus,0.350000
Belinostat,Fedratinib,0.350000
Belinostat,Pralatrexate,0.350000
Daunorubicin,Valrubicin,0.348485
Idarubicin,Mitomycin,0.348485
Imatinib,Oxaliplatin,0.348387
Actinomycin D,Tamoxifen,0.347222
Selpercatinib,Zoledronate,0.346622
Methotrexate,Oxaliplatin,0.346476
Melphalan,Nitrogen mustard,0.343750
Etoposide,Uracil mustard,0.342857
Lomustine,Paclitaxel,0.342593
Daunorubicin,Etoposide,0.339286
Chlorambucil,Ifosfamide,0.338235
Crizotinib,tepotinib,0.338235
Dabrafenib,Ixazomib,0.337500
Dabrafenib,Venetoclax,0.337500
Pralsetinib,Zoledronate,0.334746
Avapritinib,Duvelisib,0.333333
Chlorambucil,Cisplatin,0.333333
Chlorambucil,Mitoxantrone,0.333333
Cisplatin,Melphalan,0.333333
Cisplatin,Topotecan,0.333333
Cladribine,Thiotepa,0.333333
Cladribine,Triethylenemelamine,0.333333
Duvelisib,Tucatinib,0.333333
Duvelisib,Vandetanib,0.333333
Mitoxantrone,Topotecan,0.333333
Neratinib,Osimertinib,0.333333
Pipobroman,Thiotepa,0.333333
Pipobroman,Triethylenemelamine,0.333333
Pralatrexate,Trifluridine,0.333333
Topotecan,Trifluridine,0.333333
Tucatinib,Vandetanib,0.333333
Nitrogen mustard,Oxaliplatin,0.331653
Erdafitinib,Fruquintinib,0.330645
Brigatinib,Dasatinib,0.330000
Selumetinib,Vemurafenib,0.329966
Dexrazoxane,Palbociclib,0.329060
Allopurinol,Fludarabine,0.326923
