drugA,drugB,B_ACC
Axitinib,Cabozantinib,1.000000
Bosutinib,Lapatinib,1.000000
Binimetinib,Trametinib,0.883808
Cobimetinib,Trametinib,0.871025
Cobimetinib,Selumetinib,0.851592
Binimetinib,Cobimetinib,0.841067
Binimetinib,Selumetinib,0.787109
Pipobroman,Trifluridine,0.772339
Acalabrutinib,Tucatinib,0.759272
Sirolimus,Temsirolimus,0.754628
Bosutinib,Fedratinib,0.751146
Fedratinib,Lapatinib,0.751146
Teniposide,Valrubicin,0.745089
Gilteritinib,Lorlatinib,0.744020
Pralsetinib,Selpercatinib,0.723379
Chlorambucil,Uracil mustard,0.722515
Selumetinib,Trametinib,0.719993
Pemetrexed,Trifluridine,0.700050
Afatinib,Neratinib,0.699482
Carmustine,Lomustine,0.698493
Topotecan,Uracil mustard,0.696757
Cytarabine,Pipobroman,0.677735
Thiotepa,Triethylenemelamine,0.671631
Mercaptopurine,Tioguanine,0.668281
Melphalan,Topotecan,0.661285
Chlorambucil,Topotecan,0.661057
Dasatinib,Pralsetinib,0.660070
Docetaxel,Paclitaxel,0.656148
Bosutinib,Sunitinib,0.644323
Lapatinib,Sunitinib,0.644323
Cytarabine,Triethylenemelamine,0.643203
Doxorubicin,Etoposide,0.622075
Irinotecan,Pemetrexed,0.619257
Brigatinib,Lorlatinib,0.613931
Dacomitinib,Tucatinib,0.613495
Dasatinib,Selpercatinib,0.608976
Ribociclib,Trilaciclib,0.608423
Ibrutinib,Zanubrutinib,0.604303
Afatinib,Osimertinib,0.604072
Daunorubicin,Pemetrexed,0.601661
Pralatrexate,Tioguanine,0.594863
Abemaciclib,Temsirolimus,0.590089
Decitabine,Melphalan,0.587783
Everolimus,Lorlatinib,0.587566
Cytarabine,Gemcitabine,0.586706
Doxorubicin,Idarubicin,0.581526
Pemetrexed,Pralatrexate,0.580758
Cytarabine,Trifluridine,0.578093
Actinomycin D,Doxorubicin,0.574779
Olaparib,Teniposide,0.573561
Ibrutinib,Tucatinib,0.573006
Daunorubicin,Doxorubicin,0.570338
Doxorubicin,Mitomycin,0.569902
Pemetrexed,Pipobroman,0.564623
Decitabine,Teniposide,0.564523
Methotrexate,Pipobroman,0.563040
Mercaptopurine,Pralatrexate,0.559589
Methotrexate,Pralatrexate,0.559055
Acalabrutinib,Dacomitinib,0.558852
Ribociclib,Romidepsin,0.557848
Idelalisib,Temsirolimus,0.556347
Brigatinib,Gilteritinib,0.555603
Acalabrutinib,Afatinib,0.554350
Carfilzomib,Romidepsin,0.553402
Crizotinib,Doxorubicin,0.553091
Oxaliplatin,Pralatrexate,0.551550
Mitoxantrone,Uracil mustard,0.551191
Pemigatinib,Temsirolimus,0.551042
Dacomitinib,Ibrutinib,0.550942
Gemcitabine,Thiotepa,0.549025
Decitabine,Valrubicin,0.548213
Everolimus,Temsirolimus,0.546337
Methotrexate,Pemetrexed,0.546307
Duvelisib,Idelalisib,0.545744
Acalabrutinib,Zanubrutinib,0.544683
Encorafenib,Vemurafenib,0.544007
Everolimus,Gilteritinib,0.542736
Afatinib,Dacomitinib,0.542440
Imatinib,Nilotinib,0.541869
Imatinib,Raloxifene,0.541120
Avapritinib,Carmustine,0.539726
Ixabepilone,Panobinostat,0.539694
Daunorubicin,Decitabine,0.538397
Decitabine,Mitomycin,0.538159
Actinomycin D,Romidepsin,0.537870
Acalabrutinib,Ibrutinib,0.537857
Actinomycin D,Homoharringtonine,0.537782
Fluorouracil,Panobinostat,0.537084
Fedratinib,Palbociclib,0.535101
Clofarabine,Methotrexate,0.534619
Decitabine,Nitrogen mustard,0.532953
Daunorubicin,Irinotecan,0.530861
Bleomycin,Gilteritinib,0.529258
Axitinib,Ifosfamide,0.528548
Cabozantinib,Ifosfamide,0.528548
Panobinostat,Vorinostat,0.528096
Panobinostat,Tamoxifen,0.527504
Axitinib,Crizotinib,0.526573
Cabozantinib,Crizotinib,0.526573
Erdafitinib,Pralsetinib,0.526165
Lorlatinib,Selpercatinib,0.526134
Axitinib,Tioguanine,0.525759
Cabozantinib,Tioguanine,0.525759
Raloxifene,Tamoxifen,0.525676
Triethylenemelamine,Uracil mustard,0.524693
Azacitidine,Methotrexate,0.518922
Dasatinib,Mitotane,0.518875
Erdafitinib,Selpercatinib,0.518269
Bosutinib,Palbociclib,0.517631
Lapatinib,Palbociclib,0.517631
Axitinib,Lomustine,0.517516
Cabozantinib,Lomustine,0.517516
Decitabine,Methotrexate,0.517490
Methotrexate,Panobinostat,0.517335
Lorlatinib,Pralsetinib,0.516710
Axitinib,Carmustine,0.516102
Cabozantinib,Carmustine,0.516102
Crizotinib,Imatinib,0.515471
Gilteritinib,Selpercatinib,0.512754
Abiraterone,Gilteritinib,0.512421
Fruquintinib,Pralsetinib,0.511459
Dabrafenib,Vinorelbine,0.511359
Mitoxantrone,Valrubicin,0.509824
Idarubicin,Nitrogen mustard,0.509531
Dabrafenib,Selumetinib,0.508515
Gilteritinib,Pralsetinib,0.508155
Gemcitabine,Pemetrexed,0.507916
Dasatinib,Erdafitinib,0.507789
Encorafenib,Selumetinib,0.506237
Lenvatinib,Pralsetinib,0.503394
Avapritinib,Sunitinib,0.501508
Dabrafenib,Encorafenib,0.501242
Gemcitabine,Trifluridine,0.498594
Palbociclib,Trilaciclib,0.497733
Arsenic trioxide,Lomustine,0.496071
Pipobroman,Pralatrexate,0.494355
Cobimetinib,Encorafenib,0.492643
Etoposide,Teniposide,0.489631
Cobimetinib,Dabrafenib,0.488633
Chlorambucil,Melphalan,0.487780
Mitoxantrone,Triethylenemelamine,0.487497
Melphalan,Thiotepa,0.486031
Chlorambucil,Thiotepa,0.485800
Irinotecan,Pipobroman,0.485784
Binimetinib,Encorafenib,0.484621
Thiotepa,Trifluridine,0.483711
Triethylenemelamine,Trifluridine,0.481851
Gemcitabine,Hydroxyurea,0.475628
Dabrafenib,Trametinib,0.473456
Celecoxib,Talazoparib,0.471346
Ifosfamide,Lomustine,0.469697
Daunorubicin,Pipobroman,0.468215
Daunorubicin,Idarubicin,0.462617
Abiraterone,Fruquintinib,0.460132
Actinomycin D,Crizotinib,0.460074
Nilotinib,Raloxifene,0.457480
Carboplatin,Cisplatin,0.455937
Fludarabine,umbralisib,0.453813
Actinomycin D,Lomustine,0.452178
Epirubicin,Valrubicin,0.449478
Carfilzomib,Vinblastine,0.449070
Encorafenib,Trametinib,0.444182
Brigatinib,Pralsetinib,0.441723
