rank,drug,n_targets,ADRS_v2,C_ACC_pct,S_ACCselective_pct,S_Bneighbor_pct,ACC_potency_pct,NCI60_potency_pct,selectivity_resid,activity_known,Primary_MOA
60,Dasatinib,25,0.506,0.549,0.523,0.417,0.636,0.757,0.523,1,Bcr-Abl Inhibitor
61,Fedratinib,2,0.505,0.360,,0.709,,,,0,
62,Hydroxyurea,7,0.495,0.756,0.383,0.309,0.224,0.000,0.383,1,Ribonucleoside-Diphosphate Reductase Inhibitor
63,Darolutamide,8,0.495,0.263,0.682,0.520,0.523,0.159,0.682,1,Androgen Receptor Antagonist
64,Vorinostat,18,0.495,0.394,0.570,0.515,0.626,0.654,0.570,1,HDAC Inhibitor
65,Selinexor,3,0.492,0.234,0.664,0.579,0.794,0.832,0.664,1,Exportin-1 Antagonist
66,Dacomitinib,9,0.479,0.131,0.551,0.849,0.617,0.682,0.551,1,EGFR Inhibitor
67,Estramustine,7,0.477,0.320,0.617,0.474,0.449,0.140,0.617,1,DNA Alkylating Agent
68,Lomustine,27,0.477,0.269,0.467,0.782,0.364,0.168,0.467,1,DNA Alkylating Agent
69,Asciminib,3,0.475,0.537,0.364,0.564,0.318,0.290,0.364,1,Bcr-Abl Inhibitor
70,Dexrazoxane,18,0.474,0.306,0.430,0.780,0.252,0.028,0.430,1,DNA Topoisomerase II Inhibitor
71,Gemcitabine,4,0.461,0.812,0.252,0.303,0.421,0.804,0.252,1,Ribonucleotide reductase Inhibitor
72,Imatinib,5,0.459,0.404,0.477,0.506,0.402,0.252,0.477,1,Bcr-Abl Inhibitor
73,Sirolimus,2,0.457,0.506,0.514,0.295,0.720,0.963,0.514,1,mTOR Inhibitor
74,Duvelisib,6,0.456,0.210,0.505,0.721,0.439,0.308,0.505,1,PI3Kd/g Inhibitor
75,Allopurinol,13,0.450,0.736,0.374,0.173,0.206,0.009,0.374,1,Xanthine Oxidase Inhibitor
76,Dacarbazine,15,0.448,0.303,0.542,0.500,0.355,0.065,0.542,1,DNA Alkylating Agent
77,Neratinib,6,0.446,0.655,0.009,0.850,0.084,0.729,0.009,1,EGFR Inhibitor
78,Cyclophosphamide,16,0.444,0.663,0.318,0.340,0.159,0.019,0.318,1,Bcl-2 Expression Inhibitor
79,Venetoclax,5,0.439,0.515,0.243,0.646,0.308,0.542,0.243,1,Bcl-2 Inhibitor
