drugA,drugB,B_ACC
Axitinib,Cabozantinib,1.000000
Bosutinib,Lapatinib,1.000000
Binimetinib,Trametinib,0.878833
Cobimetinib,Trametinib,0.863829
Cobimetinib,Selumetinib,0.845797
Binimetinib,Cobimetinib,0.826567
Pipobroman,Trifluridine,0.788202
Binimetinib,Selumetinib,0.771093
Acalabrutinib,Tucatinib,0.767735
Sirolimus,Temsirolimus,0.758688
Bosutinib,Fedratinib,0.752274
Fedratinib,Lapatinib,0.752274
Gilteritinib,Lorlatinib,0.738374
Teniposide,Valrubicin,0.735613
Pemetrexed,Trifluridine,0.723755
Pralsetinib,Selpercatinib,0.721488
Chlorambucil,Uracil mustard,0.712370
Afatinib,Neratinib,0.703586
Selumetinib,Trametinib,0.700014
Topotecan,Uracil mustard,0.693635
Cytarabine,Pipobroman,0.685316
Mercaptopurine,Tioguanine,0.684456
Carmustine,Lomustine,0.683750
Thiotepa,Triethylenemelamine,0.676121
Docetaxel,Paclitaxel,0.667127
Dasatinib,Pralsetinib,0.664922
Doxorubicin,Etoposide,0.659856
Melphalan,Topotecan,0.656268
Chlorambucil,Topotecan,0.655843
Pemetrexed,Pipobroman,0.649186
Irinotecan,Pemetrexed,0.642812
Bosutinib,Sunitinib,0.627646
Lapatinib,Sunitinib,0.627646
Cytarabine,Triethylenemelamine,0.627133
Pemetrexed,Pralatrexate,0.622651
Ibrutinib,Zanubrutinib,0.618266
Pralatrexate,Tioguanine,0.617514
Cytarabine,Gemcitabine,0.616250
Dacomitinib,Tucatinib,0.615762
Daunorubicin,Pemetrexed,0.615043
Dasatinib,Selpercatinib,0.614033
Ribociclib,Trilaciclib,0.612012
Doxorubicin,Idarubicin,0.610849
Brigatinib,Lorlatinib,0.605141
Actinomycin D,Doxorubicin,0.601726
Afatinib,Osimertinib,0.598310
Cytarabine,Trifluridine,0.593943
Decitabine,Melphalan,0.591930
Daunorubicin,Doxorubicin,0.591273
Doxorubicin,Mitomycin,0.590299
Everolimus,Lorlatinib,0.584628
Gemcitabine,Pemetrexed,0.584202
Olaparib,Teniposide,0.583480
Abemaciclib,Temsirolimus,0.583105
Mercaptopurine,Pralatrexate,0.577054
Methotrexate,Pralatrexate,0.575837
Crizotinib,Doxorubicin,0.572565
Ibrutinib,Tucatinib,0.569763
Methotrexate,Pipobroman,0.568745
Decitabine,Teniposide,0.566336
Oxaliplatin,Pralatrexate,0.566311
Acalabrutinib,Dacomitinib,0.561987
Avapritinib,Sunitinib,0.561905
Idelalisib,Temsirolimus,0.557035
Ribociclib,Romidepsin,0.553934
Gemcitabine,Trifluridine,0.553624
Methotrexate,Pemetrexed,0.553372
Acalabrutinib,Afatinib,0.553363
Mitoxantrone,Uracil mustard,0.552437
Pemigatinib,Temsirolimus,0.551959
Carfilzomib,Romidepsin,0.551458
Decitabine,Valrubicin,0.550820
Brigatinib,Gilteritinib,0.550126
Everolimus,Temsirolimus,0.547113
Avapritinib,Carmustine,0.544310
Acalabrutinib,Zanubrutinib,0.544046
Imatinib,Nilotinib,0.541038
Pipobroman,Pralatrexate,0.540929
Raloxifene,Tamoxifen,0.540526
Everolimus,Gilteritinib,0.540346
Dacomitinib,Ibrutinib,0.540288
Imatinib,Raloxifene,0.539671
Daunorubicin,Irinotecan,0.538194
Acalabrutinib,Ibrutinib,0.537356
Duvelisib,Idelalisib,0.537164
Daunorubicin,Decitabine,0.536009
Ixabepilone,Panobinostat,0.535797
Decitabine,Mitomycin,0.535625
Actinomycin D,Romidepsin,0.534781
Actinomycin D,Homoharringtonine,0.534621
Decitabine,Nitrogen mustard,0.534544
Fluorouracil,Panobinostat,0.533883
Gemcitabine,Hydroxyurea,0.533226
Clofarabine,Methotrexate,0.532776
Fedratinib,Palbociclib,0.532324
Afatinib,Dacomitinib,0.532264
Irinotecan,Pipobroman,0.529745
Gemcitabine,Thiotepa,0.529334
Encorafenib,Vemurafenib,0.529310
Panobinostat,Vorinostat,0.528375
Axitinib,Ifosfamide,0.527735
Cabozantinib,Ifosfamide,0.527735
Bleomycin,Gilteritinib,0.527520
Erdafitinib,Pralsetinib,0.527459
Erdafitinib,Selpercatinib,0.527350
Panobinostat,Tamoxifen,0.527273
Lorlatinib,Selpercatinib,0.525343
Axitinib,Crizotinib,0.524238
Cabozantinib,Crizotinib,0.524238
Dasatinib,Erdafitinib,0.522462
Axitinib,Tioguanine,0.521917
Cabozantinib,Tioguanine,0.521917
Azacitidine,Methotrexate,0.519229
Dasatinib,Mitotane,0.517915
Palbociclib,Trilaciclib,0.517744
Triethylenemelamine,Uracil mustard,0.517012
Decitabine,Methotrexate,0.516706
Axitinib,Lomustine,0.516619
Cabozantinib,Lomustine,0.516619
Lorlatinib,Pralsetinib,0.516490
Methotrexate,Panobinostat,0.516433
Bosutinib,Palbociclib,0.516309
Lapatinib,Palbociclib,0.516309
Axitinib,Carmustine,0.515105
Cabozantinib,Carmustine,0.515105
Hydroxyurea,Pemetrexed,0.514913
Crizotinib,Imatinib,0.513670
Gilteritinib,Selpercatinib,0.512082
Abiraterone,Gilteritinib,0.512049
Dabrafenib,Vinorelbine,0.510431
Gilteritinib,Pralsetinib,0.507862
Fruquintinib,Pralsetinib,0.506661
Mitoxantrone,Valrubicin,0.504902
Gemcitabine,Pipobroman,0.502480
Daunorubicin,Pipobroman,0.502042
Lenvatinib,Pralsetinib,0.499574
Dabrafenib,Encorafenib,0.498989
Arsenic trioxide,Lomustine,0.497456
Encorafenib,Selumetinib,0.495452
Dabrafenib,Selumetinib,0.492831
Actinomycin D,Crizotinib,0.487545
Idarubicin,Nitrogen mustard,0.487017
Daunorubicin,Idarubicin,0.484084
Nilotinib,Raloxifene,0.481620
Cobimetinib,Encorafenib,0.481190
Chlorambucil,Melphalan,0.476405
Mitoxantrone,Triethylenemelamine,0.476207
Gemcitabine,Pralatrexate,0.475946
Binimetinib,Encorafenib,0.474880
Cobimetinib,Dabrafenib,0.474527
Melphalan,Thiotepa,0.473278
Chlorambucil,Thiotepa,0.472841
Thiotepa,Trifluridine,0.472818
Cytarabine,Pemetrexed,0.470614
Triethylenemelamine,Trifluridine,0.469256
Paclitaxel,Pemetrexed,0.466945
Irinotecan,Trifluridine,0.464339
Ifosfamide,Lomustine,0.460956
Cytarabine,Hydroxyurea,0.460858
Fludarabine,umbralisib,0.457455
Abiraterone,Fruquintinib,0.457307
Dabrafenib,Trametinib,0.456818
