gene,rACC_700,rACC_400,is_seed
NBEA,0.010448,0.006439,0
NBN,0.231275,0.158098,0
NCOR2,0.050046,0.107699,0
NDRG1,0.015623,0.024539,0
NF2,0.060279,0.130559,0
NFATC2,0.011059,0.031540,0
NFE2L2,0.065552,0.088826,0
NFIB,0.000000,0.013894,0
NFKB2,0.008726,0.038439,0
NFKBIE,0.003004,0.011024,0
NIN,0.001732,0.008111,0
NONO,0.082828,0.069868,0
NOTCH1,0.127924,0.277964,0
NOTCH2,0.017905,0.094144,0
NRAS,0.249996,0.300070,0
NRG1,0.021364,0.050833,0
NT5C2,0.001604,0.031054,0
NTHL1,0.082115,0.089686,0
NUP214,0.013838,0.033970,0
NUTM1,0.007833,0.008261,0
NUTM2B,0.002026,0.003243,0
P2RY8,0.002719,0.019321,0
PALB2,0.211669,0.277728,0
PAX3,0.029017,0.062320,0
PAX5,0.026843,0.072783,0
PBRM1,0.087699,0.110006,0
PBX1,0.025758,0.041935,0
PCBP1,0.010147,0.028498,0
PDCD1LG2,0.000000,0.041235,0
PDE4DIP,0.010594,0.014416,0
PDGFB,0.078308,0.081566,0
PDGFRA,0.141095,0.171374,0
PDGFRB,0.111346,0.152529,0
PHF6,0.014483,0.085742,0
PICALM,0.003238,0.018825,0
PIK3R1,0.222968,0.238340,0
PIM1,0.006534,0.019978,0
PLAG1,0.035997,0.024081,0
PLCG1,0.122178,0.130461,0
PML,0.098237,0.120305,0
PMS1,0.142820,0.123859,0
POLD1,0.195591,0.208952,0
POLE,0.161534,0.204199,0
POLG,0.013159,0.023008,0
POLR2A,0.049037,0.098787,0
POT1,0.096709,0.090384,0
POU2AF1,0.003962,0.008121,0
PPM1D,0.039930,0.066038,0
PPP2R1A,0.072858,0.135261,0
PPP6C,0.004101,0.053496,0
PRCC,0.010614,0.011702,0
PRDM1,0.034499,0.053790,0
PRDM16,0.000000,0.005574,0
PRDM2,0.002005,0.054420,0
PREX2,0.008981,0.019952,0
PRF1,0.023546,0.032246,0
PRKACA,0.348415,0.258720,0
PRKCB,0.052683,0.049895,0
PRPF40B,0.000797,0.004001,0
PSIP1,0.044222,0.038814,0
PTCH1,0.460297,0.553962,1
PTEN,0.451123,0.444666,0
PTPN13,0.072632,0.053592,0
PTPN6,0.053136,0.058902,0
PTPRC,0.080835,0.116369,0
PTPRD,0.358963,0.039793,0
PTPRK,0.014021,0.079984,0
PTPRT,0.000000,0.020731,0
PWWP2A,0.000000,0.001703,0
QKI,0.050357,0.033276,0
RAC1,0.039129,0.069688,0
RAD17,0.111140,0.100430,0
RAD51B,0.116883,0.132727,0
RALGDS,0.022732,0.027830,0
RANBP2,0.026605,0.108838,0
RB1,0.820366,0.875950,1
RBM10,0.003617,0.048471,0
RBM15,0.007941,0.027937,0
RET,0.315447,0.227424,0
RFWD3,0.008760,0.033550,0
RHOA,0.126971,0.133978,0
RHOH,0.001122,0.017702,0
RMI2,0.037031,0.061079,0
RNF213,0.001263,0.015695,0
RNF43,0.461357,0.216531,0
ROS1,0.040069,0.086318,0
RPL10,0.100092,0.059375,0
RPL5,0.113438,0.112729,0
RUNX1,0.129282,0.196947,0
RUNX1T1,0.013399,0.030735,0
SDC4,0.018061,0.039779,0
SDHAF2,0.009272,0.028419,0
SDHB,0.041988,0.067647,0
SET,0.010409,0.013354,0
SETD1B,0.042390,0.034408,0
SETDB1,0.049587,0.056364,0
SF3B1,0.012858,0.035056,0
SFRP4,0.008840,0.015687,0
SGK1,0.022697,0.035653,0
SH2B3,0.006865,0.038151,0
SH3GL1,0.005132,0.024507,0
SHTN1,0.000000,0.001372,0
SKI,0.005043,0.004500,0
SLC34A2,0.014798,0.017421,0
SLC45A3,0.003886,0.013193,0
SMAD3,0.195714,0.168510,0
SMARCD1,0.055854,0.052562,0
SMARCE1,0.047034,0.049754,0
SMC1A,0.153488,0.145879,0
SMO,0.083484,0.052731,0
SND1,0.005276,0.017252,0
SNX29,0.000000,0.000000,0
SOCS1,0.058966,0.110205,0
SPECC1,0.005481,0.006728,0
SPEN,0.004626,0.019367,0
SPOP,0.090567,0.095695,0
SRC,0.311087,0.262674,0
SRSF2,0.035719,0.059013,0
SS18,0.044023,0.028905,0
STAG1,0.053759,0.047145,0
STAG2,0.040172,0.104956,0
STAT5B,0.111962,0.133461,0
STAT6,0.042652,0.064861,0
STRN,0.013240,0.059923,0
SUB1,0.003346,0.023628,0
SUFU,0.107734,0.066811,0
SUZ12,0.075508,0.101740,0
SYK,0.066211,0.083716,0
TAF15,0.004280,0.015384,0
TAL1,0.017529,0.047985,0
TAL2,0.002036,0.003169,0
TBL1XR1,0.077965,0.069571,0
TCEA1,0.024792,0.037086,0
TCF12,0.024225,0.027921,0
TCF3,0.039973,0.053505,0
TEC,0.007487,0.007055,0
TERT,0.881893,0.983656,1
TET1,0.005255,0.023533,0
TFE3,0.012039,0.022437,0
TFG,0.008977,0.046748,0
TFRC,0.012592,0.070026,0
THRAP3,0.045814,0.035283,0
TMEM127,0.036891,0.033473,0
TNC,0.005061,0.037159,0
TNFRSF14,0.000000,0.014672,0
TNFRSF17,0.000630,0.005584,0
TOP1,0.060044,0.182414,0
TPM3,0.099047,0.085289,0
TPM4,0.013866,0.051194,0
TRAF7,0.003532,0.034241,0
TRIM24,0.024017,0.078897,0
TRIM27,0.020240,0.031882,0
TRRAP,0.087346,0.071340,0
TSC1,0.032093,0.064846,0
U2AF1,0.021763,0.060681,0
USP8,0.010504,0.049776,0
VAV1,0.056085,0.067293,0
WAS,0.023461,0.033399,0
WIF1,0.008427,0.054099,0
WRN,0.346789,0.215522,0
WT1,0.145139,0.241801,0
WWTR1,0.024969,0.035000,0
XPA,0.172532,0.128821,0
XPO1,0.024396,0.081581,0
YWHAE,0.033174,0.096785,0
ZCCHC8,0.000000,0.007267,0
ZEB1,0.044558,0.092142,0
ZMYM2,0.009235,0.029362,0
ZMYM3,0.002977,0.021005,0
ZNF384,0.000000,0.013810,0
ZNF521,0.001028,0.012588,0
ZRSR2,0.010713,0.043520,0
