rank,drug,n_assoc,ADRS_primary,C_ACC_pct,ACCrelative_resid_pct,S_external,ext_only_note,Primary_MOA,rank_exploratory_withBnb
74,Estramustine,7,0.452,0.263,0.617,0.50,,DNA Alkylating Agent,73
75,Erdafitinib,10,0.448,0.693,0.178,0.50,,FGFR 1/2/3/4 Inhibitor,93
76,Trifluridine,6,0.448,0.814,0.056,0.50,,thymidylate synthase Inhibitor,92
77,Dabrafenib,40,0.444,0.767,0.093,0.50,,Raf kinase B Inhibitor,77
78,Topotecan,2,0.442,0.433,0.421,0.50,,DNA Topoisomerase I Inhibitor,70
79,Imatinib,5,0.438,0.369,0.477,0.50,,Bcr-Abl Inhibitor,75
80,Triethylenemelamine,3,0.437,0.405,,0.50,,,83
81,Encorafenib,15,0.436,0.626,0.215,0.50,,Raf Kinase Inhibitor B (V600E Mutant),65
82,Methotrexate,27,0.435,0.837,0.000,0.50,,Dihydrofolate Reductase (DHFR) Inhibitor,96
83,Oxaliplatin,31,0.434,0.817,0.019,0.50,,DNA Alkylating Agent,89
84,Asciminib,3,0.429,0.459,0.364,0.50,,Bcr-Abl Inhibitor,78
85,Gilteritinib,1,0.422,0.507,0.299,0.50,,,91
86,Everolimus,11,0.419,0.208,0.589,0.50,,mTOR inhibitor,99
87,Fludarabine,4,0.418,0.346,0.449,0.50,,Purine Antagonist,104
88,Raloxifene,14,0.414,0.674,0.112,0.50,,Selective Estrogen Receptor Modulators (SERM),74
89,Lorlatinib,2,0.414,0.457,0.327,0.50,,ROS1/ALK Inhibitor,85
90,Sunitinib,3,0.411,0.517,0.336,0.35,,VEGFR-1/2/3 Inhibitor,71
91,Pralatrexate,2,0.411,0.750,0.028,0.50,,Dihydrofolate Reductase (DHFR) Inhibitors,101
92,Carboplatin,7,0.411,0.288,0.439,0.60,,DNA Alkylating Agent,86
93,Duvelisib,6,0.406,0.259,0.505,0.50,,PI3Kd/g Inhibitor,69
94,Temsirolimus,1,0.405,0.528,0.234,0.50,,mTOR Inhibitor,84
95,Sotorasib,4,0.401,0.351,,0.50,,,107
96,Vorinostat,18,0.386,0.145,0.570,0.50,,HDAC Inhibitor,88
97,Dacomitinib,9,0.381,0.151,0.551,0.50,,EGFR Inhibitor,67
98,Dacarbazine,15,0.375,0.145,0.542,0.50,,DNA Alkylating Agent,94
99,Thiotepa,3,0.372,0.410,0.271,0.50,,Cytochrome P450 Oxidase Inhibitor,97
100,Clofarabine,2,0.371,0.490,0.187,0.50,,DNA Polymerase Inhibitor,110
