rank_comp,drug,n_assoc,C_ACC,C_ACC_pct,MIPE_potency_pct,NCI60_potency_pct,residual,residual_pct,ADRS_comp
1,Irinotecan,11,0.0852186526621,0.803738317757,0.803738317757,0.280373831776,0.396020769857,0.953271028037,0.878504672897
2,Cytarabine,9,0.165980011439,0.953271028037,0.663551401869,0.299065420561,0.247980028258,0.785046728972,0.869158878505
3,Ixazomib,5,0.320545517159,0.990654205607,0.869158878505,0.869158878505,0.21404582072,0.738317757009,0.864485981308
4,Daunorubicin,12,0.122067209151,0.88785046729,0.897196261682,0.81308411215,0.26564468103,0.822429906542,0.855140186916
5,Mitomycin,12,0.111453609151,0.869158878505,0.859813084112,0.719626168224,0.267530632013,0.831775700935,0.85046728972
6,Belinostat,5,0.147076517159,0.92523364486,0.841121495327,0.747663551402,0.237058304662,0.766355140187,0.845794392523
7,Brigatinib,8,0.0617843761154,0.757009345794,0.831775700935,0.607476635514,0.286616203099,0.878504672897,0.817757009346
8,Abemaciclib,5,0.149330392159,0.934579439252,0.738317757009,0.663551401869,0.169596782042,0.691588785047,0.81308411215
9,Actinomycin D,12,0.057378275818,0.719626168224,0.990654205607,0.981308411215,0.28841819356,0.88785046729,0.803738317757
10,Docetaxel,12,0.0871393424847,0.81308411215,0.934579439252,0.915887850467,0.259831817192,0.794392523364,0.803738317757
11,Crizotinib,17,0.0461115568635,0.654205607477,0.878504672897,0.616822429907,0.329418262206,0.943925233645,0.799065420561
12,Olaparib,1,0.0497852843175,0.672897196262,0.654205607477,0.130841121495,0.309318665261,0.92523364486,0.799065420561
13,Celecoxib,2,0.040676627454,0.542056074766,0.953271028037,0.233644859813,0.565188044413,0.990654205607,0.766355140187
14,Fluorouracil,12,0.124909275818,0.897196261682,0.495327102804,0.214953271028,0.11509794489,0.635514018692,0.766355140187
15,Homoharringtonine,1,0.0410692843175,0.560747663551,0.971962616822,0.897196261682,0.305068820472,0.915887850467,0.738317757009
16,Ibrutinib,13,0.0435033210794,0.607476635514,0.757009345794,0.467289719626,0.270753540788,0.85046728972,0.728971962617
17,Mitotane,1,0.0410922843175,0.570093457944,0.672897196262,0.242990654206,0.280887299782,0.869158878505,0.719626168224
18,Paclitaxel,10,0.0979483182515,0.831775700935,0.785046728972,0.971962616822,0.0867376297793,0.598130841121,0.714953271028
19,Axitinib,1,0.0398967843175,0.490654205607,0.747663551402,0.317757009346,0.32423835208,0.934579439252,0.71261682243
20,Mercaptopurine,27,0.105412271242,0.841121495327,0.532710280374,0.401869158879,0.0739428653545,0.579439252336,0.710280373832
21,Romidepsin,1,0.0408750343175,0.551401869159,0.96261682243,0.953271028037,0.272161548948,0.859813084112,0.705607476636
22,Ceritinib,12,0.061631875818,0.747663551402,0.700934579439,0.644859813084,0.140067430182,0.644859813084,0.696261682243
23,Doxorubicin,1,0.192350534317,0.971962616822,0.588785046729,0.841121495327,-0.0545472724895,0.411214953271,0.691588785047
24,Idarubicin,11,0.0598858669479,0.738317757009,0.775700934579,0.906542056075,0.104880225374,0.626168224299,0.682242990654
25,Nilotinib,14,0.0512927727806,0.700934579439,0.644859813084,0.495327102804,0.146823269512,0.654205607477,0.677570093458
26,Palbociclib,26,0.0525344530093,0.710280373832,0.579439252336,0.457943925234,0.0971103601853,0.607476635514,0.658878504673
27,Epirubicin,4,0.13490701961,0.906542056075,0.560747663551,0.794392523364,-0.0629500913905,0.392523364486,0.64953271028
28,Bosutinib,1,0.0402805343175,0.528037383178,0.766355140187,0.579439252336,0.232976380917,0.757009345794,0.642523364486
29,Panobinostat,1,0.0432442843175,0.598130841121,0.85046728972,0.943925233645,0.163938929093,0.672897196262,0.635514018692
30,Cobimetinib,29,0.0322999105397,0.364485981308,0.906542056075,0.766355140187,0.294625039699,0.897196261682,0.630841121495
31,Hydroxyurea,7,0.118208213727,0.878504672897,0.224299065421,0,-0.0656110968209,0.383177570093,0.630841121495
32,Chlorambucil,6,0.0238852374744,0.242990654206,0.943925233645,0.102803738318,0.610819029995,1,0.621495327103
33,Lapatinib,1,0.0402805343175,0.528037383178,0.682242990654,0.476635514019,0.192060272792,0.710280373832,0.619158878505
34,Gemcitabine,4,0.170513733896,0.96261682243,0.420560747664,0.803738317757,-0.207063920134,0.252336448598,0.607476635514
35,Osimertinib,2,0.033761227454,0.392523364486,0.81308411215,0.626168224299,0.260070788603,0.803738317757,0.598130841121
36,Tivozanib,1,0.0394192843175,0.467289719626,0.710280373832,0.504672897196,0.208316917404,0.728971962617,0.598130841121
37,Acalabrutinib,1,0.0445287843175,0.626168224299,0.383177570093,0.121495327103,0.0422175407331,0.560747663551,0.593457943925
38,Melphalan,6,0.0230372374744,0.205607476636,0.915887850467,0.18691588785,0.54743943112,0.981308411215,0.593457943925
39,Fulvestrant,2,0.039469627454,0.476635514019,0.504672897196,0.0841121495327,0.179420519257,0.700934579439,0.588785046729
40,Erlotinib,11,0.050977509805,0.682242990654,0.467289719626,0.383177570093,0.0163761303174,0.485981308411,0.584112149533
41,Ixabepilone,11,0.107642938376,0.859813084112,0.570093457944,1,-0.139996379815,0.308411214953,0.584112149533
42,Afatinib,9,0.0230313447725,0.196261682243,0.981308411215,0.691588785047,0.400806697681,0.96261682243,0.579439252336
43,Allopurinol,13,0.0783470710794,0.785046728972,0.205607476636,0.00934579439252,-0.0882295984613,0.373831775701,0.579439252336
44,Etoposide,7,0.081380113727,0.794392523364,0.336448598131,0.355140186916,-0.102684252612,0.355140186916,0.57476635514
45,Tucatinib,2,0.035955427454,0.429906542056,0.607476635514,0.271028037383,0.203686000469,0.719626168224,0.57476635514
46,Carmustine,29,0.0332086605397,0.373831775701,0.551401869159,0.0934579439252,0.222222578364,0.747663551402,0.560747663551
47,Pemetrexed,2,0.228420827454,0.981308411215,0.11214953271,0.373831775701,-0.334837143743,0.140186915888,0.560747663551
48,Tamoxifen,18,0.0440357208224,0.616822429907,0.485981308411,0.420560747664,0.0193600676813,0.495327102804,0.556074766355
49,Decitabine,1,0.0445942843175,0.635514018692,0.289719626168,0.0560747663551,-0.023752013205,0.457943925234,0.546728971963
50,Cyclophosphamide,16,0.0676809545932,0.766355140187,0.158878504673,0.018691588785,-0.138885483279,0.317757009346,0.542056074766
51,Ribociclib,8,0.0266858306609,0.271028037383,0.691588785047,0.336448598131,0.260309760014,0.81308411215,0.542056074766
52,Pralatrexate,2,0.420978027454,1,0.196261682243,0.88785046729,-0.466705201252,0.0280373831776,0.514018691589
