rank_evidence_informed,rank_comp,drug,C_ACC_pct,residual_pct,S_external,ADRS_EI
77,77,Imatinib,0.308411214953,0.476635514019,0.5,0.414018691589
78,78,Topotecan,0.355140186916,0.420560747664,0.5,0.410280373832
79,69,Sunitinib,0.514018691589,0.336448598131,0.35,0.410186915888
80,79,Everolimus,0.140186915888,0.588785046729,0.5,0.391588785047
81,80,Lorlatinib,0.401869158879,0.327102803738,0.5,0.391588785047
82,81,Vinorelbine,0.588785046729,0.130841121495,0.5,0.38785046729
83,83,Fludarabine,0.261682242991,0.448598130841,0.5,0.384112149533
84,86,Carboplatin,0.214953271028,0.439252336449,0.6,0.381682242991
85,84,Duvelisib,0.168224299065,0.504672897196,0.5,0.369158878505
86,85,Vorinostat,0.0934579439252,0.570093457944,0.5,0.365420560748
87,87,Clofarabine,0.457943925234,0.18691588785,0.5,0.357943925234
88,88,Dacarbazine,0.0841121495327,0.542056074766,0.5,0.35046728972
89,89,Dacomitinib,0.0560747663551,0.551401869159,0.5,0.342990654206
90,90,Thiotepa,0.336448598131,0.271028037383,0.5,0.342990654206
91,91,Venetoclax,0.317757009346,0.242990654206,0.5,0.324299065421
92,92,Dexrazoxane,0.0747663551402,0.429906542056,0.5,0.301869158879
93,93,Fruquintinib,0.327102803738,0.168224299065,0.5,0.298130841121
94,94,Mitoxantrone,0.224299065421,0.261682242991,0.5,0.294392523364
95,95,Vemurafenib,0.280373831776,0.205607476636,0.5,0.294392523364
96,96,Cladribine,0.411214953271,0.0654205607477,0.5,0.290654205607
97,97,Valrubicin,0.0467289719626,0.401869158879,0.5,0.279439252336
98,98,umbralisib,0.252336448598,0.14953271028,0.5,0.260747663551
99,99,Sonidegib,0.299065420561,0.0841121495327,0.5,0.253271028037
100,103,Cisplatin,0.158878504673,0.102803738318,0.7,0.244672897196
101,100,Idelalisib,0.0654205607477,0.289719626168,0.5,0.242056074766
102,101,Vinblastine,0.102803738318,0.196261682243,0.5,0.219626168224
103,102,Abiraterone,0,0.280373831776,0.5,0.21214953271
104,104,Neratinib,0.233644859813,0.00934579439252,0.5,0.197196261682
105,105,Teniposide,0.177570093458,0.0373831775701,0.5,0.185981308411
106,106,Zoledronate,0.0373831775701,0.158878504673,0.5,0.178504672897
107,107,Bleomycin,0.11214953271,0.0747663551402,0.5,0.17476635514
108,108,Lenvatinib,0.0280373831776,0.121495327103,0.55,0.169813084112
