variant,drug,z_A1,z_A2,z_B1,z_B2,z_B2_lo,z_B2_hi,delta_z_acc_A1_minus_A2,delta_z_breast_B2_minus_B1,delta_z_breast_B2_lo_minus_B1,delta_z_breast_B2_hi_minus_B1
column_minmax,Abemaciclib,2.73433296981,-1.17306372477,0.0210752876467,1.98174446014,1.79324123756,1.98625746289,3.90739669458,1.96066917249,1.77216594991,1.96518217524
column_minmax,Abiraterone,-0.795701913655,-0.810407810109,-0.882871313062,-0.89136431756,-0.894779932563,-0.889058942234,0.014705896454,-0.008493004498,-0.011908619501,-0.006187629172
column_minmax,Acalabrutinib,-1.13453272234,-1.01793439634,0.811074108433,0.727086600182,0.729262579419,0.7240595723,-0.116598326,-0.083987508251,-0.081811529014,-0.087014536133
column_minmax,Actinomycin D,0.368185968436,0.415328915627,-1.4484023455,-1.42650750805,-1.42506052567,-1.42869330064,-0.047142947191,0.02189483745,0.02334181983,0.01970904486
column_minmax,Afatinib,-0.545315175939,-0.468316459093,0.292605068365,0.285241800793,0.28239749591,0.287751460266,-0.076998716846,-0.007363267572,-0.010207572455,-0.004853608099
column_minmax,Allopurinol,3.91270442815,3.91711769028,-0.0665323073838,-0.000743892125607,-0.00284959306901,0.00175804850413,-0.00441326213,0.0657884152582,0.0636827143148,0.0682903558879
column_minmax,Asciminib,-1.28751123651,-1.17838522813,1.03047516776,0.987613828671,0.986777768479,0.98745849251,-0.10912600838,-0.042861339089,-0.043697399281,-0.04301667525
column_minmax,Axitinib,0.185842717635,0.260396885226,1.19658501443,1.19559562193,1.15259336483,1.1920774932,-0.074554167591,-0.0009893925,-0.0439916496,-0.00450752123
column_minmax,Azacitidine,-5.25137189599,-5.33489003444,-1.56375520236,-1.73464368227,-1.7308197996,-1.74534323627,0.08351813845,-0.17088847991,-0.16706459724,-0.18158803391
column_minmax,Belinostat,2.57148835088,2.6214210774,0.422404836246,0.344835265772,0.388629935982,0.344844412589,-0.04993272652,-0.077569570474,-0.033774900264,-0.077560423657
column_minmax,Binimetinib,-0.722093621016,-0.719636414254,3.09037682993,3.09647204853,3.09557998946,3.10435114277,-0.002457206762,0.0060952186,0.00520315953,0.01397431284
column_minmax,Bleomycin,-1.3466037986,-1.33232740716,-0.465946047355,-0.542699903775,-0.508307172346,-0.541048426033,-0.01427639144,-0.07675385642,-0.042361124991,-0.075102378678
column_minmax,Bosutinib,-0.00364619495873,0.129902248854,1.06100133664,0.995441365185,0.997064650864,0.991975251769,-0.133548443813,-0.065559971455,-0.063936685776,-0.069026084871
column_minmax,Brigatinib,-0.921979202035,-0.989501881206,-1.13703918536,-1.16695877713,-1.16159092132,-1.17251687234,0.067522679171,-0.02991959177,-0.02455173596,-0.03547768698
column_minmax,Cabozantinib,0.185842717635,0.260396885226,1.19658501443,1.19559562193,1.15259336483,1.1920774932,-0.074554167591,-0.0009893925,-0.0439916496,-0.00450752123
column_minmax,Carboplatin,-1.42494317107,-1.34456620377,-0.0812315531308,-0.0794342427693,-0.0802624589147,-0.0796265232235,-0.0803769673,0.0017973103615,0.0009690942161,0.0016050299073
column_minmax,Carfilzomib,-0.852139439279,-0.803419024236,-1.14873219732,-1.13766360752,-1.13802055773,-1.13733849109,-0.048720415043,0.0110685898,0.01071163959,0.01139370623
column_minmax,Carmustine,-0.580533345226,-0.456739890175,-1.38725167479,-1.35725436389,-1.35960852489,-1.39024969965,-0.123793455051,0.0299973109,0.0276431499,-0.00299802486
column_minmax,Celecoxib,-1.39130853021,-1.23486618481,-0.104579829882,-0.164572312165,-0.159818180639,-0.168938001782,-0.1564423454,-0.059992482283,-0.055238350757,-0.0643581719
column_minmax,Ceritinib,-0.54949581809,-0.417885681959,0.379381612051,0.324930080168,0.325678907403,0.32371194402,-0.131610136131,-0.054451531883,-0.053702704648,-0.055669668031
column_minmax,Chlorambucil,-0.377918938655,-0.377151846987,-0.208272202595,-0.15182915444,-0.196412115957,-0.150019487796,-0.000767091668,0.056443048155,0.011860086638,0.058252714799
column_minmax,Cisplatin,-0.266301594817,-0.21836828477,-0.202586018663,-0.106685581729,-0.109273520527,-0.104142589059,-0.047933310047,0.095900436934,0.093312498136,0.098443429604
column_minmax,Cladribine,-1.92107978611,-1.86774302917,0.466006498819,0.344682913301,0.346927902606,0.341631851954,-0.05333675694,-0.121323585518,-0.119078596213,-0.124374646865
column_minmax,Clofarabine,-1.6566082167,-1.42503060069,0.391134570183,0.23011010317,0.335752588711,0.226814118468,-0.23157761601,-0.161024467013,-0.055381981472,-0.164320451715
column_minmax,Cobimetinib,0.377910207077,0.485327310419,2.65116776724,2.64729657139,2.65033802392,2.64965435793,-0.107417103342,-0.00387119585,-0.00082974332,-0.00151340931
column_minmax,Crizotinib,1.55325152258,1.73972789041,-1.10412493764,-1.09300745075,-1.09424229613,-1.09192720886,-0.18647636783,0.01111748689,0.00988264151,0.01219772878
column_minmax,Cyclophosphamide,1.116715473,1.12955919582,-0.301087973795,-0.31067369365,-0.311045525912,-0.31003669376,-0.01284372282,-0.009585719855,-0.009957552117,-0.008948719965
column_minmax,Cytarabine,2.28121069442,2.25313995806,-0.976212090453,-0.966716222221,-0.96559299082,-0.968798779385,0.02807073636,0.009495868232,0.010619099633,0.007413311068
column_minmax,Dabrafenib,1.24396636413,1.32579054165,1.84568111395,1.82570960563,1.83071814362,1.8255830231,-0.08182417752,-0.01997150832,-0.01496297033,-0.02009809085
column_minmax,Dacarbazine,-1.84294143836,-1.86276090709,-1.6967097736,-1.69076253053,-1.69087080756,-1.68996602549,0.01981946873,0.00594724307,0.00583896604,0.00674374811
column_minmax,Dacomitinib,0.0034567590434,0.00803043906156,0.00018695713902,-0.0627321085101,-0.0654924736731,-0.0602863738744,-0.00457368001816,-0.0629190656491,-0.0656794308121,-0.0604733310134
column_minmax,Darolutamide,-1.69362940429,-1.65417863147,-0.513467564831,-0.493416046905,-0.493106417333,-0.4943433972,-0.03945077282,0.020051517926,0.020361147498,0.019124167631
column_minmax,Dasatinib,-1.49744010584,-1.42986339496,-1.26886099247,-1.32977203202,-1.25653215683,-1.33021129203,-0.06757671088,-0.06091103955,0.01232883564,-0.06135029956
column_minmax,Daunorubicin,1.43655805886,1.47285566733,-1.09441147939,-1.09196754026,-1.09107000632,-1.09315316989,-0.03629760847,0.00244393913,0.00334147307,0.0012583095
column_minmax,Decitabine,-2.11017416392,-2.1533804423,0.637427218445,0.574771797212,0.578124261935,0.571129112534,0.04320627838,-0.062655421233,-0.05930295651,-0.066298105911
column_minmax,Dexrazoxane,-0.836500575754,-0.845879366061,-0.55552008087,-0.546690558164,-0.550022374901,-0.544035171054,0.009378790307,0.008829522706,0.005497705969,0.011484909816
column_minmax,Docetaxel,1.91869823799,1.98929228375,-0.407479086494,-0.40330867831,-0.405693953032,-0.436834465139,-0.07059404576,0.004170408184,0.001785133462,-0.029355378645
