disease,variant,dz_abemaciclib,dz_palbociclib,dz_trilaciclib,dz_ribociclib,n_exposed,n_unexposed,unexposed_SD,unexposed_max_abs,standardized_effect,abs_rank_of_abemaciclib,empirical_P_vs_unexposed
ACC,column_minmax,3.90739669458,2.476276557965,,0.01411276919000004,2,106,0.07903839400326931,0.3194082264100002,49.43669141883596,1,0.009345794392523364
ACC,column_gene_rank,0.7134915535690001,0.35778291692999975,,-0.149518334142,2,106,0.35651600637507885,2.57228455806,2.0012889766816215,5,0.037383177570093455
ACC,uniform_ratio_gene_rank,0.7312949698539999,0.25287035321000007,,-0.05916925837500009,2,106,0.21694853719348167,1.07285055017,3.3708223125828574,4,0.037383177570093455
ACC,symmetric_gene_rank,0.6798731769719999,0.13610157583999993,,-0.10645232084799994,2,106,0.2628841331634133,1.6344096448100007,2.5862084896138597,4,0.037383177570093455
Breast,column_minmax,1.9606691724933,0.11190861405000008,,0.014739729849999827,2,106,0.058254418927859264,0.366847556058,33.65700334117728,1,0.009345794392523364
Breast,column_gene_rank,0.424965717833,0.20105723429579997,,-0.11264189941000002,2,106,0.10629958647777336,0.7328872455420001,3.997811580592159,2,0.018691588785046728
Breast,uniform_ratio_gene_rank,1.143968649924,0.33889546042100005,,0.0038232878599999687,2,106,0.0942852678272625,0.30367214108500007,12.133058284565031,1,0.009345794392523364
Breast,symmetric_gene_rank,0.40542224565500007,0.10162181094400002,,0.005293146679999916,2,106,0.08032417530804575,0.3234377951599998,5.0473253425907325,1,0.009345794392523364
