draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
75,0.971686339516,0.666666666667,0.984423676012,0.739130434783,5,27,7,36,48
76,0.984128345099,0.818181818182,0.993578934332,0.818181818182,3.44444444444,24,7,30,48
77,0.988967961359,0.904761904762,0.987291243915,0.818181818182,2.27777777778,33,10,35,51
78,0.985928910991,0.818181818182,0.993226442596,0.904761904762,3.11111111111,28,7,27,48
79,0.985281088342,0.818181818182,0.99053035716,0.904761904762,3.11111111111,27,16,53,50
80,0.977745386645,0.739130434783,0.989310926291,0.739130434783,3.87037037037,33,14,59,50
81,0.976163937237,0.739130434783,0.98743414597,0.739130434783,4.25925925926,28,11,35,47
82,0.980231882401,0.818181818182,0.990930482914,0.904761904762,3.2962962963,32,15,56,48
83,0.985928910991,0.818181818182,0.988310611907,0.818181818182,3.22222222222,27,14,53,46
84,0.989587203597,0.904761904762,0.991130545791,0.904761904762,2.83333333333,17,10,31,47
85,0.979345889661,0.666666666667,0.991521144741,0.739130434783,4.37037037037,26,7,30,50
86,0.984166452314,0.818181818182,0.992797736431,0.904761904762,3.38888888889,33,9,30,50
87,0.977478636143,0.739130434783,0.986719635695,0.818181818182,4.16666666667,25,13,51,48
88,0.985414463593,0.818181818182,0.990987643736,0.904761904762,3.14814814815,28,13,54,48
89,0.981708536969,0.904761904762,0.993216915793,0.818181818182,3.22222222222,29,16,55,47
90,0.992873950861,0.904761904762,0.994845999219,0.904761904762,2.31481481481,21,12,33,48
91,0.985633580078,0.818181818182,0.986652948069,0.818181818182,2.72222222222,26,12,52,48
92,0.980736802995,0.739130434783,0.989310926291,0.818181818182,3.87037037037,25,14,51,48
93,0.977202358837,0.739130434783,0.987548467614,0.739130434783,4.12962962963,29,10,39,50
94,0.98426172035,0.739130434783,0.988825059304,0.818181818182,3.2962962963,22,8,29,48
95,0.982394466832,0.739130434783,0.989501462364,0.818181818182,3.62962962963,33,8,28,52
96,0.982756485372,0.904761904762,0.993293130222,0.818181818182,3.22222222222,31,7,28,49
97,0.974773023903,0.818181818182,0.990577991178,0.818181818182,4.24074074074,31,10,45,49
98,0.983728219345,0.818181818182,0.992778682824,0.904761904762,2.85185185185,31,8,26,49
99,0.983928282222,0.904761904762,0.990196919032,0.818181818182,3.03703703704,30,11,54,50
100,0.972143626092,0.739130434783,0.982013394686,0.818181818182,4.42592592593,31,9,34,49
101,0.987491306792,0.904761904762,0.991664046796,0.818181818182,2.48148148148,29,12,51,48
102,0.990854268484,0.904761904762,0.993350291044,0.904761904762,2.05555555556,25,14,51,48
103,0.992188020997,0.904761904762,0.989044175789,1,1.98148148148,29,13,55,50
104,0.977612011394,0.739130434783,0.982461154458,0.818181818182,4.2037037037,28,9,40,49
105,0.978097878381,0.6,0.988024807797,0.6,4.25925925926,27,11,45,49
106,0.977621538198,0.904761904762,0.99081616127,0.818181818182,3.64814814815,31,14,54,48
107,0.990396981909,0.818181818182,0.992521459125,0.818181818182,2.33333333333,33,6,26,49
108,0.983709165738,0.739130434783,0.98850114798,0.739130434783,3.27777777778,23,9,28,50
109,0.986052759439,0.904761904762,0.988586889213,0.904761904762,2.98148148148,32,9,27,49
110,0.989558623186,0.818181818182,0.993988586889,0.818181818182,2.61111111111,21,8,29,51
111,0.989377613917,0.904761904762,0.987748530491,0.818181818182,2.42592592593,25,8,33,49
112,0.976992769156,0.904761904762,0.99276915602,0.904761904762,3.53703703704,32,15,58,49
113,0.981270304,0.818181818182,0.990520830356,0.818181818182,3.24074074074,32,14,58,49
114,0.979746015414,0.739130434783,0.983842540989,0.666666666667,3.66666666667,28,10,28,50
115,0.992102279764,0.904761904762,0.991321081864,0.904761904762,2.24074074074,25,12,51,48
116,0.980069926739,0.739130434783,0.988301085103,0.818181818182,3.90740740741,25,11,51,47
117,0.992121333371,0.904761904762,0.990797107662,0.818181818182,2.35185185185,18,9,31,50
118,0.986633894462,0.818181818182,0.992473825107,0.818181818182,2.98148148148,29,7,30,50
119,0.985176293502,0.739130434783,0.990692312822,0.739130434783,3.44444444444,29,10,38,49
120,0.98850114798,1,0.993226442596,0.904761904762,2.37037037037,23,8,26,49
121,0.979288728839,0.739130434783,0.98974915926,0.818181818182,3.72222222222,34,18,60,49
122,0.993578934332,1,0.994579248716,0.904761904762,1.61111111111,30,8,30,48
123,0.973944191984,0.739130434783,0.987100707842,0.818181818182,4.46296296296,34,7,30,51
124,0.984166452314,0.739130434783,0.992550039536,0.818181818182,3.12962962963,35,11,46,49
125,0.98532872236,0.904761904762,0.991178179809,0.818181818182,2.77777777778,32,12,52,48
126,0.98397591624,0.904761904762,0.988196290263,0.818181818182,3.03703703704,31,7,27,48
127,0.986262349119,0.818181818182,0.986643421266,0.818181818182,3.42592592593,17,7,27,48
128,0.985366829575,0.904761904762,0.990206445835,0.818181818182,2.85185185185,30,15,56,47
129,0.983842540989,0.904761904762,0.991902216887,0.818181818182,2.83333333333,31,15,52,47
130,0.982318252403,0.739130434783,0.987262663504,0.818181818182,3.74074074074,28,13,54,49
131,0.983261405966,0.818181818182,0.988634523231,0.818181818182,3.16666666667,30,14,51,49
132,0.991159126202,0.818181818182,0.990054016977,0.818181818182,2.35185185185,25,14,51,50
133,0.968952146865,0.739130434783,0.98686253775,0.739130434783,5,29,7,37,51
134,0.978602798975,0.818181818182,0.991511617937,0.904761904762,3.87037037037,27,7,34,50
135,0.992978745701,0.818181818182,0.990711366429,0.818181818182,2.2962962963,14,9,29,48
136,0.975830499109,0.666666666667,0.990806634466,0.739130434783,4.48148148148,27,12,52,48
137,0.985967018206,0.904761904762,0.990749473644,0.904761904762,2.92592592593,25,13,51,47
138,0.987519887203,0.818181818182,0.98636714396,0.818181818182,2.92592592593,22,13,48,47
139,0.985138186287,0.818181818182,0.986919698572,0.818181818182,2.59259259259,33,14,51,47
140,0.983680585327,0.739130434783,0.993988586889,0.818181818182,3.42592592593,27,12,50,48
141,0.990654205607,1,0.990435089123,0.904761904762,2.12962962963,30,7,26,47
142,0.973715548696,0.666666666667,0.98696733259,0.739130434783,4.64814814815,30,9,45,49
143,0.988977488163,0.818181818182,0.992492878714,0.739130434783,2.5,28,11,36,48
144,0.983499576057,0.818181818182,0.990701839626,0.818181818182,3.55555555556,25,8,28,50
145,0.982346832814,0.739130434783,0.989730105652,0.739130434783,3.81481481481,23,9,28,49
146,0.988586889213,0.739130434783,0.988415406747,0.666666666667,3.11111111111,18,7,29,49
147,0.981975287471,0.739130434783,0.991873636476,0.818181818182,3.62962962963,33,7,28,48
148,0.986976859394,0.904761904762,0.9940171673,1,3.2037037037,28,8,32,48
149,0.978202673221,0.666666666667,0.988358245925,0.739130434783,4.46296296296,28,8,29,51
150,0.974106147646,0.739130434783,0.988863166519,0.818181818182,4.25925925926,31,9,49,52
151,0.977916869111,0.818181818182,0.993093067345,0.904761904762,3.5,32,12,46,51
152,0.983261405966,0.818181818182,0.991635466385,0.818181818182,3,34,14,53,49
153,0.982165823545,0.904761904762,0.98974915926,0.818181818182,3.33333333333,29,14,55,49
154,0.99276915602,1,0.991149599398,0.904761904762,2.18518518519,18,8,26,48
155,0.983042289481,0.904761904762,0.988663103642,0.818181818182,2.98148148148,31,12,51,48
156,0.977183305229,0.739130434783,0.985738374918,0.818181818182,4.25925925926,25,9,45,49
157,0.98444272962,1,0.993245496204,0.904761904762,2.83333333333,30,13,51,47
158,0.981356045233,0.818181818182,0.987319824326,0.904761904762,3.59259259259,26,13,52,49
159,0.981765697791,0.904761904762,0.994131488944,0.904761904762,3.5,29,9,40,50
160,0.976354473311,0.818181818182,0.98899654177,0.739130434783,4.2037037037,33,7,30,50
161,0.989272819076,0.818181818182,0.992635780769,0.904761904762,2.33333333333,34,9,27,48
162,0.983147084322,0.818181818182,0.988367772729,0.739130434783,3.46296296296,27,10,36,52
163,0.981984814275,0.818181818182,0.989034648985,0.818181818182,3.55555555556,30,9,32,48
164,0.981937180257,0.739130434783,0.992683414788,0.818181818182,3.72222222222,28,10,37,49
165,0.969266531386,0.666666666667,0.987176922271,0.739130434783,4.88888888889,33,9,30,48
166,0.990501776749,0.904761904762,0.990235026246,0.904761904762,2.2962962963,27,16,53,48
167,0.997332494975,1,0.993302657026,0.904761904762,1.51851851852,10,9,32,49
168,0.975382739337,0.818181818182,0.983737746149,0.739130434783,3.98148148148,30,12,56,47
169,0.973944191984,0.666666666667,0.988329665514,0.739130434783,4.66666666667,28,9,29,50
170,0.989225185058,0.818181818182,0.99362656835,0.818181818182,2.90740740741,24,9,28,49
171,0.979345889661,0.818181818182,0.991435403508,0.818181818182,3.53703703704,30,12,53,48
172,0.97536368573,0.739130434783,0.985481151219,0.739130434783,4.59259259259,28,8,28,51
173,0.994045747711,1,0.990682786018,0.904761904762,2.07407407407,17,9,32,50
174,0.984271247154,0.818181818182,0.991368715882,0.904761904762,3.16666666667,29,11,52,47
175,0.987786637705,0.818181818182,0.993245496204,0.904761904762,2.72222222222,29,10,28,48
176,0.984356988387,0.818181818182,0.985004811036,0.904761904762,3.03703703704,29,9,26,49
177,0.979517372126,0.904761904762,0.989539569579,0.904761904762,3.38888888889,30,14,52,47
178,0.991502091133,1,0.990854268484,0.904761904762,2.14814814815,28,15,54,47
179,0.988053388208,0.818181818182,0.992340449856,0.818181818182,2.68518518519,26,11,45,48
180,0.982537368887,0.818181818182,0.991530671544,0.818181818182,3.35185185185,27,12,53,49
181,0.985652633685,0.904761904762,0.992073699353,0.818181818182,2.85185185185,32,19,58,46
182,0.980698695781,0.739130434783,0.991978431317,0.818181818182,3.90740740741,26,13,52,49
183,0.988139129441,0.904761904762,0.9914163499,0.818181818182,2.68518518519,26,11,52,48
184,0.981679956558,0.739130434783,0.992102279764,0.666666666667,3.85185185185,26,9,31,50
185,0.980946392676,0.818181818182,0.990396981909,0.818181818182,3.16666666667,33,16,59,47
186,0.980974973087,0.666666666667,0.984385568798,0.666666666667,3.66666666667,28,10,30,48
187,0.984814274963,0.818181818182,0.990644678804,0.739130434783,3.42592592593,25,8,29,50
188,0.987700896472,0.818181818182,0.989873007707,0.904761904762,2.61111111111,32,17,58,49
189,0.98290891423,0.818181818182,0.989444301542,0.818181818182,3.2037037037,32,14,52,47
190,0.976811759886,0.739130434783,0.988691684053,0.818181818182,4.2037037037,32,7,28,49
191,0.987329351129,0.904761904762,0.989834900493,0.818181818182,2.2962962963,33,15,59,48
192,0.990511303553,0.904761904762,0.994674516753,0.904761904762,2.2962962963,27,11,43,50
193,0.990520830356,0.818181818182,0.995169910543,0.818181818182,2.66666666667,21,9,28,49
194,0.9804891061,0.904761904762,0.988586889213,0.818181818182,2.94444444444,32,14,54,49
195,0.98753894081,0.904761904762,0.989339506702,1,2.68518518519,31,16,57,49
196,0.98233730601,0.904761904762,0.98871073766,0.818181818182,3.11111111111,35,19,61,50
197,0.99255956634,0.904761904762,0.990473196338,0.904761904762,2.22222222222,17,11,31,48
198,0.976078196004,0.739130434783,0.985976545009,0.818181818182,3.92592592593,30,14,56,48
199,0.989053702592,0.904761904762,0.990854268484,0.904761904762,2.62962962963,29,10,27,47
200,0.980917812265,0.739130434783,0.992064172549,0.739130434783,3.66666666667,29,12,55,50
201,0.978898129888,0.666666666667,0.988853639715,0.666666666667,4.09259259259,28,13,54,48
202,0.983994969848,0.904761904762,0.9880343346,1,3.27777777778,26,11,52,48
203,0.978917183496,0.818181818182,0.991940324102,0.818181818182,3.57407407407,32,12,52,48
204,0.987881905742,0.739130434783,0.989310926291,0.739130434783,3.09259259259,20,7,32,50
205,0.979869863862,0.739130434783,0.993693255976,0.818181818182,3.74074074074,30,12,46,49
206,0.985443044004,0.818181818182,0.99102575095,0.904761904762,3.09259259259,35,6,28,48
207,0.992369030267,0.904761904762,0.990396981909,0.818181818182,2.48148148148,17,8,36,49
208,0.979784122629,0.818181818182,0.989825373689,0.904761904762,3.38888888889,35,17,61,49
209,0.979755542218,0.904761904762,0.991197233416,0.818181818182,3.37037037037,30,13,55,50
210,0.987424619166,0.818181818182,0.993159754971,0.818181818182,3.09259259259,25,11,35,49
211,0.988272504692,0.818181818182,0.989892061315,0.904761904762,2.83333333333,24,14,50,48
212,0.989815846885,0.904761904762,0.98967294483,0.818181818182,2.35185185185,26,10,28,50
213,0.989873007707,0.904761904762,0.993264549811,1,2.42592592593,29,8,31,48
214,0.993293130222,0.904761904762,0.990673259215,0.904761904762,1.92592592593,20,8,24,50
215,0.988929854145,0.818181818182,0.993283603418,0.818181818182,2.83333333333,22,8,28,49
216,0.995208017758,0.904761904762,0.990797107662,0.904761904762,1.74074074074,21,12,29,49
217,0.981975287471,0.904761904762,0.992159440586,0.904761904762,3.33333333333,29,9,33,49
218,0.987615155239,0.739130434783,0.99013975821,0.739130434783,3.16666666667,20,9,29,49
219,0.9864719388,0.818181818182,0.987167395467,0.904761904762,2.51851851852,31,16,57,49
220,0.987910486153,0.739130434783,0.989063229396,0.818181818182,3.16666666667,18,7,27,48
221,0.985681214096,0.818181818182,0.990282660265,0.739130434783,3.12962962963,25,10,30,49
222,0.984633265693,0.818181818182,0.992330923052,0.904761904762,3.55555555556,21,6,27,47
223,0.97778349386,0.739130434783,0.990358874694,0.739130434783,4.11111111111,29,10,36,49
224,0.986195661494,0.904761904762,0.992026065335,0.818181818182,2.7037037037,31,15,50,48
225,0.978507530938,0.818181818182,0.990254079854,0.818181818182,3.59259259259,31,12,51,48
226,0.969285584993,0.739130434783,0.985071498661,0.739130434783,4.25925925926,34,15,56,49
227,0.981518000896,0.818181818182,0.992197547801,0.904761904762,3.31481481481,31,14,57,49
228,0.985271561538,0.818181818182,0.992731048806,0.818181818182,3.24074074074,27,10,31,51
229,0.985185820305,0.904761904762,0.990416035516,0.818181818182,2.66666666667,33,19,59,48
230,0.983128030714,0.739130434783,0.991016224147,0.818181818182,3.53703703704,29,8,29,49
231,0.98540493679,1,0.991711680814,0.904761904762,2.5,35,19,61,49
232,0.981956233864,0.739130434783,0.988539255194,0.818181818182,3.38888888889,32,7,26,47
233,0.977516743357,0.904761904762,0.990054016977,1,3.5,35,8,28,48
234,0.983709165738,0.904761904762,0.991873636476,0.904761904762,3.14814814815,29,14,55,50
235,0.980660588566,0.666666666667,0.99053035716,0.739130434783,4.09259259259,25,9,33,49
236,0.978650432993,0.666666666667,0.988329665514,0.739130434783,4,34,11,39,49
237,0.973553593034,0.818181818182,0.988482094373,0.818181818182,4.62962962963,33,13,52,47
238,0.995389027028,1,0.994464927072,0.904761904762,1.77777777778,18,8,30,49
239,0.988443987158,0.739130434783,0.994331551821,0.818181818182,3.07407407407,21,9,27,50
240,0.984499890442,0.818181818182,0.991892690084,0.904761904762,3.27777777778,30,9,30,50
241,0.979364943268,0.818181818182,0.989806320082,0.739130434783,3.7962962963,28,8,31,50
242,0.984033077062,0.818181818182,0.993302657026,0.904761904762,3.33333333333,29,12,50,49
243,0.976706965046,0.739130434783,0.990968590128,0.818181818182,4.24074074074,32,16,58,48
244,0.980412891671,0.818181818182,0.991521144741,0.818181818182,3.24074074074,32,13,52,47
245,0.976173464041,0.739130434783,0.988186763459,0.666666666667,4.01851851852,31,13,54,48
246,0.970123943716,0.739130434783,0.984099764688,0.818181818182,4.42592592593,36,9,36,50
247,0.990625625196,0.904761904762,0.991635466385,0.904761904762,2.2962962963,27,9,26,48
248,0.979307782446,0.739130434783,0.990787580859,0.739130434783,4.11111111111,28,8,29,49
249,0.991044804558,0.904761904762,0.991930797298,0.904761904762,2.18518518519,30,17,56,47
250,0.990092124191,0.818181818182,0.993397925062,0.904761904762,2.77777777778,19,8,32,48
251,0.982213457563,0.739130434783,0.989796793278,0.739130434783,3.81481481481,20,8,29,50
252,0.979193460802,0.904761904762,0.990158811817,0.904761904762,3.38888888889,31,9,31,48
253,0.982613583317,0.818181818182,0.987900959349,0.818181818182,3.25925925926,32,8,28,51
254,0.995474768261,1,0.994998428077,0.904761904762,1.90740740741,17,8,30,50
255,0.991282974649,0.904761904762,0.99352177351,0.904761904762,2.16666666667,31,7,28,48
256,0.983499576057,0.904761904762,0.992912058075,0.904761904762,3.14814814815,32,13,47,49
257,0.973953718788,0.739130434783,0.985776482132,0.739130434783,4.40740740741,29,13,55,48
258,0.994626882735,0.818181818182,0.991397296293,0.904761904762,1.96296296296,13,8,25,49
259,0.982146769937,0.739130434783,0.993416978669,0.818181818182,3.57407407407,30,12,32,51
260,0.990120704602,1,0.988863166519,0.904761904762,2.31481481481,32,9,26,49
261,0.979907971077,0.818181818182,0.989053702592,0.818181818182,3.44444444444,31,15,57,48
262,0.976344946507,0.666666666667,0.991330608667,0.739130434783,4.25925925926,29,12,55,50
263,0.973143940477,0.666666666667,0.986090866653,0.666666666667,4.77777777778,28,11,50,49
264,0.990987643736,0.818181818182,0.993693255976,0.904761904762,2.61111111111,19,10,31,49
265,0.982889860623,0.739130434783,0.989196604647,0.818181818182,3.62962962963,22,8,28,48
266,0.984795221355,0.739130434783,0.992502405518,0.739130434783,3.64814814815,20,7,30,51
267,0.983518629665,0.818181818182,0.993388398259,0.818181818182,3.27777777778,32,11,30,47
268,0.986300456334,0.904761904762,0.992959692094,0.904761904762,2.96296296296,32,10,26,47
269,0.980412891671,0.818181818182,0.990158811817,0.818181818182,3.59259259259,28,12,54,49
270,0.992302342641,0.818181818182,0.990311240676,0.818181818182,2.27777777778,18,11,28,49
271,0.98967294483,0.739130434783,0.989329979898,0.818181818182,3.05555555556,18,11,31,46
272,0.983575790487,0.904761904762,0.992502405518,0.904761904762,3.09259259259,29,7,29,48
273,0.983185191536,0.904761904762,0.993893318853,0.904761904762,2.55555555556,35,17,61,49
274,0.979250621624,0.818181818182,0.988015280993,0.818181818182,3.59259259259,31,12,51,49
275,0.981413206055,0.739130434783,0.987167395467,0.818181818182,3.61111111111,28,12,54,49
276,0.981651376147,0.904761904762,0.990206445835,0.818181818182,3.33333333333,29,13,55,50
277,0.983385254413,0.904761904762,0.989368087113,0.904761904762,3.03703703704,34,18,60,49
278,0.981155982356,0.904761904762,0.991521144741,0.818181818182,3.42592592593,32,12,37,49
279,0.973820343537,0.818181818182,0.987786637705,0.818181818182,3.66666666667,34,15,60,49
280,0.99412196214,0.904761904762,0.990454142731,0.818181818182,2,15,8,28,49
281,0.98337572761,0.904761904762,0.99131155506,0.818181818182,3.18518518519,31,14,54,48
282,0.9804891061,0.904761904762,0.991759314832,0.818181818182,3.2037037037,31,15,57,47
283,0.986300456334,0.904761904762,0.993216915793,0.904761904762,3.11111111111,25,6,27,50
284,0.979079139158,0.818181818182,0.990025436566,0.739130434783,3.72222222222,31,12,57,49
285,0.985766955329,0.904761904762,0.992912058075,0.904761904762,2.85185185185,27,12,53,47
286,0.97999371231,0.666666666667,0.988939380948,0.666666666667,3.94444444444,26,7,30,50
287,0.98579553574,0.818181818182,0.988148656244,0.818181818182,3.07407407407,25,10,29,47
288,0.970571703488,0.739130434783,0.989006068574,0.739130434783,4.75925925926,30,12,56,49
289,0.977802547467,0.666666666667,0.992130860175,0.739130434783,4.05555555556,31,8,32,51
290,0.982270618385,0.666666666667,0.98522392752,0.666666666667,3.59259259259,24,8,29,50
291,0.975525641392,0.904761904762,0.991625939581,0.904761904762,3.51851851852,35,15,61,48
292,0.979050558747,0.818181818182,0.988224870674,0.739130434783,3.62962962963,30,12,54,48
293,0.981070241123,0.904761904762,0.990797107662,0.818181818182,3.44444444444,32,8,28,50
294,0.993655148761,0.904761904762,0.991092438576,0.904761904762,2.18518518519,15,9,28,49
295,0.988243924281,1,0.992121333371,0.904761904762,2.57407407407,29,13,55,50
296,0.977240466051,0.739130434783,0.984614212086,0.818181818182,4.18518518519,24,6,31,50
297,0.985700267703,0.904761904762,0.990387455105,0.904761904762,3.03703703704,29,8,34,46
298,0.982318252403,0.904761904762,0.992159440586,0.904761904762,3.24074074074,32,13,52,49
299,0.989596730401,0.904761904762,0.989434774739,0.818181818182,2.55555555556,25,11,51,48
300,0.98433793478,0.818181818182,0.991740261225,0.818181818182,3.01851851852,31,11,31,47
301,0.988301085103,0.818181818182,0.993121647756,0.818181818182,2.83333333333,20,8,29,50
302,0.983966389437,0.904761904762,0.989863480904,0.818181818182,2.68518518519,34,18,60,49
303,0.989777739671,0.904761904762,0.993826631227,0.904761904762,2.83333333333,18,8,32,50
304,0.98202292149,0.904761904762,0.99313117456,0.904761904762,3.27777777778,28,13,54,48
305,0.995112749721,0.904761904762,0.991835529262,0.818181818182,1.83333333333,17,9,28,49
306,0.987691369669,0.818181818182,0.990749473644,0.818181818182,2.62962962963,27,12,49,47
307,0.982651690531,0.739130434783,0.986376670763,0.818181818182,3.68518518519,23,8,28,48
308,0.980717749388,0.666666666667,0.989129917022,0.739130434783,4,32,9,31,49
309,0.986052759439,0.904761904762,0.993331237437,0.904761904762,2.83333333333,29,14,55,48
310,0.97411567445,0.666666666667,0.990454142731,0.739130434783,4.77777777778,29,10,45,50
311,0.982794592586,0.818181818182,0.988872693323,0.904761904762,3.81481481481,26,5,27,47
312,0.986929225376,0.904761904762,0.992349976659,0.818181818182,2.74074074074,27,13,53,49
313,0.985443044004,0.818181818182,0.990501776749,0.904761904762,3.07407407407,32,20,58,47
314,0.979117246373,0.818181818182,0.990625625196,0.818181818182,3.66666666667,36,18,62,48
315,0.990034963369,0.818181818182,0.992159440586,0.818181818182,2.2037037037,33,10,27,50
316,0.985852696562,0.904761904762,0.990949536521,0.818181818182,3.05555555556,30,9,26,49
317,0.977135671211,0.739130434783,0.988634523231,0.818181818182,3.94444444444,26,12,52,47
318,0.981327464822,0.739130434783,0.989901588118,0.818181818182,3.75925925926,27,9,40,49
319,0.972353215773,0.666666666667,0.99006354378,0.739130434783,4.38888888889,34,11,41,50
320,0.97864090619,0.818181818182,0.990215972639,0.904761904762,3.75925925926,33,8,28,49
321,0.984471310031,0.904761904762,0.991330608667,0.904761904762,2.83333333333,31,12,57,48
322,0.973315422942,0.818181818182,0.984214086332,0.904761904762,4.25925925926,31,6,28,50
323,0.978383682491,0.739130434783,0.990301713872,0.739130434783,3.7962962963,26,12,52,49
324,0.984318881172,0.739130434783,0.986538626425,0.739130434783,3.37037037037,22,8,29,49
325,0.984299827565,0.739130434783,0.990987643736,0.818181818182,3.81481481481,17,10,42,51
326,0.982270618385,0.739130434783,0.989482408757,0.739130434783,3.74074074074,28,10,30,49
327,0.991721207618,0.904761904762,0.990806634466,1,2.59259259259,18,7,27,50
328,0.988196290263,0.904761904762,0.988624996427,0.904761904762,2.18518518519,33,16,59,48
329,0.98522392752,0.904761904762,0.993683729172,0.904761904762,2.90740740741,28,9,35,49
330,0.968866405632,0.739130434783,0.98433793478,0.818181818182,4.7962962963,34,10,43,51
331,0.986738689302,0.904761904762,0.990911429306,0.818181818182,2.90740740741,26,10,52,48
332,0.984928596607,0.818181818182,0.989892061315,0.904761904762,3.27777777778,27,10,44,49
333,0.986786323321,0.818181818182,0.990625625196,0.818181818182,3.27777777778,22,8,38,50
334,0.988405879943,0.904761904762,0.986548153229,0.818181818182,2.35185185185,24,8,28,49
335,0.980517686511,0.818181818182,0.990044490173,0.818181818182,3.2962962963,30,12,51,48
336,0.990701839626,0.904761904762,0.989587203597,0.904761904762,2.33333333333,24,13,50,48
337,0.984318881172,0.818181818182,0.985081025465,0.739130434783,2.88888888889,25,11,51,48
338,0.98262311012,0.818181818182,0.993617041546,0.904761904762,3.42592592593,27,8,29,49
339,0.983337620395,0.739130434783,0.993283603418,0.818181818182,3.57407407407,27,12,47,50
340,0.982975601856,0.739130434783,0.98811054903,0.818181818182,3.33333333333,29,7,27,51
341,0.969628549925,0.739130434783,0.986214715101,0.818181818182,4.62962962963,34,8,51,52
342,0.975001667191,0.739130434783,0.988529728391,0.739130434783,4.16666666667,29,13,55,49
343,0.980822544228,0.904761904762,0.991968904513,0.818181818182,3.37037037037,30,14,55,49
344,0.988443987158,1,0.987881905742,0.904761904762,2.57407407407,32,12,30,49
345,0.977088037193,0.666666666667,0.990835214877,0.739130434783,4.24074074074,34,6,29,50
346,0.978259834043,0.739130434783,0.98636714396,0.739130434783,3.7962962963,31,10,41,49
347,0.969247477779,0.739130434783,0.988043861404,0.818181818182,4.46296296296,32,13,58,51
348,0.982994655463,0.666666666667,0.989320453095,0.666666666667,3.77777777778,27,9,29,49
349,0.983652004916,0.818181818182,0.99255956634,0.818181818182,3.27777777778,31,10,31,48
350,0.976792706279,0.818181818182,0.991892690084,0.818181818182,3.51851851852,33,16,56,47
351,0.978707593815,0.739130434783,0.987205502682,0.739130434783,3.7037037037,29,13,55,48
352,0.978135985595,0.904761904762,0.992254708623,1,3.85185185185,30,13,54,48
353,0.983823487382,0.904761904762,0.9940171673,1,3.12962962963,28,15,51,48
354,0.984404622405,0.904761904762,0.992359503463,0.904761904762,3.07407407407,37,7,27,46
355,0.982184877152,0.739130434783,0.993759943601,0.818181818182,3.64814814815,27,14,52,48
356,0.978421789705,0.818181818182,0.987843798527,0.904761904762,4.14814814815,31,13,39,52
357,0.980527213315,0.818181818182,0.992407137481,0.818181818182,3.25925925926,33,12,37,48
358,0.984509417245,0.818181818182,0.985928910991,0.739130434783,3.22222222222,25,7,33,49
359,0.989977802547,0.818181818182,0.995389027028,0.904761904762,2.38888888889,31,11,33,46
360,0.968571074719,0.739130434783,0.98233730601,0.739130434783,4.7962962963,30,12,56,48
361,0.991321081864,0.904761904762,0.992340449856,0.904761904762,2.31481481481,22,12,34,49
362,0.982499261673,0.904761904762,0.991854582869,1,3.38888888889,29,16,55,49
363,0.966875303667,0.739130434783,0.983289986377,0.818181818182,4.96296296296,35,7,38,51
364,0.981746644183,0.818181818182,0.989863480904,0.904761904762,3.44444444444,31,9,27,48
365,0.979174407195,0.818181818182,0.98792953976,0.739130434783,3.74074074074,33,10,42,51
366,0.9864719388,0.904761904762,0.992530985929,0.818181818182,2.81481481481,27,13,53,47
367,0.990901902503,0.904761904762,0.988348719121,0.904761904762,2.24074074074,25,11,51,49
368,0.986748216106,0.904761904762,0.987758057294,0.818181818182,2.74074074074,27,10,27,49
369,0.978879076281,0.818181818182,0.985242981127,0.739130434783,3.61111111111,33,8,29,49
370,0.988910800537,0.904761904762,0.993197862185,0.818181818182,2.66666666667,22,9,26,49
371,0.984642792497,0.904761904762,0.991235340631,0.904761904762,3.33333333333,29,8,25,49
372,0.99412196214,0.818181818182,0.992426191089,0.904761904762,2.05555555556,12,10,35,48
373,0.98753894081,1,0.990720893233,0.904761904762,2.33333333333,35,20,61,49
374,0.996008269266,0.904761904762,0.992864424057,0.904761904762,1.74074074074,12,6,30,48
375,0.986919698572,0.904761904762,0.991463983919,0.818181818182,2.90740740741,28,8,30,48
376,0.982013394686,0.818181818182,0.99013975821,0.818181818182,3.53703703704,30,15,56,49
377,0.993121647756,0.904761904762,0.993169281774,0.904761904762,2.03703703704,24,12,50,47
378,0.991673573599,1,0.991454457115,0.904761904762,2.46296296296,23,8,31,49
379,0.989129917022,0.904761904762,0.99177836844,0.818181818182,2.59259259259,27,7,35,47
380,0.974649175455,0.818181818182,0.989701525241,0.904761904762,3.81481481481,32,14,58,50
381,0.984604685282,0.904761904762,0.988081968619,0.818181818182,2.83333333333,31,16,57,49
382,0.988205817066,0.904761904762,0.985700267703,0.818181818182,2.66666666667,23,12,49,50
383,0.984309354369,0.818181818182,0.987329351129,0.739130434783,3.14814814815,29,11,51,47
384,0.98233730601,1,0.988586889213,0.904761904762,2.92592592593,34,15,60,49
385,0.983442415235,0.818181818182,0.98436651519,0.739130434783,2.90740740741,26,9,35,51
386,0.98629092953,0.818181818182,0.988291558299,0.818181818182,3.03703703704,23,9,34,49
