rank_comp,drug,mechanism_class,primary_moa,gene_symbol,moa_source,assignment_rule,in_primary_universe,eligible_class
82,Cabozantinib,Multikinase/VEGFR,VEGFR-2 Inhibitor,KDR,MIPE Primary MOA,explicit_drug_alias,True,True
83,Fludarabine,Antimetabolite,Purine Antagonist,HPRT1,MIPE Primary MOA,explicit_drug_alias,True,True
84,Duvelisib,Other,PI3Kd/g Inhibitor,PIK3CD,MIPE Primary MOA,other_or_singleton,True,False
85,Vorinostat,HDAC,HDAC Inhibitor,HDAC1,MIPE Primary MOA,primary_moa,True,True
86,Carboplatin,Alkylator/platinum,DNA Alkylating Agent,,MIPE Primary MOA,explicit_drug_alias,True,True
87,Clofarabine,Antimetabolite,DNA Polymerase Inhibitor,,MIPE Primary MOA,explicit_drug_alias,True,True
88,Dacarbazine,Alkylator/platinum,DNA Alkylating Agent,,MIPE Primary MOA,explicit_drug_alias,True,True
89,Dacomitinib,EGFR/HER,EGFR Inhibitor,EGFR,MIPE Primary MOA,explicit_drug_alias,True,True
90,Thiotepa,Alkylator/platinum,Cytochrome P450 Oxidase Inhibitor,,MIPE Primary MOA,explicit_drug_alias,True,True
91,Venetoclax,Other,Bcl-2 Inhibitor,BCL2,MIPE Primary MOA,other_or_singleton,True,False
92,Dexrazoxane,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
93,Fruquintinib,Multikinase/VEGFR,VEGFR-1/2/3 Inhibitor,FLT1,MIPE Primary MOA,explicit_drug_alias,True,True
94,Mitoxantrone,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
95,Vemurafenib,Other,Raf kinase B Inhibitor,BRAF,MIPE Primary MOA,other_or_singleton,True,False
96,Cladribine,Antimetabolite,Adenosine Deaminase Inhibitor,ADA,MIPE Primary MOA,explicit_drug_alias,True,True
97,Valrubicin,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
98,umbralisib,Other,Casein Kinase 1 Inhibitor,CSNK1E,MIPE Primary MOA,other_or_singleton,True,False
99,Sonidegib,Other,Smo Receptor Antagonist,SMO,MIPE Primary MOA,other_or_singleton,True,False
100,Idelalisib,Other,PI3Kdelta Inhibitor,PIK3CD,MIPE Primary MOA,other_or_singleton,True,False
101,Vinblastine,Tubulin,Tubulin polymerization inhibitor,TUBB,MIPE Primary MOA,explicit_drug_alias,True,True
102,Abiraterone,Other,Androgen Biosynthesis Inhibitor,AR,MIPE Primary MOA,other_or_singleton,True,False
103,Cisplatin,Alkylator/platinum,DNA Alkylating Agent,,MIPE Primary MOA,explicit_drug_alias,True,True
104,Neratinib,EGFR/HER,EGFR Inhibitor,EGFR,MIPE Primary MOA,explicit_drug_alias,True,True
105,Teniposide,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
106,Zoledronate,Other,Farnesyl Pyrophosphate Synthase Inhibitor,FDPS,MIPE Primary MOA,other_or_singleton,True,False
107,Bleomycin,Other,glycopeptide antibiotic,,MIPE Primary MOA,other_or_singleton,True,False
108,Lenvatinib,Multikinase/VEGFR,VEGFR-1/2/3 Inhibitor,FLT1,MIPE Primary MOA,explicit_drug_alias,True,True
