variant,drug,observed_C_ACC_pct,null_mean_C_ACC_pct,null_sd_C_ACC_pct,z_degree_matched,empirical_p_upper,q_bh_108,null_draws
column_gene_rank,Allopurinol,0.364485981308,0.0413060747664,0.0378064488182,8.54827461039,0.000699930006999,0.0755924407559,10000
column_gene_rank,Sonidegib,0.663551401869,0.138118224299,0.113213066039,4.64110014819,0.004599540046,0.229477052295,10000
column_gene_rank,Pralatrexate,1,0.861308411215,0.0901929751978,1.5377205207,0.00669933006699,0.229477052295,10000
column_gene_rank,Tioguanine,0.92523364486,0.66733364486,0.132465173644,1.9469268254,0.011598840116,0.229477052295,10000
column_gene_rank,Panobinostat,0.757009345794,0.299461682243,0.166088094122,2.7548492622,0.013198680132,0.229477052295,10000
column_gene_rank,Docetaxel,0.934579439252,0.612854205607,0.156627791233,2.0540750215,0.014298570143,0.229477052295,10000
column_gene_rank,Pemetrexed,0.803738317757,0.393484579439,0.154539751257,2.65468098002,0.014898510149,0.229477052295,10000
column_gene_rank,Gemcitabine,0.990654205607,0.827474299065,0.107499804752,1.517955376,0.01699830017,0.229477052295,10000
column_gene_rank,Palbociclib,0.588785046729,0.339893457944,0.1096694245,2.26947109388,0.02099790021,0.25197480252,10000
column_gene_rank,Ixazomib,0.981308411215,0.785627102804,0.142783762395,1.37047312054,0.032096790321,0.346645335466,10000
column_gene_rank,Paclitaxel,0.85046728972,0.593460280374,0.143012456672,1.79709526937,0.036796320368,0.361272963613,10000
column_gene_rank,Carfilzomib,0.644859813084,0.394599065421,0.147824128919,1.69296277606,0.0586941305869,0.491766207995,10000
column_gene_rank,Belinostat,0.785046728972,0.491106074766,0.163015654423,1.80314372411,0.0591940805919,0.491766207995,10000
column_gene_rank,Ibrutinib,0.233644859813,0.100149065421,0.084229131084,1.58491240114,0.0757924207579,0.577142285771,10000
column_gene_rank,Fluorouracil,0.719626168224,0.466028971963,0.16907089128,1.49994593595,0.0849915008499,0.577142285771,10000
column_gene_rank,Tucatinib,0.373831775701,0.219468691589,0.107686494738,1.43344886922,0.0883911608839,0.577142285771,10000
column_gene_rank,Fulvestrant,0.495327102804,0.275378504673,0.147142832016,1.49479655323,0.0910908909109,0.577142285771,10000
column_gene_rank,Lomustine,0.457943925234,0.272264485981,0.127673474653,1.45433058635,0.0961903809619,0.577142285771,10000
column_gene_rank,Vinorelbine,0.607476635514,0.370026168224,0.167448076735,1.41805431223,0.106389361064,0.604739526047,10000
column_gene_rank,Idelalisib,0.140186915888,0.0825714953271,0.0593477680117,0.970810234167,0.134286571343,0.639742922259,10000
column_gene_rank,Clofarabine,0.869158878505,0.678079906542,0.158476981195,1.2057206701,0.136686331367,0.639742922259,10000
column_gene_rank,Dacomitinib,0.0373831775701,0.0179827102804,0.0224812504589,0.862962108142,0.142685731427,0.639742922259,10000
column_gene_rank,Abemaciclib,0.775700934579,0.59674953271,0.158221101836,1.13102108247,0.152184781522,0.639742922259,10000
column_gene_rank,Axitinib,0.126168224299,0.0939841121495,0.0709611068258,0.453545802612,0.162183781622,0.639742922259,10000
column_gene_rank,Cabozantinib,0.126168224299,0.0939841121495,0.0709611068258,0.453545802612,0.162183781622,0.639742922259,10000
column_gene_rank,Ribociclib,0.448598130841,0.312747663551,0.136508800832,0.995177354588,0.167383261674,0.639742922259,10000
column_gene_rank,Dexrazoxane,0.514018691589,0.38986728972,0.12205852118,1.01714653486,0.16898310169,0.639742922259,10000
column_gene_rank,Crizotinib,0.411214953271,0.296645794393,0.116608116882,0.982514441889,0.171682831717,0.639742922259,10000
column_gene_rank,Cytarabine,0.897196261682,0.753326168224,0.143275078254,1.00415295676,0.171782821718,0.639742922259,10000
column_gene_rank,Acalabrutinib,0.81308411215,0.65846635514,0.150030662127,1.03057438271,0.183881611839,0.66197380262,10000
column_gene_rank,Methotrexate,0.841121495327,0.717720093458,0.128150124818,0.962944063024,0.193880611939,0.675455035142,10000
column_gene_rank,Cladribine,0.943925233645,0.815397196262,0.1384461984,0.928360900253,0.215678432157,0.724144728384,10000
column_gene_rank,Erdafitinib,0.906542056075,0.807151869159,0.113754686153,0.873723890215,0.231476852315,0.724144728384,10000
column_gene_rank,Bleomycin,0.728971962617,0.607492056075,0.144742840471,0.839280935395,0.233076692331,0.724144728384,10000
column_gene_rank,Idarubicin,0.355140186916,0.256247196262,0.14183378647,0.697245650106,0.234676532347,0.724144728384,10000
column_gene_rank,Epirubicin,0.532710280374,0.432782242991,0.17062854969,0.585646643337,0.264473552645,0.768144238208,10000
column_gene_rank,Homoharringtonine,0.429906542056,0.347868224299,0.16890685099,0.485701540677,0.269773022698,0.768144238208,10000
column_gene_rank,Darolutamide,0.626168224299,0.526458878505,0.159063852925,0.626851066166,0.270272972703,0.768144238208,10000
column_gene_rank,Neratinib,0.401869158879,0.326522429907,0.159636173023,0.471990323653,0.286671332867,0.77540941558,10000
column_gene_rank,Decitabine,0.822429906542,0.758129906542,0.0949206284746,0.677408072758,0.29297070293,0.77540941558,10000
column_gene_rank,Trifluridine,0.915887850467,0.841864485981,0.105538138675,0.701389710063,0.298170182982,0.77540941558,10000
column_gene_rank,Mercaptopurine,0.766355140187,0.685740654206,0.134558715159,0.599102673401,0.319268073193,0.77540941558,10000
column_gene_rank,Everolimus,0.635514018692,0.562303738318,0.157429303998,0.465035914627,0.330166983302,0.77540941558,10000
column_gene_rank,Bosutinib,0.219626168224,0.209255607477,0.134287601551,0.0772264946867,0.330266973303,0.77540941558,10000
column_gene_rank,Duvelisib,0.0560747663551,0.050076635514,0.0444780854885,0.134855868351,0.330266973303,0.77540941558,10000
column_gene_rank,Lapatinib,0.219626168224,0.209255607477,0.134287601551,0.0772264946867,0.330266973303,0.77540941558,10000
column_gene_rank,Oxaliplatin,0.672897196262,0.61331682243,0.125357517036,0.475283614741,0.349665033497,0.788546145385,10000
column_gene_rank,Afatinib,0.317757009346,0.282518691589,0.136908994704,0.257384971917,0.350464953505,0.788546145385,10000
column_gene_rank,Vinblastine,0.420560747664,0.381020560748,0.129263979884,0.305887123013,0.360663933607,0.794932751623,10000
column_gene_rank,Asciminib,0.831775700935,0.756981775701,0.147490529719,0.507110018359,0.369463053695,0.79804019598,10000
