arm_id,gene,raw_weight,normalized_weight,manipulated_gene
B2_hi,AR,0.0112770911659,0.0110850936514,no
B2_hi,ASNS,0.0123823668383,0.0121715515117,no
B2_hi,BCL2,0.0174414438876,0.0171444955145,no
B2_hi,BCL2L11,0.0080641151553,0.00792681999259,no
B2_hi,CAV1,0.00763258810586,0.00750263988393,no
B2_hi,CCNB1,0.0108008462875,0.0106169570548,no
B2_hi,CDH1,0.136837698827,0.13450797588,no
B2_hi,ESR1,0.0221919679172,0.0218141397504,no
B2_hi,FOXM1,0.00778090223857,0.00764842890228,no
B2_hi,GATA3,0.1470904633,0.144586182458,no
B2_hi,IGFBP2,0.00811255947,0.0079744395212,no
B2_hi,INPP4B,0.0130665496213,0.0128440857773,no
B2_hi,IRS1,0.0082653453856,0.00812462418834,no
B2_hi,KMT2C,0.113993341761,0.112052554197,no
B2_hi,MAP3K1,0.116848886394,0.114859481908,no
B2_hi,MAPK9,0.00950775573347,0.00934588194506,no
B2_hi,PARK7,0.011816686302,0.0116155019392,no
B2_hi,PGR,0.0135181996938,0.0132880463055,no
B2_hi,PIK3CA,0.149059429858,0.14652162648,no
B2_hi,PREX1,0.0110341242952,0.0108462634002,no
B2_hi,RB1,0.0173203331009,0.017025446693,yes
B2_hi,SYK,0.00755209601373,0.00742351820563,no
B2_hi,TP53,0.140264352387,0.137876289133,no
B2_hi,TP53BP1,0.00773320322101,0.00760154198181,no
B2_hi,XRCC1,0.00772798614097,0.00759641372488,no
