drug,MIPE_available,n_assoc,C_ACC_k1,rank_all124_k1,rank_primary108_k1,C_ACC_k3,rank_all124_k3,rank_primary108_k3,C_ACC_k5,rank_all124_k5,rank_primary108_k5,C_ACC_k10,rank_all124_k10,rank_primary108_k10
Fulvestrant,True,2,0.0307809041411,60,53,0.039469627454,63,57,0.0431933660167,64,58,0.0470722603528,61,55
Gemcitabine,True,4,0.217718142485,6,5,0.170513733896,6,5,0.144289062457,8,7,0.11150822316,7,6
Gilteritinib,True,1,0.0276273562117,69,61,0.0400650343175,60,54,0.0442109270194,58,52,0.0479799203848,54,48
Homoharringtonine,True,1,0.0296358562117,64,57,0.0410692843175,54,48,0.0448804270194,52,46,0.048345102203,50,44
Hydroxyurea,True,7,0.134634589053,14,13,0.118208213727,15,14,0.107257296843,15,14,0.0911530073078,18,17
Ibrutinib,True,13,0.0422176937445,46,40,0.0435033210794,49,43,0.0445032534509,55,49,0.046242266271,65,58
Idarubicin,True,11,0.0611163927019,32,29,0.0598858669479,33,29,0.0589629726323,33,29,0.0574248154397,33,29
Idelalisib,True,9,0.0107472712423,115,101,0.0177065114392,114,101,0.022677397294,111,98,0.0305261644333,110,97
Ifosfamide,False,17,0.00986403957907,123,,0.0141279068635,121,,0.0176165255508,121,,0.0240769305272,119,
Imatinib,True,5,0.0197851187372,85,76,0.0279645171587,85,75,0.0328721562117,86,76,0.0394156749489,82,72
Irinotecan,True,11,0.0906713093686,24,22,0.0852186526621,23,22,0.0811291601323,23,22,0.0743133392492,23,22
Ixabepilone,True,11,0.116832976035,17,16,0.107642938376,17,16,0.100750410132,19,18,0.0892628630587,19,18
Ixazomib,True,5,0.409893118737,2,2,0.320545517159,2,2,0.266936956212,2,2,0.195458874949,2,2
Lapatinib,True,1,0.0280583562117,67,60,0.0402805343175,58,52,0.0443545936861,57,51,0.0480582840212,53,47
Lenvatinib,True,18,0.010736037496,117,103,0.0147138160605,120,105,0.0179998070485,120,105,0.0241610401512,118,104
Lomustine,True,27,0.0357264183008,51,44,0.036844837909,68,60,0.0378234550661,76,67,0.0398071384928,79,70
Lorlatinib,True,2,0.0220985708078,79,71,0.034260227454,73,65,0.0394723660167,69,62,0.0449016770194,69,62
Melphalan,True,6,0.0146185303462,104,92,0.0230372374744,98,86,0.0283945965561,97,85,0.0359283827646,94,82
Mercaptopurine,True,27,0.109191525444,19,18,0.105412271242,19,18,0.102105423816,18,17,0.095402354709,15,14
Methotrexate,True,27,0.111028704015,18,17,0.107126971242,18,17,0.103712955066,17,16,0.0967926520063,14,13
Mitomycin,True,12,0.120522977879,16,15,0.111453609151,16,15,0.104518209536,16,15,0.092696505647,17,16
Mitotane,True,1,0.0296818562117,63,56,0.0410922843175,53,47,0.0448957603528,51,45,0.0483534658394,49,43
Mitoxantrone,True,6,0.0152139589176,100,88,0.0235003485855,95,84,0.028773505647,96,84,0.0361888827646,92,80
Neratinib,True,6,0.015579387489,97,85,0.0237845708078,94,83,0.0290060511015,94,82,0.0363487577646,91,79
Nilotinib,True,14,0.0511314474949,37,33,0.0512927727806,37,33,0.0514201348482,37,33,0.051645671843,37,33
Nitrogen mustard,False,16,0.0107025124955,118,,0.0151025335405,118,,0.0186644553389,117,,0.0251718124705,117,
Olaparib,True,1,0.0470678562117,41,36,0.0497852843175,41,36,0.0506910936861,40,36,0.0515145567485,38,34
Osimertinib,True,2,0.0212669041411,80,72,0.033761227454,74,66,0.0391159374452,72,65,0.0446937603528,70,63
Oxaliplatin,True,31,0.0986388035132,21,20,0.0959249158021,21,20,0.0935125711699,20,19,0.0885113688837,20,19
Paclitaxel,True,10,0.106211155675,20,19,0.0979483182515,20,19,0.0918889041411,21,20,0.0820423562117,21,20
