variant,description,CDK46_observed_mean_percentile,CDK46_null_mean_percentile,CDK46_empirical_p_upper,direction_observed_gt_null_mean,n_drugs_q_lt_0_05,minimum_drug_q_bh_108,CDK46_q_bh_across_variants
column_minmax,Locked column-stochastic RWR with gene-level min-max scaling,0.638629283489,0.559502491748,0.278272172783,yes,2,0.010798920108,0.278272172783
column_gene_rank,Column-stochastic RWR with gene-level average-rank percentiles,0.604361370717,0.416463550786,0.00999900009999,yes,0,0.0755924407559,0.03399660034
uniform_ratio_gene_rank,"Column-stochastic RWR divided by the uniform-restart steady state, then gene-level average-rank percentiles",0.641744548287,0.422866821866,0.025497450255,yes,0,0.0971902809719,0.03399660034
symmetric_gene_rank,Symmetric D^-1/2 W D^-1/2 propagation with gene-level average-rank percentiles,0.654205607477,0.436876634976,0.02099790021,yes,1,0.043195680432,0.03399660034
