variant,drug,rank_descending,top_quartile,observed_C_ACC_percentile,null_mean_C_ACC_percentile,null_sd_C_ACC_percentile,z_degree_matched,empirical_p_upper,q_bh_108,null_draws
column_gene_rank,Pralatrexate,1,yes,1,0.861308411092,0.0901929759828,1.53772050869,0.00669933006699,0.197465967689,10000
column_gene_rank,Gemcitabine,2,yes,0.990654205607,0.827474298525,0.107499805343,1.51795537268,0.01699830017,0.20397960204,10000
column_gene_rank,Ixazomib,3,yes,0.981308411215,0.785627102169,0.142783762818,1.37047312092,0.014698530147,0.198430156984,10000
column_gene_rank,Mitomycin,4,yes,0.971962616822,0.923970095155,0.0751853895949,0.638322444379,0.387861213879,0.763830759781,10000
column_gene_rank,Ixabepilone,5,yes,0.96261682243,0.914848132777,0.0888846950692,0.537423114469,0.384661533847,0.763830759781,10000
column_gene_rank,Doxorubicin,6,yes,0.953271028037,0.941818694884,0.0198928213309,0.575701805356,0.396060393961,0.763830759781,10000
column_gene_rank,Cladribine,7,yes,0.943925233645,0.815397196221,0.138446199822,0.928360891006,0.215678432157,0.687319503344,10000
column_gene_rank,Docetaxel,8,yes,0.934579439252,0.61285420459,0.156627791137,2.05407502925,0.011698830117,0.197465967689,10000
column_gene_rank,Tioguanine,9,yes,0.92523364486,0.667333643897,0.132465173746,1.94692683118,0.011598840116,0.197465967689,10000
column_gene_rank,Trifluridine,10,yes,0.915887850467,0.841864485666,0.105538139193,0.701389709606,0.259374062594,0.707586384219,10000
column_gene_rank,Erdafitinib,11,yes,0.906542056075,0.807151868877,0.113754686875,0.873723887148,0.231476852315,0.707586384219,10000
column_gene_rank,Cytarabine,12,yes,0.897196261682,0.753326167443,0.14327507851,1.00415296041,0.148285171483,0.596640335966,10000
column_gene_rank,Olaparib,13,yes,0.88785046729,0.86490280233,0.0565026248236,0.406134494302,0.352864713529,0.747242922767,10000
column_gene_rank,Ceritinib,14,yes,0.878504672897,0.989891594434,0.0158971412279,-7.00672655162,0.99900009999,1,10000
column_gene_rank,Clofarabine,15,yes,0.869158878505,0.678079905555,0.158476981219,1.20572067615,0.120187981202,0.596640335966,10000
